Titles,DOIs
A multi-objective worker selection scheme in crowdsourced platforms using NSGA-II,DOI:10.1016/j.eswa.2022.116991
A Budget and Deadline Aware Task Assignment Scheme for Crowdsourcing Environment,DOI:10.1109/TETC.2021.3062843
Ripple: An approach to locate k nearest neighbours for location-based services,DOI:10.1016/j.is.2021.101933
Controller placement problem in software‐defined networking: A survey,DOI:https://doi.org/10.1002/net.22016
Controller placement problem in software-defined networking: A survey,DOI:10.1002/net.22016
An analytical model for information gathering and propagation in social networks using random graphs,DOI:10.1016/j.datak.2020.101852
Predictive Flow Modeling in Software Defined Network,DOI:10.1109/TENCON.2019.8929671
Detecting semantic attacks in intelligent transport system,DOI:10.1109/ICITE.2019.8880173
Inferring the Deployment of Source Address Validation Filtering using Silence of Path-Backscatter,DOI:10.1109/NCC.2018.8600212
IP traceback in dynamic networks,DOI:10.1007/978-981-13-7561-3_12
