Titles,DOIs
DEBay: A computational tool for deconvolution of quantitative PCR data for estimation of cell type-specific gene expression in a mixed population,DOI:10.1016/j.heliyon.2020.e04489
The Mathematics of Phenotypic State Transition: Paths and Potential,DOI:10.1007/s41745-020-00173-6
Peptides derived from a short stretch of diphtheria toxin bind to heparin-binding epidermal growth factor-like growth factor,DOI:10.1016/j.toxicon.2019.09.006
Percolation in a reduced equilibrium model of planar cell polarity,DOI:10.1103/PhysRevE.100.032408
Morphological state transition dynamics in EGF-induced epithelial to mesenchymal transition,DOI:10.3390/jcm8070911
Receptor-Mediated Enhanced Cellular Delivery of Nanoparticles Using Recombinant Receptor-Binding Domain of Diphtheria Toxin,DOI:10.1021/acs.molpharmaceut.6b00480
A Negative Feedback Regulates The Flow Of Signal Through Akt/mTORC1/S6K1 Pathway,DOI:10.1101/147710
Autoregulation and heterogeneity in expression of human Cripto-1,DOI:10.1371/journal.pone.0116748
Recombinant receptor-binding domain of diphtheria toxin increases the potency of curcumin by enhancing cellular uptake,DOI:10.1021/mp400378x
A new peptide (Ruviprase) purified from the venom of Daboia russelii russelii shows potent anticoagulant activity via non-enzymatic inhibition of thrombin and factor Xa,DOI:10.1016/j.biochi.2014.07.006
