Titles,DOIs
Retinal Vessel Segmentation Using Multi-Scale Residual Convolutional Neural Network (MSR-Net) Combined with Generative Adversarial Networks,DOI:10.1007/s00034-022-02190-5
A Conceptual Framework for the Development of Chatbots Addressing COVID-19 Vaccine Hesitancy,DOI:10.17816/PAVLOVJ91196
Two-Stage Hand Gesture Recognition based on Hand Keypoints Localization,DOI:10.1109/WiSPNET54241.2022.9767161
A Review on Progress in Semantic Image Segmentation and Its Application to Medical Images,DOI:10.1007/s42979-021-00784-5
The human touch: Measuring contact with real human soft tissues,DOI:10.1145/3197517.3201296
Anatomical augmented reality with 3D commodity tracking and image-space alignment,DOI:10.1016/j.cag.2017.10.008
Seeing Skin in Reduced Coordinates,DOI:10.1109/FG.2017.65
Interactive gaze driven animation of the eye region,DOI:10.1145/2945292.2945298
Hand pose recognition from monocular images by geometrical and texture analysis,DOI:10.1016/j.jvlc.2014.12.001
Gaze driven animation of eyes,DOI:10.1145/2786784.2795140
Thin skin elastodynamics,DOI:10.1145/2461912.2462008
Eyecatch: Simulating visuomotor coordination for object interception,DOI:10.1145/2185520.2185538
Hand pose identification from monocular image for sign language recognition,DOI:10.1109/ICSIPA.2011.6144163
Shape from an endoscope image using extended Fast Marching Method,DOI:10.1117/12.913392
Finger tips detection for two handed gesture recognition,DOI:10.1109/NCC.2011.5734786
Hand pose recognition using geometric features,DOI:10.1109/FUZZY.2011.6007728
