Titles,DOIs
Lymph-node Detection and Metastasis Classification from CT Images using a Single U-Net Model,DOI:10.1016/j.procs.2022.09.113
Improvement of Polyp Detection using MUNIT for Image Generation,DOI:10.1016/j.procs.2022.09.076
Weakly Supervised Learning-based Reconstruction of Planktons in Digital In-line Holography,DOI:10.1007/s11220-022-00379-1
Hand Detection by Two-Level Segmentation with Double-Tracking and Gesture Recognition Using Deep-Features,DOI:10.1007/s00530-022-00890-1
A selective region-based detection and tracking approach towards the recognition of dynamic bare hand gesture using deep neural network,DOI:10.3390/jimaging8050124
Extraction and Calculation of Roadway Area from Satellite Images Using Improved Deep Learning Model and Post-Processing,DOI:10.1007/s11042-021-11570-z
A curvelet-based multi-sensor image denoising for KLT-based image fusion,DOI:10.1016/j.patrec.2021.12.014
An unsupervised approach of colonic polyp segmentation using adaptive markov random fields,DOI:10.1109/JSEN.2022.3169963
Non-Contact Heart Rate Measurement From Facial Video Data Using a 2D-VMD Scheme,DOI:10.1109/ICONAT53423.2022.9725985
Edge Based Video Clip Searching and Retrieval in Broadcast News Videos,DOI:10.1007/s11760-022-02195-2
A saliency map-guided shape compactness for segmentation of polyps in colonoscopy images,DOI:10.1111/exsy.12970
"Design and development of a vision-based system for detection, tracking and recognition of isolated dynamic bare hand gesticulated characters",DOI:10.1016/j.asoc.2021.108122
Removal of self co-articulation and recognition of dynamic hand gestures using deep architectures,DOI:10.1016/j.eswa.2022.118623
Development of an intelligent recognition system for dynamic mid-air gesticulation of isolated alphanumeric keys,DOI:10.1109/LSENS.2022.3185181
Vision-Based Continuous Sign Language Spotting Using Gaussian Hidden Markov Model,DOI:10.1007/s11334-022-00477-z
Two-stream fusion model using 3D-CNN and 2D-CNN via video-frames and optical flow motion templates for hand gesture recognition,DOI:10.1007/978-3-031-11349-9_38
Hand Gesture Recognition Using CBAM-RetinaNet,DOI:10.1109/NCC55593.2022.9806776
Semantic Masking: A Novel Technique to Mitigate the Class-Imbalance Problem in Real-Time Semantic Segmentation,DOI:10.1007/978-3-030-79161-2_7
Automatic Detection of LST-Type Polyp by CNN Using Depth Map,DOI:10.1109/IIAIAAI55812.2022.00073
Recovering Shape and Size from a Single Endoscope Image using Optimization,DOI:10.1109/WiSPNET54241.2022.9767186
A Multiresolution Method for Non-Contact Heart Rate Estimation Using Facial Video Frames,DOI:10.1109/WiSPNET54241.2022.9767161
Two-Stage Hand Gesture Recognition based on Hand Keypoints Localization,DOI:10.1016/j.bspc.2021.102793
Analyzing seismocardiographic approach for heart rate variability measurement,DOI:10.1007/978-981-16-1103-2_25
An Unsupervised Approach for Estimating Depth of Outdoor Scenes from Monocular Image,DOI:10.1007/978-981-16-1103-2_35
