Titles,DOIs
Design of fractional-order IMC for nonlinear chemical processes with time delay,DOI:10.1007/s40435-022-01087-0
Hybrid Technique for Removal of Arsenic from Drinking Water,DOI:10.1002/ceat.202100603
"Spectroscopic, thermodynamic and ultrasonic properties of pseudo-binary mixtures of organic extractants and vegetable oil at 25–60°C under atmospheric pressure",DOI:10.1002/apj.2650
Removal of hexavalent chromium from wastewater using supported liquid membrane: synthesis of chromium-iron complex through electrochemical reaction,DOI:10.1111/wej.12576
Separation and Recovery of Nickel and Zinc from Synthetic Wastewater Using Supported Liquid Membranes with in Situ Electrodeposition,DOI:10.1021/acs.iecr.9b01352
Synthesis of cadmium sulphide nanoparticles through liquid membrane pathway,DOI:10.1504/IJNP.2019.102593
A Nash Game Approach to Mixed H 2/H ∞ Model Predictive Control: Part 3 – Output Feedback Case,DOI:10.1007/s11633-016-0969-3
Separation of hexavalent chromium from industrial effluent through liquid membrane using environmentally benign solvent: A study of experimental optimization through response surface methodology,DOI:10.1016/j.cherd.2018.02.001
Modelling and control of nonlinear resonating processes: part I—system identification using orthogonal basis function,DOI:10.1007/s40435-016-0277-3
A Nash game approach to mixed H2/ H∞ model predictive control: part 1—state feedback linear system,DOI:10.1007/s40435-016-0261-y
A Nash game approach to mixed H2/ H∞ model predictive control: part 2—stability and robustness,DOI:10.1007/s40435-016-0259-5
Modelling and control of nonlinear resonating processes: part II—model based control using orthogonal basis function based Wiener models,DOI:10.1007/s40435-016-0276-4
Kautz filters based model predictive control for resonating systems,DOI:10.1007/s40435-016-0242-1
Separation of cadmium and lead from wastewater using supported liquid membrane integrated with in-situ electrodeposition,DOI:10.1016/j.electacta.2017.01.090
Study of the supported liquid membrane for the estimation of the synergistic effects of influential parameters on its stability,DOI:10.1016/j.jece.2015.12.024
Separation of toxic heavy metals from its aqueous solution using environmentally benign vegetable oil as liquid membrane,DOI:10.1039/c5ra13260f
Studies on the stability of a supported liquid membrane and its cleaning protocol,DOI:10.1039/c5ra11897b
Liquid - Membrane Filters,DOI:10.1016/B978-0-12-384746-1.00005-7
Supported liquid membrane based removal of lead(II) and cadmium(II) from mixed feed: Conversion to solid waste by precipitation,DOI:10.1016/j.jhazmat.2015.07.030
Separation of medicinal catechins from tea leaves (Camellia sinensis) extract using hollow fiber supported liquid membrane (HF-SLM) module,DOI:10.1016/j.memsci.2014.08.011
Supported liquid membrane-based simultaneous separation of cadmium and lead from wastewater,DOI:10.1016/j.memsci.2014.02.019
Computer aided design of distillation column suitable for classroom teaching,DOI:10.1109/T4E.2014.21
Iron complexation of pharmaceutical catechins through selective separation,DOI:10.1039/c4ra03683b
Transportation of bioactive (+)catechin from its aqueous solution using flat sheet supported liquid membrane,DOI:10.1016/j.memsci.2013.07.024
Separation of Cd(II) from its aqueous solution using environmentally benign vegetable oil as liquid membrane,DOI:10.1002/apj.1721
Measurement and modeling of adsorption of lower hydrocarbons on activated carbon,DOI:10.1021/je3013217
Recovery of bioactive catechins from aqueous extract of tea leaves (camellia sinensis) by liquid membrane (LM) technique leading to the formation of metal-catechin complex,DOI:10.1021/ie3017863
Environmentally benign vegetable oil (coconut oil) - Based supported liquid membrane for simultaneous extraction and recovery of heavy metals (Cd & Pb) from its aqueous solutions,DOI:10.4028/www.scientific.net/AMR.403-408.3758
Transportation of catechin (±C) using physiologically benign vegetable oil as liquid membrane,DOI:10.1007/s11814-010-0531-x
Modeling and control of a complex interacting process,DOI:10.5004/dwt.2011.2097
Kinetics of phenol degradation and growth of predominant Pseudomonas species in a simple batch stirred tank reactor,DOI:10.1016/j.memsci.2010.04.043
Studies on growth kinetics of predominantly Pseudomonas sp. in internal loop airlift bioreactor using phenol and m-cresol,DOI:10.1021/ie901362m
Biodegradation kinetics of phenol by predominantly Pseudomonas sp. in a batch shake flask,DOI:10.1016/j.memsci.2010.01.016
Repeated batch operation of internal loop airlift bioreactor in degrading phenolics as single and mixed substrate by using predominantly Pseudomonas sp,DOI:10.1016/j.memsci.2009.09.010
Separation of lignosulfonate from its aqueous solution using emulsion liquid membrane,DOI:10.1016/j.memsci.2009.05.016
Separation of Hg(II) from its aqueous solution using bulk liquid membrane,DOI:10.1021/ie801293d
Separation of mercury from its aqueous solution through supported liquid membrane using environmentally benign diluent,DOI:10.1016/j.memsci.2008.12.069
Simultaneous separation of mercury and lignosulfonate from aqueous solution using supported liquid membrane,DOI:10.1016/j.biortech.2009.03.053
Separation of lignosulfonate from its aqueous solution using supported liquid membrane,DOI:10.1016/j.jher.2009.04.001
Modeling and Simulation of stirred dead end ultrafiltration process using the Aspen Engineering Suite,DOI:10.1016/j.jhazmat.2008.05.069
Extraction and recovery of lignosulfonate from its aqueous solution using bulk liquid membrane,DOI:10.1002/apj.152
Treatment of phenolics containing synthetic wastewater in an internal loop airlift bioreactor (ILALR) using indigenous mixed strain of Pseudomonas sp. under continuous mode of operation,DOI:10.1016/j.ces.2008.04.043
Degradation of phenol by TiO2-based heterogeneousphotocatalysts in presence of sunlight,DOI:10.2202/1934-2659.1136
Batch growth kinetics of an indigenous mixed microbial culture utilizing m-cresol as the sole carbon source,DOI:10.1016/S1001-0742(08)62557-7
Mixed H2/H∞ model predictive control for unstable and non-minimum constrained processes,DOI:10.1016/j.biortech.2008.04.003
Separation of lignosulfonate from aqueous solution using liquid membrane,DOI:10.1016/j.biortech.2006.11.045
Adaptive nonlinear DMC of hydrodealkylation process using Aspen Engineering Suite,DOI:10.1007/s00449-007-0111-6
Nonlinear system identification using Wiener type Laguerre-Wavelet network model,DOI:10.1016/j.ces.2004.10.025
Nonlinear system identification using Laguerre Wavelet models,DOI:10.1080/0098644049276452
Kinetics of phenol and m-cresol biodegradation by an indigenous mixed microbial culture isolated from a sewage treatment plant,DOI:10.1016/S1570-7946(03)80441-8
Biodegradation of phenol and m-cresol in a batch and fed batch operated internal loop airlift bioreactor by indigenous mixed microbial culture predominantly Pseudomonas sp.,DOI:10.1016/S1570-7946(03)80145-1
Growth kinetics of an indigenous mixed microbial consortium during phenol degradation in a batch reactor,DOI:10.1016/S1385-8947(01)00240-6
Stochastic identification of bioreactor process exhibiting input multiplicity,DOI:10.1002/apj.5500100109
Improved branch and bound method for control structure screening,DOI:10.1016/S0967-0661(00)00041-1
Modeling and predictive control of MIMO nonlinear systems using Wiener-Laguerre models,DOI:10.1007/s004490050553
Globally optimal control structure selection using Hankel singular value through branch and bound method,DOI:10.1007/s004490050713
