year,importer1,importer2,flow1,flow2
2015,"Roy A.","Karandikar A.",8.19,4.36
2019,"Roy A.","Karandikar A.",8.19,4.36
2019,"Roy A.","Borkar V.",8.19,4.36
2019,"Roy A.","Chaporkar P.",8.19,4.36
2019,"Karandikar A.","Borkar V.",8.19,4.36
2019,"Karandikar A.","Chaporkar P.",8.19,4.36
2019,"Borkar V.","Chaporkar P.",8.19,4.36
2018,"Roy A.","Chaporkar P.",8.19,4.36
2018,"Roy A.","Karandikar A.",8.19,4.36
2018,"Chaporkar P.","Karandikar A.",8.19,4.36
2018,"Taksande P.K.","Roy A.",8.19,4.36
2018,"Taksande P.K.","Karandikar A.",8.19,4.36
2018,"Roy A.","Karandikar A.",8.19,4.36
2017,"Roy A.","Chaporkar P.",8.19,4.36
2017,"Roy A.","Karandikar A.",8.19,4.36
2017,"Chaporkar P.","Karandikar A.",8.19,4.36
2019,"Manjeshwar A.N.","Roy A.",8.19,4.36
2019,"Manjeshwar A.N.","Jha P.",8.19,4.36
2019,"Manjeshwar A.N.","Karandikar A.",8.19,4.36
2019,"Roy A.","Jha P.",8.19,4.36
2019,"Roy A.","Karandikar A.",8.19,4.36
2019,"Jha P.","Karandikar A.",8.19,4.36
2020,"Roy A.","Borkar V.",8.19,4.36
2020,"Roy A.","Chaporkar P.",8.19,4.36
2020,"Roy A.","Karandikar A.",8.19,4.36
2020,"Borkar V.","Chaporkar P.",8.19,4.36
2020,"Borkar V.","Karandikar A.",8.19,4.36
2020,"Chaporkar P.","Karandikar A.",8.19,4.36
2018,"Roy A.","Roy R.",8.19,4.36
2019,"Roy A.","Chaporkar P.",8.19,4.36
2019,"Roy A.","Karandikar A.",8.19,4.36
2019,"Roy A.","Jha P.",8.19,4.36
2019,"Chaporkar P.","Karandikar A.",8.19,4.36
2019,"Chaporkar P.","Jha P.",8.19,4.36
2019,"Karandikar A.","Jha P.",8.19,4.36
2021,"Roy A.","Chaporkar P.",8.19,4.36
2021,"Roy A.","Karandikar A.",8.19,4.36
2021,"Roy A.","Jha P.",8.19,4.36
2021,"Chaporkar P.","Karandikar A.",8.19,4.36
2021,"Chaporkar P.","Jha P.",8.19,4.36
2021,"Karandikar A.","Jha P.",8.19,4.36
2022,"Roy A.","Borkar V.",8.19,4.36
2022,"Roy A.","Karandikar A.",8.19,4.36
2022,"Roy A.","Chaporkar P.",8.19,4.36
2022,"Borkar V.","Karandikar A.",8.19,4.36
2022,"Borkar V.","Chaporkar P.",8.19,4.36
2022,"Karandikar A.","Chaporkar P.",8.19,4.36
2022,"Roy A.","Biswas N.",8.19,4.36
