year,importer1,importer2,flow1,flow2
2015,"Bhuyan M.K.","MacDorman K.F.",8.19,4.36
2015,"Bhuyan M.K.","Kar M.K.",8.19,4.36
2015,"Bhuyan M.K.","Neog D.R.",8.19,4.36
2015,"Bhuyan M.K.","Lovell B.C.",8.19,4.36
2015,"Bhuyan M.K.","Gadde P.",8.19,4.36
2015,"MacDorman K.F.","Kar M.K.",8.19,4.36
2015,"MacDorman K.F.","Neog D.R.",8.19,4.36
2015,"MacDorman K.F.","Lovell B.C.",8.19,4.36
2015,"MacDorman K.F.","Gadde P.",8.19,4.36
2015,"Kar M.K.","Neog D.R.",8.19,4.36
2015,"Kar M.K.","Lovell B.C.",8.19,4.36
2015,"Kar M.K.","Gadde P.",8.19,4.36
2015,"Neog D.R.","Lovell B.C.",8.19,4.36
2015,"Neog D.R.","Gadde P.",8.19,4.36
2015,"Lovell B.C.","Gadde P.",8.19,4.36
2022,"Pallab Jyoti Dutta H.","Neog D.R.",8.19,4.36
2022,"Pallab Jyoti Dutta H.","Bhuyan M.K.",8.19,4.36
2022,"Pallab Jyoti Dutta H.","Das M.",8.19,4.36
2022,"Pallab Jyoti Dutta H.","Lashkar R.H.",8.19,4.36
2022,"Neog D.R.","Bhuyan M.K.",8.19,4.36
2022,"Neog D.R.","Das M.",8.19,4.36
2022,"Neog D.R.","Lashkar R.H.",8.19,4.36
2022,"Bhuyan M.K.","Das M.",8.19,4.36
2022,"Bhuyan M.K.","Lashkar R.H.",8.19,4.36
2022,"Das M.","Lashkar R.H.",8.19,4.36
2021,"Kar M.K.","Nath M.K.",8.19,4.36
2021,"Kar M.K.","Neog D.R.",8.19,4.36
2021,"Nath M.K.","Neog D.R.",8.19,4.36
2018,"Pai D.","Rothwell A.",8.19,4.36
2018,"Pai D.","Wyder-Hodge P.",8.19,4.36
2018,"Pai D.","Wick A.",8.19,4.36
2018,"Pai D.","Fan Y.",8.19,4.36
2018,"Pai D.","Larionov E.",8.19,4.36
2018,"Pai D.","Harrison D.",8.19,4.36
2018,"Pai D.","Neog D.",8.19,4.36
2018,"Pai D.","Shing C.",8.19,4.36
2018,"Rothwell A.","Wyder-Hodge P.",8.19,4.36
2018,"Rothwell A.","Wick A.",8.19,4.36
2018,"Rothwell A.","Fan Y.",8.19,4.36
2018,"Rothwell A.","Larionov E.",8.19,4.36
2018,"Rothwell A.","Harrison D.",8.19,4.36
2018,"Rothwell A.","Neog D.",8.19,4.36
2018,"Rothwell A.","Shing C.",8.19,4.36
2018,"Wyder-Hodge P.","Wick A.",8.19,4.36
2018,"Wyder-Hodge P.","Fan Y.",8.19,4.36
2018,"Wyder-Hodge P.","Larionov E.",8.19,4.36
2018,"Wyder-Hodge P.","Harrison D.",8.19,4.36
2018,"Wyder-Hodge P.","Neog D.",8.19,4.36
2018,"Wyder-Hodge P.","Shing C.",8.19,4.36
2018,"Wick A.","Fan Y.",8.19,4.36
2018,"Wick A.","Larionov E.",8.19,4.36
2018,"Wick A.","Harrison D.",8.19,4.36
2018,"Wick A.","Neog D.",8.19,4.36
2018,"Wick A.","Shing C.",8.19,4.36
2018,"Fan Y.","Larionov E.",8.19,4.36
2018,"Fan Y.","Harrison D.",8.19,4.36
2018,"Fan Y.","Neog D.",8.19,4.36
2018,"Fan Y.","Shing C.",8.19,4.36
2018,"Larionov E.","Harrison D.",8.19,4.36
2018,"Larionov E.","Neog D.",8.19,4.36
2018,"Larionov E.","Shing C.",8.19,4.36
2018,"Harrison D.","Neog D.",8.19,4.36
2018,"Harrison D.","Shing C.",8.19,4.36
2018,"Neog D.","Shing C.",8.19,4.36
2017,"Bauer A.","Neog D.R.",8.19,4.36
2017,"Bauer A.","Dicko A.H.",8.19,4.36
2017,"Bauer A.","Pai D.K.",8.19,4.36
2017,"Bauer A.","Faure F.",8.19,4.36
2017,"Bauer A.","Palombi O.",8.19,4.36
2017,"Bauer A.","Troccaz J.",8.19,4.36
2017,"Neog D.R.","Dicko A.H.",8.19,4.36
2017,"Neog D.R.","Pai D.K.",8.19,4.36
2017,"Neog D.R.","Faure F.",8.19,4.36
2017,"Neog D.R.","Palombi O.",8.19,4.36
2017,"Neog D.R.","Troccaz J.",8.19,4.36
2017,"Dicko A.H.","Pai D.K.",8.19,4.36
2017,"Dicko A.H.","Faure F.",8.19,4.36
2017,"Dicko A.H.","Palombi O.",8.19,4.36
2017,"Dicko A.H.","Troccaz J.",8.19,4.36
2017,"Pai D.K.","Faure F.",8.19,4.36
2017,"Pai D.K.","Palombi O.",8.19,4.36
2017,"Pai D.K.","Troccaz J.",8.19,4.36
2017,"Faure F.","Palombi O.",8.19,4.36
2017,"Faure F.","Troccaz J.",8.19,4.36
2017,"Palombi O.","Troccaz J.",8.19,4.36
2017,"Neog D.R.","Ranjan A.",8.19,4.36
2017,"Neog D.R.","Pai D.K.",8.19,4.36
2017,"Ranjan A.","Pai D.K.",8.19,4.36
2016,"Neog D.R.","Cardoso J.L.",8.19,4.36
2016,"Neog D.R.","Ranjan A.",8.19,4.36
2016,"Neog D.R.","Pai D.K.",8.19,4.36
2016,"Cardoso J.L.","Ranjan A.",8.19,4.36
2016,"Cardoso J.L.","Pai D.K.",8.19,4.36
2016,"Ranjan A.","Pai D.K.",8.19,4.36
2015,"Neog D.R.","Ranjan A.",8.19,4.36
2015,"Neog D.R.","Cardoso J.L.",8.19,4.36
2015,"Neog D.R.","Pai D.K.",8.19,4.36
2015,"Ranjan A.","Cardoso J.L.",8.19,4.36
2015,"Ranjan A.","Pai D.K.",8.19,4.36
2015,"Cardoso J.L.","Pai D.K.",8.19,4.36
2013,"Li D.","Sueda S.",8.19,4.36
2013,"Li D.","Neog D.",8.19,4.36
2013,"Li D.","Pai D.",8.19,4.36
2013,"Sueda S.","Neog D.",8.19,4.36
2013,"Sueda S.","Pai D.",8.19,4.36
2013,"Neog D.","Pai D.",8.19,4.36
2023,"Kar M.K.","Neog D.R.",8.19,4.36
2023,"Kar M.K.","Nath M.K.",8.19,4.36
2023,"Neog D.R.","Nath M.K.",8.19,4.36
2022,"Neog D.R.","Grover R.",8.19,4.36
2022,"Neog D.R.","Ransing R.",8.19,4.36
2022,"Neog D.R.","Ramalho R.",8.19,4.36
2022,"Grover R.","Ransing R.",8.19,4.36
2022,"Grover R.","Ramalho R.",8.19,4.36
2022,"Ransing R.","Ramalho R.",8.19,4.36
