year,importer1,importer2,flow1,flow2
2016,"Dragomir S.","Shahid M.",8.19,4.36
2016,"Dragomir S.","Al-Solamy F.",8.19,4.36
2016,"Shahid M.","Al-Solamy F.",8.19,4.36
2016,"Dutt S.","Nandi S.",8.19,4.36
2016,"Dutt S.","Trivedi G.",8.19,4.36
2016,"Nandi S.","Trivedi G.",8.19,4.36
2016,"Dutt S.","Patel H.",8.19,4.36
2016,"Dutt S.","Nandi S.",8.19,4.36
2016,"Dutt S.","Trivedi G.",8.19,4.36
2016,"Patel H.","Nandi S.",8.19,4.36
2016,"Patel H.","Trivedi G.",8.19,4.36
2016,"Nandi S.","Trivedi G.",8.19,4.36
2015,"Dutt S.","Chauhan A.",8.19,4.36
2015,"Dutt S.","Nandi S.",8.19,4.36
2015,"Dutt S.","Trivedi G.",8.19,4.36
2015,"Chauhan A.","Nandi S.",8.19,4.36
2015,"Chauhan A.","Trivedi G.",8.19,4.36
2015,"Nandi S.","Trivedi G.",8.19,4.36
2015,"Dutt S.","Chauhan A.",8.19,4.36
2015,"Dutt S.","Bhadoriya R.",8.19,4.36
2015,"Dutt S.","Nandi S.",8.19,4.36
2015,"Dutt S.","Trivedi G.",8.19,4.36
2015,"Chauhan A.","Bhadoriya R.",8.19,4.36
2015,"Chauhan A.","Nandi S.",8.19,4.36
2015,"Chauhan A.","Trivedi G.",8.19,4.36
2015,"Bhadoriya R.","Nandi S.",8.19,4.36
2015,"Bhadoriya R.","Trivedi G.",8.19,4.36
2015,"Nandi S.","Trivedi G.",8.19,4.36
2017,"Lee S.","Ko H.",8.19,4.36
2016,"Yadav R.","Singh P.",8.19,4.36
2016,"Yadav R.","Shukla P.",8.19,4.36
2016,"Singh P.","Shukla P.",8.19,4.36
2021,"Trivedi G.","Dasgupta S.",8.19,4.36
2017,"Tiwari P.","Manas M.",8.19,4.36
2017,"Tiwari P.","Jan P.",8.19,4.36
2017,"Tiwari P.","Nemec Z.",8.19,4.36
2017,"Tiwari P.","Radovan D.",8.19,4.36
2017,"Tiwari P.","Mahanta P.",8.19,4.36
2017,"Tiwari P.","Trivedi G.",8.19,4.36
2017,"Manas M.","Jan P.",8.19,4.36
2017,"Manas M.","Nemec Z.",8.19,4.36
2017,"Manas M.","Radovan D.",8.19,4.36
2017,"Manas M.","Mahanta P.",8.19,4.36
2017,"Manas M.","Trivedi G.",8.19,4.36
2017,"Jan P.","Nemec Z.",8.19,4.36
2017,"Jan P.","Radovan D.",8.19,4.36
2017,"Jan P.","Mahanta P.",8.19,4.36
2017,"Jan P.","Trivedi G.",8.19,4.36
2017,"Nemec Z.","Radovan D.",8.19,4.36
2017,"Nemec Z.","Mahanta P.",8.19,4.36
2017,"Nemec Z.","Trivedi G.",8.19,4.36
2017,"Radovan D.","Mahanta P.",8.19,4.36
2017,"Radovan D.","Trivedi G.",8.19,4.36
2017,"Mahanta P.","Trivedi G.",8.19,4.36
2015,"Dash S.","Bangera V.",8.19,4.36
2015,"Dash S.","Kumar V.",8.19,4.36
2015,"Dash S.","Trivedi G.",8.19,4.36
2015,"Dash S.","Patkar S.",8.19,4.36
2015,"Bangera V.","Kumar V.",8.19,4.36
2015,"Bangera V.","Trivedi G.",8.19,4.36
2015,"Bangera V.","Patkar S.",8.19,4.36
2015,"Kumar V.","Trivedi G.",8.19,4.36
2015,"Kumar V.","Patkar S.",8.19,4.36
2015,"Trivedi G.","Patkar S.",8.19,4.36
2015,"Dash S.","Bangera V.",8.19,4.36
2015,"Dash S.","Patkar S.B.",8.19,4.36
2015,"Dash S.","Trivedi G.",8.19,4.36
2015,"Bangera V.","Patkar S.B.",8.19,4.36
2015,"Bangera V.","Trivedi G.",8.19,4.36
2015,"Patkar S.B.","Trivedi G.",8.19,4.36
2016,"Dash S.","Baishnab K.",8.19,4.36
2016,"Dash S.","Trivedi G.",8.19,4.36
2016,"Baishnab K.","Trivedi G.",8.19,4.36
2020,"Ray A.","Bordoloi S.",8.19,4.36
2020,"Ray A.","Sarkar B.",8.19,4.36
2020,"Ray A.","Agarwal P.",8.19,4.36
2020,"Ray A.","Trivedi G.",8.19,4.36
2020,"Bordoloi S.","Sarkar B.",8.19,4.36
2020,"Bordoloi S.","Agarwal P.",8.19,4.36
2020,"Bordoloi S.","Trivedi G.",8.19,4.36
2020,"Sarkar B.","Agarwal P.",8.19,4.36
2020,"Sarkar B.","Trivedi G.",8.19,4.36
2020,"Agarwal P.","Trivedi G.",8.19,4.36
2017,"Ray A.","Kumar G.",8.19,4.36
2017,"Ray A.","Bordoloi S.",8.19,4.36
2017,"Ray A.","Sinha D.K.",8.19,4.36
2017,"Ray A.","Agarwal P.",8.19,4.36
2017,"Ray A.","Trivedi G.",8.19,4.36
2017,"Kumar G.","Bordoloi S.",8.19,4.36
2017,"Kumar G.","Sinha D.K.",8.19,4.36
2017,"Kumar G.","Agarwal P.",8.19,4.36
2017,"Kumar G.","Trivedi G.",8.19,4.36
2017,"Bordoloi S.","Sinha D.K.",8.19,4.36
2017,"Bordoloi S.","Agarwal P.",8.19,4.36
2017,"Bordoloi S.","Trivedi G.",8.19,4.36
2017,"Sinha D.K.","Agarwal P.",8.19,4.36
2017,"Sinha D.K.","Trivedi G.",8.19,4.36
2017,"Agarwal P.","Trivedi G.",8.19,4.36
2017,"Gugulothu S.","Kumar G.",8.19,4.36
2017,"Gugulothu S.","Nemade H.B.",8.19,4.36
2017,"Gugulothu S.","Trivedi G.",8.19,4.36
2017,"Kumar G.","Nemade H.B.",8.19,4.36
2017,"Kumar G.","Trivedi G.",8.19,4.36
2017,"Nemade H.B.","Trivedi G.",8.19,4.36
2017,"Gugulothu S.","Kumar G.",8.19,4.36
2017,"Gugulothu S.","Kundu S.",8.19,4.36
2017,"Gugulothu S.","Nemade H.B.",8.19,4.36
2017,"Gugulothu S.","Trivedi G.",8.19,4.36
2017,"Kumar G.","Kundu S.",8.19,4.36
2017,"Kumar G.","Nemade H.B.",8.19,4.36
2017,"Kumar G.","Trivedi G.",8.19,4.36
2017,"Kundu S.","Nemade H.B.",8.19,4.36
2017,"Kundu S.","Trivedi G.",8.19,4.36
2017,"Nemade H.B.","Trivedi G.",8.19,4.36
2013,"Kapoor H.K.","Rao G.B.",8.19,4.36
2013,"Kapoor H.K.","Arshi S.",8.19,4.36
2013,"Kapoor H.K.","Trivedi G.",8.19,4.36
2013,"Rao G.B.","Arshi S.",8.19,4.36
2013,"Rao G.B.","Trivedi G.",8.19,4.36
2013,"Arshi S.","Trivedi G.",8.19,4.36
2020,"Dey S.","Nandi S.",8.19,4.36
2020,"Dey S.","Trivedi G.",8.19,4.36
2020,"Nandi S.","Trivedi G.",8.19,4.36
2019,"Dutt S.","Pidanic J.",8.19,4.36
2019,"Dutt S.","Nemec Z.",8.19,4.36
2019,"Dutt S.","Nandi S.",8.19,4.36
2019,"Dutt S.","Trivedi G.",8.19,4.36
2019,"Pidanic J.","Nemec Z.",8.19,4.36
2019,"Pidanic J.","Nandi S.",8.19,4.36
2019,"Pidanic J.","Trivedi G.",8.19,4.36
2019,"Nemec Z.","Nandi S.",8.19,4.36
2019,"Nemec Z.","Trivedi G.",8.19,4.36
2019,"Nandi S.","Trivedi G.",8.19,4.36
2019,"Dutt S.","Dash S.",8.19,4.36
2019,"Dutt S.","Nandi S.",8.19,4.36
2019,"Dutt S.","Trivedi G.",8.19,4.36
2019,"Dash S.","Nandi S.",8.19,4.36
2019,"Dash S.","Trivedi G.",8.19,4.36
2019,"Nandi S.","Trivedi G.",8.19,4.36
2018,"Dutt S.","Nandi S.",8.19,4.36
2018,"Dutt S.","Trivedi G.",8.19,4.36
2018,"Nandi S.","Trivedi G.",8.19,4.36
2018,"Dey S.","Dash S.",8.19,4.36
2018,"Dey S.","Nandi S.",8.19,4.36
2018,"Dey S.","Trivedi G.",8.19,4.36
2018,"Dash S.","Nandi S.",8.19,4.36
2018,"Dash S.","Trivedi G.",8.19,4.36
2018,"Nandi S.","Trivedi G.",8.19,4.36
2017,"Dutt S.","Nandi S.",8.19,4.36
2017,"Dutt S.","Trivedi G.",8.19,4.36
2017,"Nandi S.","Trivedi G.",8.19,4.36
2017,"Dutt S.","Paul B.",8.19,4.36
2017,"Dutt S.","Chauhan A.",8.19,4.36
2017,"Dutt S.","Nandi S.",8.19,4.36
2017,"Dutt S.","Trivedi G.",8.19,4.36
2017,"Paul B.","Chauhan A.",8.19,4.36
2017,"Paul B.","Nandi S.",8.19,4.36
2017,"Paul B.","Trivedi G.",8.19,4.36
2017,"Chauhan A.","Nandi S.",8.19,4.36
2017,"Chauhan A.","Trivedi G.",8.19,4.36
2017,"Nandi S.","Trivedi G.",8.19,4.36
2017,"Dey S.","Dash S.",8.19,4.36
2017,"Dey S.","Nandi S.",8.19,4.36
2017,"Dey S.","Trivedi G.",8.19,4.36
2017,"Dash S.","Nandi S.",8.19,4.36
2017,"Dash S.","Trivedi G.",8.19,4.36
2017,"Nandi S.","Trivedi G.",8.19,4.36
2016,"Bora D.","Thomas B.",8.19,4.36
2016,"Bora D.","Nandi S.",8.19,4.36
2016,"Bora D.","Trivedi G.",8.19,4.36
2016,"Thomas B.","Nandi S.",8.19,4.36
2016,"Thomas B.","Trivedi G.",8.19,4.36
2016,"Nandi S.","Trivedi G.",8.19,4.36
2015,"Khan P.I.","Kumar P.",8.19,4.36
2015,"Khan P.I.","Trivedi G.",8.19,4.36
2015,"Kumar P.","Trivedi G.",8.19,4.36
2017,"Joshi D.","Dash S.",8.19,4.36
2017,"Joshi D.","Jatana H.",8.19,4.36
2017,"Joshi D.","Bhattacharjee R.",8.19,4.36
2017,"Joshi D.","Trivedi G.",8.19,4.36
2017,"Dash S.","Jatana H.",8.19,4.36
2017,"Dash S.","Bhattacharjee R.",8.19,4.36
2017,"Dash S.","Trivedi G.",8.19,4.36
2017,"Jatana H.","Bhattacharjee R.",8.19,4.36
2017,"Jatana H.","Trivedi G.",8.19,4.36
2017,"Bhattacharjee R.","Trivedi G.",8.19,4.36
2016,"Joshi D.","Dash S.",8.19,4.36
2016,"Joshi D.","Agarwal U.",8.19,4.36
2016,"Joshi D.","Bhattacharjee R.",8.19,4.36
2016,"Joshi D.","Trivedi G.",8.19,4.36
2016,"Dash S.","Agarwal U.",8.19,4.36
2016,"Dash S.","Bhattacharjee R.",8.19,4.36
2016,"Dash S.","Trivedi G.",8.19,4.36
2016,"Agarwal U.","Bhattacharjee R.",8.19,4.36
2016,"Agarwal U.","Trivedi G.",8.19,4.36
2016,"Bhattacharjee R.","Trivedi G.",8.19,4.36
2015,"Joshi D.","Dash S.",8.19,4.36
2015,"Joshi D.","Bhattacharjee R.",8.19,4.36
2015,"Joshi D.","Trivedi G.",8.19,4.36
2015,"Dash S.","Bhattacharjee R.",8.19,4.36
2015,"Dash S.","Trivedi G.",8.19,4.36
2015,"Bhattacharjee R.","Trivedi G.",8.19,4.36
2019,"Dwivedi K.M.","Khijwania S.K.",8.19,4.36
2019,"Dwivedi K.M.","Trivedi G.",8.19,4.36
2019,"Dwivedi K.M.","Osuch T.",8.19,4.36
2019,"Khijwania S.K.","Trivedi G.",8.19,4.36
2019,"Khijwania S.K.","Osuch T.",8.19,4.36
2019,"Trivedi G.","Osuch T.",8.19,4.36
2019,"Dash S.","Trivedi G.",8.19,4.36
2019,"Dey A.","Dash S.",8.19,4.36
2019,"Dey A.","Tumati L.",8.19,4.36
2019,"Dey A.","Sharma S.",8.19,4.36
2019,"Dey A.","Megharajani N.",8.19,4.36
2019,"Dey A.","Janveja M.",8.19,4.36
2019,"Dey A.","Rodriguez I.",8.19,4.36
2019,"Dey A.","Trivedi G.",8.19,4.36
2019,"Dash S.","Tumati L.",8.19,4.36
2019,"Dash S.","Sharma S.",8.19,4.36
2019,"Dash S.","Megharajani N.",8.19,4.36
2019,"Dash S.","Janveja M.",8.19,4.36
2019,"Dash S.","Rodriguez I.",8.19,4.36
2019,"Dash S.","Trivedi G.",8.19,4.36
2019,"Tumati L.","Sharma S.",8.19,4.36
2019,"Tumati L.","Megharajani N.",8.19,4.36
2019,"Tumati L.","Janveja M.",8.19,4.36
2019,"Tumati L.","Rodriguez I.",8.19,4.36
2019,"Tumati L.","Trivedi G.",8.19,4.36
2019,"Sharma S.","Megharajani N.",8.19,4.36
2019,"Sharma S.","Janveja M.",8.19,4.36
2019,"Sharma S.","Rodriguez I.",8.19,4.36
2019,"Sharma S.","Trivedi G.",8.19,4.36
2019,"Megharajani N.","Janveja M.",8.19,4.36
2019,"Megharajani N.","Rodriguez I.",8.19,4.36
2019,"Megharajani N.","Trivedi G.",8.19,4.36
2019,"Janveja M.","Rodriguez I.",8.19,4.36
2019,"Janveja M.","Trivedi G.",8.19,4.36
2019,"Rodriguez I.","Trivedi G.",8.19,4.36
2019,"Dwivedi K.M.","Osuch T.",8.19,4.36
2019,"Dwivedi K.M.","Trivedi G.",8.19,4.36
2019,"Osuch T.","Trivedi G.",8.19,4.36
2019,"Bharadwaj K.","Ray A.",8.19,4.36
2019,"Bharadwaj K.","Bordoloi S.",8.19,4.36
2019,"Bharadwaj K.","Trivedi G.",8.19,4.36
2019,"Ray A.","Bordoloi S.",8.19,4.36
2019,"Ray A.","Trivedi G.",8.19,4.36
2019,"Bordoloi S.","Trivedi G.",8.19,4.36
2019,"Paul B.","Khobragade A.",8.19,4.36
2019,"Paul B.","Soumith J.",8.19,4.36
2019,"Paul B.","Goswami S.",8.19,4.36
2019,"Paul B.","Dutt S.",8.19,4.36
2019,"Paul B.","Trivedi G.",8.19,4.36
2019,"Khobragade A.","Soumith J.",8.19,4.36
2019,"Khobragade A.","Goswami S.",8.19,4.36
2019,"Khobragade A.","Dutt S.",8.19,4.36
2019,"Khobragade A.","Trivedi G.",8.19,4.36
2019,"Soumith J.","Goswami S.",8.19,4.36
2019,"Soumith J.","Dutt S.",8.19,4.36
2019,"Soumith J.","Trivedi G.",8.19,4.36
2019,"Goswami S.","Dutt S.",8.19,4.36
2019,"Goswami S.","Trivedi G.",8.19,4.36
2019,"Dutt S.","Trivedi G.",8.19,4.36
2019,"Dash S.","Dey S.",8.19,4.36
2019,"Dash S.","Augustine A.",8.19,4.36
2019,"Dash S.","Dhar R.S.",8.19,4.36
2019,"Dash S.","Pidanic J.",8.19,4.36
2019,"Dash S.","Nemec Z.",8.19,4.36
2019,"Dash S.","Trivedi G.",8.19,4.36
2019,"Dey S.","Augustine A.",8.19,4.36
2019,"Dey S.","Dhar R.S.",8.19,4.36
2019,"Dey S.","Pidanic J.",8.19,4.36
2019,"Dey S.","Nemec Z.",8.19,4.36
2019,"Dey S.","Trivedi G.",8.19,4.36
2019,"Augustine A.","Dhar R.S.",8.19,4.36
2019,"Augustine A.","Pidanic J.",8.19,4.36
2019,"Augustine A.","Nemec Z.",8.19,4.36
2019,"Augustine A.","Trivedi G.",8.19,4.36
2019,"Dhar R.S.","Pidanic J.",8.19,4.36
2019,"Dhar R.S.","Nemec Z.",8.19,4.36
2019,"Dhar R.S.","Trivedi G.",8.19,4.36
2019,"Pidanic J.","Nemec Z.",8.19,4.36
2019,"Pidanic J.","Trivedi G.",8.19,4.36
