year,importer1,importer2,flow1,flow2
2019,"Das J.P.","Setlur G.S.",8.19,4.36
2019,"Das J.","Setlur G.",8.19,4.36
2019,"Das J.","Chowdhury C.",8.19,4.36
2019,"Das J.","Setlur G.",8.19,4.36
2019,"Chowdhury C.","Setlur G.",8.19,4.36
2019,"Kumar U.","Kumar V.",8.19,4.36
2019,"Kumar U.",Enamullah,8.19,4.36
2019,"Kumar U.","Setlur G.S.",8.19,4.36
2019,"Kumar V.",Enamullah,8.19,4.36
2019,"Kumar V.","Setlur G.S.",8.19,4.36
2019,Enamullah,"Setlur G.S.",8.19,4.36
2018,"Das J.","Setlur G.",8.19,4.36
2018,"Das J.","Setlur G.",8.19,4.36
2018,"Kumar U.","Enamullah V.",8.19,4.36
2018,"Kumar U.","Setlur G.",8.19,4.36
2018,"Enamullah V.","Setlur G.",8.19,4.36
2018,"Kumar U.","Kumar V.",8.19,4.36
2018,"Kumar U.",Enamullah,8.19,4.36
2018,"Kumar U.","Setlur G.",8.19,4.36
2018,"Kumar V.",Enamullah,8.19,4.36
2018,"Kumar V.","Setlur G.",8.19,4.36
2018,Enamullah,"Setlur G.",8.19,4.36
2018,"Kumar U.","Kumar V.",8.19,4.36
2018,"Kumar U.",Enamullah,8.19,4.36
2018,"Kumar U.","Setlur G.",8.19,4.36
2018,"Kumar V.",Enamullah,8.19,4.36
2018,"Kumar V.","Setlur G.",8.19,4.36
2018,Enamullah,"Setlur G.",8.19,4.36
2017,"Das J.","Setlur G.",8.19,4.36
2014,"Kumar U.","Kumar V.",8.19,4.36
2014,"Kumar U.",Enamullah,8.19,4.36
2014,"Kumar U.","Setlur G.",8.19,4.36
2014,"Kumar V.",Enamullah,8.19,4.36
2014,"Kumar V.","Setlur G.",8.19,4.36
2014,Enamullah,"Setlur G.",8.19,4.36
2014,Enamullah,"Kumar V.",8.19,4.36
2014,Enamullah,"Kumar U.",8.19,4.36
2014,Enamullah,"Setlur G.",8.19,4.36
2014,"Kumar V.","Kumar U.",8.19,4.36
2014,"Kumar V.","Setlur G.",8.19,4.36
2014,"Kumar U.","Setlur G.",8.19,4.36
2014,"Kumar V.",Enamullah,8.19,4.36
2014,"Kumar V.","Kumar U.",8.19,4.36
2014,"Kumar V.","Setlur G.",8.19,4.36
2014,Enamullah,"Kumar U.",8.19,4.36
2014,Enamullah,"Setlur G.",8.19,4.36
2014,"Kumar U.","Setlur G.",8.19,4.36
2014,"Kumar V.","Enamullah E.",8.19,4.36
2014,"Kumar V.","Setlur G.S.",8.19,4.36
2014,"Enamullah E.","Setlur G.S.",8.19,4.36
2014,"Kumar V.",Enamullah,8.19,4.36
2014,"Kumar V.","Kumar U.",8.19,4.36
2014,"Kumar V.","Setlur G.S.",8.19,4.36
2014,Enamullah,"Kumar U.",8.19,4.36
2014,Enamullah,"Setlur G.S.",8.19,4.36
2014,"Kumar U.","Setlur G.S.",8.19,4.36
2014,Enamullah,"Kumar V.",8.19,4.36
2014,Enamullah,"Kuma U.",8.19,4.36
2014,Enamullah,"Setlur G.S.",8.19,4.36
2014,"Kumar V.","Kuma U.",8.19,4.36
2014,"Kumar V.","Setlur G.S.",8.19,4.36
2014,"Kuma U.","Setlur G.S.",8.19,4.36
2014,"Kumara V.","Enamullah M.",8.19,4.36
2014,"Kumara V.","Kumar U.",8.19,4.36
2014,"Kumara V.","Setlur G.",8.19,4.36
2014,"Enamullah M.","Kumar U.",8.19,4.36
2014,"Enamullah M.","Setlur G.",8.19,4.36
2014,"Kumar U.","Setlur G.",8.19,4.36
2014,"Khan E.","Kumar V.",8.19,4.36
2014,"Khan E.","Kumar U.",8.19,4.36
2014,"Khan E.","Setlur G.",8.19,4.36
2014,"Kumar V.","Kumar U.",8.19,4.36
2014,"Kumar V.","Setlur G.",8.19,4.36
2014,"Kumar U.","Setlur G.",8.19,4.36
2014,"Enamullah E.","Kumar V.",8.19,4.36
2014,"Enamullah E.","Kumar U.",8.19,4.36
2014,"Enamullah E.","Setlur G.S.",8.19,4.36
2014,"Kumar V.","Kumar U.",8.19,4.36
2014,"Kumar V.","Setlur G.S.",8.19,4.36
2014,"Kumar U.","Setlur G.S.",8.19,4.36
2013,Enamullah,"Kumar V.",8.19,4.36
2013,Enamullah,"Setlur G.",8.19,4.36
2013,"Kumar V.","Setlur G.",8.19,4.36
2013,"Kumar V.",Enamullah,8.19,4.36
2013,"Kumar V.","Setlur G.",8.19,4.36
2013,Enamullah,"Setlur G.",8.19,4.36
2013,"Kumar V.",Enamullah,8.19,4.36
2013,"Kumar V.","Kumar U.",8.19,4.36
2013,"Kumar V.","Setlur G.",8.19,4.36
2013,Enamullah,"Kumar U.",8.19,4.36
2013,Enamullah,"Setlur G.",8.19,4.36
2013,"Kumar U.","Setlur G.",8.19,4.36
2012,Enamullah,"Setlur G.",8.19,4.36
2012,Enamullah,"Kumar V.",8.19,4.36
2012,Enamullah,"Setlur G.",8.19,4.36
2012,"Kumar V.","Setlur G.",8.19,4.36
2020,"Das J.P.","Chowdhury C.",8.19,4.36
2020,"Das J.P.","Setlur G.S.",8.19,4.36
2020,"Chowdhury C.","Setlur G.S.",8.19,4.36
2020,"Babu N.D.","Das J.P.",8.19,4.36
2020,"Babu N.D.","Setlur G.S.",8.19,4.36
2020,"Das J.P.","Setlur G.S.",8.19,4.36
2022,"Babu N.D.","Setlur G.S.",8.19,4.36
