year,importer1,importer2,flow1,flow2
2019,"Atif N.","Bhuyan M.",8.19,4.36
2019,"Atif N.","Ahamed S.",8.19,4.36
2019,"Bhuyan M.","Ahamed S.",8.19,4.36
2020,"Jyoti Dutta H.P.","Sarma D.",8.19,4.36
2020,"Jyoti Dutta H.P.","Bhuyan M.K.",8.19,4.36
2020,"Jyoti Dutta H.P.","Laskar R.H.",8.19,4.36
2020,"Sarma D.","Bhuyan M.K.",8.19,4.36
2020,"Sarma D.","Laskar R.H.",8.19,4.36
2020,"Bhuyan M.K.","Laskar R.H.",8.19,4.36
2020,"Choudhary T.","Bhuyan M.",8.19,4.36
2020,"Choudhary T.","Sharma L.",8.19,4.36
2020,"Bhuyan M.","Sharma L.",8.19,4.36
2020,"Vishwakarma A.","Bhuyan M.K.",8.19,4.36
2020,"Chakraborty B.K.","Bhuyan M.K.",8.19,4.36
2021,"Kumar S.","Bhuyan M.K.",8.19,4.36
2021,"Kumar S.","Iwahori Y.",8.19,4.36
2021,"Bhuyan M.K.","Iwahori Y.",8.19,4.36
2020,"Kashyap S.K.","Jat D.",8.19,4.36
2020,"Kashyap S.K.","Bhuyan M.K.",8.19,4.36
2020,"Kashyap S.K.","Vishwakarma A.",8.19,4.36
2020,"Kashyap S.K.","Gadde P.",8.19,4.36
2020,"Jat D.","Bhuyan M.K.",8.19,4.36
2020,"Jat D.","Vishwakarma A.",8.19,4.36
2020,"Jat D.","Gadde P.",8.19,4.36
2020,"Bhuyan M.K.","Vishwakarma A.",8.19,4.36
2020,"Bhuyan M.K.","Gadde P.",8.19,4.36
2020,"Vishwakarma A.","Gadde P.",8.19,4.36
2020,"Singh J.P.","Iwahori Y.",8.19,4.36
2020,"Singh J.P.","Bhuyan M.K.",8.19,4.36
2020,"Singh J.P.","Usami H.",8.19,4.36
2020,"Singh J.P.","Oshiro T.",8.19,4.36
2020,"Singh J.P.","Shimizu Y.",8.19,4.36
2020,"Iwahori Y.","Bhuyan M.K.",8.19,4.36
2020,"Iwahori Y.","Usami H.",8.19,4.36
2020,"Iwahori Y.","Oshiro T.",8.19,4.36
2020,"Iwahori Y.","Shimizu Y.",8.19,4.36
2020,"Bhuyan M.K.","Usami H.",8.19,4.36
2020,"Bhuyan M.K.","Oshiro T.",8.19,4.36
2020,"Bhuyan M.K.","Shimizu Y.",8.19,4.36
2020,"Usami H.","Oshiro T.",8.19,4.36
2020,"Usami H.","Shimizu Y.",8.19,4.36
2020,"Oshiro T.","Shimizu Y.",8.19,4.36
2020,"Reginthala M.","Iwahori Y.",8.19,4.36
2020,"Reginthala M.","Bhuyan M.K.",8.19,4.36
2020,"Reginthala M.","Hayashi Y.",8.19,4.36
2020,"Reginthala M.","Achariyaviriya W.",8.19,4.36
2020,"Reginthala M.","Kijsirikul B.",8.19,4.36
2020,"Iwahori Y.","Bhuyan M.K.",8.19,4.36
2020,"Iwahori Y.","Hayashi Y.",8.19,4.36
2020,"Iwahori Y.","Achariyaviriya W.",8.19,4.36
2020,"Iwahori Y.","Kijsirikul B.",8.19,4.36
2020,"Bhuyan M.K.","Hayashi Y.",8.19,4.36
2020,"Bhuyan M.K.","Achariyaviriya W.",8.19,4.36
2020,"Bhuyan M.K.","Kijsirikul B.",8.19,4.36
2020,"Hayashi Y.","Achariyaviriya W.",8.19,4.36
2020,"Hayashi Y.","Kijsirikul B.",8.19,4.36
2020,"Achariyaviriya W.","Kijsirikul B.",8.19,4.36
2020,"Iwahori Y.","Tsukada Y.",8.19,4.36
2020,"Iwahori Y.","Iwamoto T.",8.19,4.36
2020,"Iwahori Y.","Funahashi K.",8.19,4.36
2020,"Iwahori Y.","Ueda J.",8.19,4.36
2020,"Iwahori Y.","Bhuyan M.",8.19,4.36
2020,"Tsukada Y.","Iwamoto T.",8.19,4.36
2020,"Tsukada Y.","Funahashi K.",8.19,4.36
2020,"Tsukada Y.","Ueda J.",8.19,4.36
2020,"Tsukada Y.","Bhuyan M.",8.19,4.36
2020,"Iwamoto T.","Funahashi K.",8.19,4.36
2020,"Iwamoto T.","Ueda J.",8.19,4.36
2020,"Iwamoto T.","Bhuyan M.",8.19,4.36
2020,"Funahashi K.","Ueda J.",8.19,4.36
