year,importer1,importer2,flow1,flow2
2019,"Mondal S.K.","Beriya M.K.",8.19,4.36
2019,"Mondal S.K.","Saha P.",8.19,4.36
2019,"Beriya M.K.","Saha P.",8.19,4.36
2019,"Chakraborty S.","Saha P.",8.19,4.36
2018,"Aadaleesan P.","Saha P.",8.19,4.36
2018,"Mondal S.K.","Saha P.",8.19,4.36
2017,"Reddy R.","Saha P.",8.19,4.36
2017,"Aadaleesan P.","Saha P.",8.19,4.36
2017,"Aadaleesan P.","Saha P.",8.19,4.36
2017,"Reddy R.","Saha P.",8.19,4.36
2017,"Reddy R.","Saha P.",8.19,4.36
2017,"Bhatluri K.","Manna M.",8.19,4.36
2017,"Bhatluri K.","Ghoshal A.",8.19,4.36
2017,"Bhatluri K.","Saha P.",8.19,4.36
2017,"Manna M.","Ghoshal A.",8.19,4.36
2017,"Manna M.","Saha P.",8.19,4.36
2017,"Ghoshal A.","Saha P.",8.19,4.36
2016,"Kumar A.","Manna M.S.",8.19,4.36
2016,"Kumar A.","Ghoshal A.K.",8.19,4.36
2016,"Kumar A.","Saha P.",8.19,4.36
2016,"Manna M.S.","Ghoshal A.K.",8.19,4.36
2016,"Manna M.S.","Saha P.",8.19,4.36
2016,"Ghoshal A.K.","Saha P.",8.19,4.36
2015,"Bhatluri K.","Chakraborty S.",8.19,4.36
2015,"Bhatluri K.","Manna M.",8.19,4.36
2015,"Bhatluri K.","Ghoshal A.",8.19,4.36
2015,"Bhatluri K.","Saha P.",8.19,4.36
2015,"Chakraborty S.","Manna M.",8.19,4.36
2015,"Chakraborty S.","Ghoshal A.",8.19,4.36
2015,"Chakraborty S.","Saha P.",8.19,4.36
2015,"Manna M.","Ghoshal A.",8.19,4.36
2015,"Manna M.","Saha P.",8.19,4.36
2015,"Ghoshal A.","Saha P.",8.19,4.36
2015,"Manna M.","Saha P.",8.19,4.36
2015,"Manna M.","Ghoshal A.",8.19,4.36
2015,"Saha P.","Ghoshal A.",8.19,4.36
2015,"Ghoshal A.K.","Saha P.",8.19,4.36
2015,"Bhatluri K.","Manna M.",8.19,4.36
2015,"Bhatluri K.","Ghoshal A.",8.19,4.36
2015,"Bhatluri K.","Saha P.",8.19,4.36
2015,"Manna M.","Ghoshal A.",8.19,4.36
2015,"Manna M.","Saha P.",8.19,4.36
2015,"Ghoshal A.","Saha P.",8.19,4.36
2014,"Manna M.","Saha P.",8.19,4.36
2014,"Manna M.","Ghoshal A.",8.19,4.36
2014,"Saha P.","Ghoshal A.",8.19,4.36
2014,"Bhatluri K.K.","Manna M.S.",8.19,4.36
2014,"Bhatluri K.K.","Saha P.",8.19,4.36
2014,"Bhatluri K.K.","Ghoshal A.K.",8.19,4.36
2014,"Manna M.S.","Saha P.",8.19,4.36
2014,"Manna M.S.","Ghoshal A.K.",8.19,4.36
2014,"Saha P.","Ghoshal A.K.",8.19,4.36
2014,"Manna M.","Saha P.",8.19,4.36
2014,"Manna M.","Ghoshal A.",8.19,4.36
2014,"Saha P.","Ghoshal A.",8.19,4.36
2013,"Manna M.","Bhatluri K.",8.19,4.36
2013,"Manna M.","Saha P.",8.19,4.36
2013,"Manna M.","Ghoshal A.",8.19,4.36
2013,"Bhatluri K.","Saha P.",8.19,4.36
2013,"Bhatluri K.","Ghoshal A.",8.19,4.36
2013,"Saha P.","Ghoshal A.",8.19,4.36
2013,"Bhatluri K.K.","Manna M.S.",8.19,4.36
2013,"Bhatluri K.K.","Saha P.",8.19,4.36
2013,"Bhatluri K.K.","Ghoshal A.K.",8.19,4.36
2013,"Manna M.S.","Saha P.",8.19,4.36
2013,"Manna M.S.","Ghoshal A.K.",8.19,4.36
2013,"Saha P.","Ghoshal A.K.",8.19,4.36
2013,"Cheripally G.S.","Mannava A.",8.19,4.36
2013,"Cheripally G.S.","Kumar G.",8.19,4.36
2013,"Cheripally G.S.","Gupta R.",8.19,4.36
2013,"Cheripally G.S.","Saha P.",8.19,4.36
2013,"Cheripally G.S.","Mandal B.",8.19,4.36
2013,"Cheripally G.S.","Uppaluri R.",8.19,4.36
2013,"Cheripally G.S.","Gumma S.",8.19,4.36
2013,"Cheripally G.S.","Ghoshal A.K.",8.19,4.36
2013,"Mannava A.","Kumar G.",8.19,4.36
2013,"Mannava A.","Gupta R.",8.19,4.36
2013,"Mannava A.","Saha P.",8.19,4.36
2013,"Mannava A.","Mandal B.",8.19,4.36
2013,"Mannava A.","Uppaluri R.",8.19,4.36
2013,"Mannava A.","Gumma S.",8.19,4.36
2013,"Mannava A.","Ghoshal A.K.",8.19,4.36
2013,"Kumar G.","Gupta R.",8.19,4.36
2013,"Kumar G.","Saha P.",8.19,4.36
2013,"Kumar G.","Mandal B.",8.19,4.36
2013,"Kumar G.","Uppaluri R.",8.19,4.36
2013,"Kumar G.","Gumma S.",8.19,4.36
2013,"Kumar G.","Ghoshal A.K.",8.19,4.36
2013,"Gupta R.","Saha P.",8.19,4.36
2013,"Gupta R.","Mandal B.",8.19,4.36
2013,"Gupta R.","Uppaluri R.",8.19,4.36
2013,"Gupta R.","Gumma S.",8.19,4.36
2013,"Gupta R.","Ghoshal A.K.",8.19,4.36
2013,"Saha P.","Mandal B.",8.19,4.36
2013,"Saha P.","Uppaluri R.",8.19,4.36
2013,"Saha P.","Gumma S.",8.19,4.36
2013,"Saha P.","Ghoshal A.K.",8.19,4.36
2013,"Mandal B.","Uppaluri R.",8.19,4.36
2013,"Mandal B.","Gumma S.",8.19,4.36
2013,"Mandal B.","Ghoshal A.K.",8.19,4.36
2013,"Uppaluri R.","Gumma S.",8.19,4.36
2013,"Uppaluri R.","Ghoshal A.K.",8.19,4.36
2013,"Gumma S.","Ghoshal A.K.",8.19,4.36
2013,"Manna M.","Bhatluri K.",8.19,4.36
2013,"Manna M.","Saha P.",8.19,4.36
2013,"Manna M.","Ghoshal A.",8.19,4.36
2013,"Bhatluri K.","Saha P.",8.19,4.36
2013,"Bhatluri K.","Ghoshal A.",8.19,4.36
2013,"Saha P.","Ghoshal A.",8.19,4.36
2013,"Bhatluri K.","Manna M.",8.19,4.36
2013,"Bhatluri K.","Saha P.",8.19,4.36
2013,"Bhatluri K.","Ghoshal A.",8.19,4.36
2013,"Manna M.","Saha P.",8.19,4.36
2013,"Manna M.","Ghoshal A.",8.19,4.36
2013,"Saha P.","Ghoshal A.",8.19,4.36
2012,"Manna M.","Bhatluri K.",8.19,4.36
2012,"Manna M.","Saha P.",8.19,4.36
2012,"Manna M.","Ghoshal A.",8.19,4.36
2012,"Bhatluri K.","Saha P.",8.19,4.36
2012,"Bhatluri K.","Ghoshal A.",8.19,4.36
2012,"Saha P.","Ghoshal A.",8.19,4.36
2012,"Subhajit P.","Prabirkumar S.",8.19,4.36
2020,"Mondal S.K.","Saha P.",8.19,4.36
2021,"Sarkar S.","Mondal S.K.",8.19,4.36
