year,importer1,importer2,flow1,flow2
2016,"Dragomir S.","Shahid M.",8.19,4.36
2016,"Dragomir S.","Al-Solamy F.",8.19,4.36
2016,"Shahid M.","Al-Solamy F.",8.19,4.36
2015,"Khanikar K.","Sinha R.",8.19,4.36
2015,"Khanikar K.","Bhattacharjee R.",8.19,4.36
2015,"Sinha R.","Bhattacharjee R.",8.19,4.36
2014,"Khanikar K.","Sinha R.",8.19,4.36
2014,"Khanikar K.","Bhattacharjee R.",8.19,4.36
2014,"Sinha R.","Bhattacharjee R.",8.19,4.36
2016,"Das D.","Anand A.",8.19,4.36
2016,"Das D.","Bora P.",8.19,4.36
2016,"Das D.","Bhattacharjee R.",8.19,4.36
2016,"Anand A.","Bora P.",8.19,4.36
2016,"Anand A.","Bhattacharjee R.",8.19,4.36
2016,"Bora P.","Bhattacharjee R.",8.19,4.36
2016,"Das D.","Bora P.",8.19,4.36
2016,"Das D.","Bhattacharjee R.",8.19,4.36
2016,"Bora P.","Bhattacharjee R.",8.19,4.36
2017,"Ravishankar Rai V.","Bai J.A.",8.19,4.36
2018,"Yadav A.","Bhattacharjee R.",8.19,4.36
2017,"Yadav A.","Bhattacharjee R.",8.19,4.36
2017,"Yadav A.","Bhattacharjee R.",8.19,4.36
2017,"Yadav A.N.","Bhattacharjee R.",8.19,4.36
2017,"Yadav A.N.","Bhattacharjee R.",8.19,4.36
2017,"Yadav A.","Bhattacharjee R.",8.19,4.36
2016,"Yadav A.","Bhattacharjee R.",8.19,4.36
2016,"Yadav A.","Bhattacharjee R.",8.19,4.36
2017,"Bhattacharjee R.","Dandapat A.",8.19,4.36
2020,"Roy A.","Nemade H.B.",8.19,4.36
2020,"Roy A.","Bhattacharjee R.",8.19,4.36
2020,"Nemade H.B.","Bhattacharjee R.",8.19,4.36
2019,"Roy A.","Nemade H.",8.19,4.36
2019,"Roy A.","Bhattacharjee R.",8.19,4.36
2019,"Nemade H.","Bhattacharjee R.",8.19,4.36
2019,"Roy A.","Nemade H.",8.19,4.36
2019,"Roy A.","Bhattacharjee R.",8.19,4.36
2019,"Nemade H.","Bhattacharjee R.",8.19,4.36
2019,"Roy A.","Deb D.",8.19,4.36
2019,"Roy A.","Nemade H.B.",8.19,4.36
2019,"Roy A.","Bhattacharjee R.",8.19,4.36
2019,"Deb D.","Nemade H.B.",8.19,4.36
2019,"Deb D.","Bhattacharjee R.",8.19,4.36
2019,"Nemade H.B.","Bhattacharjee R.",8.19,4.36
2017,"Roy A.","Nemade H.B.",8.19,4.36
2017,"Roy A.","Bhattacharjee R.",8.19,4.36
2017,"Roy A.","Kushwah V.",8.19,4.36
2017,"Nemade H.B.","Bhattacharjee R.",8.19,4.36
2017,"Nemade H.B.","Kushwah V.",8.19,4.36
2017,"Bhattacharjee R.","Kushwah V.",8.19,4.36
2017,"Roy A.","Nemade H.B.",8.19,4.36
2017,"Roy A.","Bhattacharjee R.",8.19,4.36
2017,"Nemade H.B.","Bhattacharjee R.",8.19,4.36
2017,"Roy A.","Nemade H.",8.19,4.36
2017,"Roy A.","Bhattacharjee R.",8.19,4.36
2017,"Nemade H.","Bhattacharjee R.",8.19,4.36
2017,"Prasad Gedela R.B.","Nemade H.B.",8.19,4.36
2017,"Prasad Gedela R.B.","Bhattacharjee R.",8.19,4.36
2017,"Nemade H.B.","Bhattacharjee R.",8.19,4.36
2016,"Roy A.","Nemade H.",8.19,4.36
2016,"Roy A.","Bhattacharjee R.",8.19,4.36
2016,"Nemade H.","Bhattacharjee R.",8.19,4.36
2014,"Roy A.","Nemade H.",8.19,4.36
2014,"Roy A.","Bhattacharjee R.",8.19,4.36
2014,"Nemade H.","Bhattacharjee R.",8.19,4.36
2018,"Das D.","Bora P.",8.19,4.36
2018,"Das D.","Bhattacharjee R.",8.19,4.36
2018,"Bora P.","Bhattacharjee R.",8.19,4.36
2017,"Bhattacharjee S.","Kshetrimayum R.",8.19,4.36
2017,"Bhattacharjee S.","Bhattacharjee R.",8.19,4.36
2017,"Kshetrimayum R.","Bhattacharjee R.",8.19,4.36
2016,"Bhattacharjee S.","Kshetrimayum R.",8.19,4.36
2016,"Bhattacharjee S.","Bhattacharjee R.",8.19,4.36
2016,"Kshetrimayum R.","Bhattacharjee R.",8.19,4.36
2016,"Bhattacharjee S.","Kshetrimayum R.",8.19,4.36
2016,"Bhattacharjee S.","Bhattacharjee R.",8.19,4.36
2016,"Kshetrimayum R.","Bhattacharjee R.",8.19,4.36
2015,"Bhattacharjee S.","Kshetrimayum R.S.",8.19,4.36
2015,"Bhattacharjee S.","Bhattacharjee R.",8.19,4.36
2015,"Kshetrimayum R.S.","Bhattacharjee R.",8.19,4.36
2015,"Bhattacharjee S.","Kshetrimayum R.S.",8.19,4.36
2015,"Bhattacharjee S.","Bhattacharjee R.",8.19,4.36
2015,"Kshetrimayum R.S.","Bhattacharjee R.",8.19,4.36
2020,"Joshi M.K.","Nayek N.",8.19,4.36
2020,"Joshi M.K.","Tiwari T.",8.19,4.36
2020,"Joshi M.K.","Pidanic J.",8.19,4.36
2020,"Joshi M.K.","Nemec Z.",8.19,4.36
2020,"Joshi M.K.","Bhattacharjee R.",8.19,4.36
2020,"Nayek N.","Tiwari T.",8.19,4.36
2020,"Nayek N.","Pidanic J.",8.19,4.36
2020,"Nayek N.","Nemec Z.",8.19,4.36
2020,"Nayek N.","Bhattacharjee R.",8.19,4.36
2020,"Tiwari T.","Pidanic J.",8.19,4.36
2020,"Tiwari T.","Nemec Z.",8.19,4.36
2020,"Tiwari T.","Bhattacharjee R.",8.19,4.36
2020,"Pidanic J.","Nemec Z.",8.19,4.36
2020,"Pidanic J.","Bhattacharjee R.",8.19,4.36
2020,"Nemec Z.","Bhattacharjee R.",8.19,4.36
2020,"Joshi M.K.","Nayek N.",8.19,4.36
2020,"Joshi M.K.","Tiwari T.",8.19,4.36
2020,"Joshi M.K.","Bhattacharjee R.",8.19,4.36
2020,"Nayek N.","Tiwari T.",8.19,4.36
2020,"Nayek N.","Bhattacharjee R.",8.19,4.36
2020,"Tiwari T.","Bhattacharjee R.",8.19,4.36
2019,"Debbarma K.","Bhattacharjee R.",8.19,4.36
2019,"Debbarma K.","Bhattacharjee R.",8.19,4.36
2019,"Prasad B.","Bhattacharjee R.",8.19,4.36
2019,"Prasad B.","Bose S.K.",8.19,4.36
2019,"Bhattacharjee R.","Bose S.K.",8.19,4.36
2019,"Nayek N.","Sonkar R.K.",8.19,4.36
2019,"Nayek N.","Bhattacharjee R.",8.19,4.36
2019,"Sonkar R.K.","Bhattacharjee R.",8.19,4.36
2019,"Joshi M.K.","Tiwari T.",8.19,4.36
2019,"Joshi M.K.","Bhattacharjee R.",8.19,4.36
2019,"Tiwari T.","Bhattacharjee R.",8.19,4.36
2019,"Joshi M.K.","Vyas S.K.",8.19,4.36
2019,"Joshi M.K.","Tiwari T.",8.19,4.36
2019,"Joshi M.K.","Pidanic J.",8.19,4.36
2019,"Joshi M.K.","Nemec Z.",8.19,4.36
2019,"Joshi M.K.","Bhattacharjee R.",8.19,4.36
2019,"Vyas S.K.","Tiwari T.",8.19,4.36
2019,"Vyas S.K.","Pidanic J.",8.19,4.36
2019,"Vyas S.K.","Nemec Z.",8.19,4.36
2019,"Vyas S.K.","Bhattacharjee R.",8.19,4.36
2019,"Tiwari T.","Pidanic J.",8.19,4.36
2019,"Tiwari T.","Nemec Z.",8.19,4.36
2019,"Tiwari T.","Bhattacharjee R.",8.19,4.36
2019,"Pidanic J.","Nemec Z.",8.19,4.36
2019,"Pidanic J.","Bhattacharjee R.",8.19,4.36
2019,"Nemec Z.","Bhattacharjee R.",8.19,4.36
2019,"Prajapati J.","Bharadwaj M.",8.19,4.36
2019,"Prajapati J.","Chatterjee A.",8.19,4.36
2019,"Prajapati J.","Bhattacharjee R.",8.19,4.36
2019,"Bharadwaj M.","Chatterjee A.",8.19,4.36
2019,"Bharadwaj M.","Bhattacharjee R.",8.19,4.36
2019,"Chatterjee A.","Bhattacharjee R.",8.19,4.36
2019,"Anoop P.","Bhattacharjee R.",8.19,4.36
2019,"Joshi M.K.","Bhattacharjee R.",8.19,4.36
2022,"Bharadwaj M.","Prajapati J.",8.19,4.36
2022,"Bharadwaj M.","Bhattacharjee R.",8.19,4.36
2022,"Prajapati J.","Bhattacharjee R.",8.19,4.36
2019,"Bharadwaj M.","Prajapati J.",8.19,4.36
2019,"Bharadwaj M.","Bhattacharjee R.",8.19,4.36
2019,"Prajapati J.","Bhattacharjee R.",8.19,4.36
2018,"Qumar J.","Christopher S.",8.19,4.36
2018,"Qumar J.","Bhattacharjee R.",8.19,4.36
2018,"Christopher S.","Bhattacharjee R.",8.19,4.36
2018,"Debbarma K.","Bhattacharjee R.",8.19,4.36
2018,"Qumar J.","Christopher S.",8.19,4.36
2018,"Qumar J.","Bhattacharjee R.",8.19,4.36
2018,"Christopher S.","Bhattacharjee R.",8.19,4.36
2018,"Bhattacharjee R.","Debbarma K.",8.19,4.36
2018,"Khanikar K.","Sinha R.",8.19,4.36
2018,"Khanikar K.","Bhattacharjee R.",8.19,4.36
2018,"Sinha R.","Bhattacharjee R.",8.19,4.36
2018,"Bharadwaj M.","Prajapati J.",8.19,4.36
2018,"Bharadwaj M.","Bhattacharjee R.",8.19,4.36
2018,"Prajapati J.","Bhattacharjee R.",8.19,4.36
2018,"Joshi M.K.","Vyas S.K.",8.19,4.36
2018,"Joshi M.K.","Tiwari T.",8.19,4.36
2018,"Joshi M.K.","Bhattacharjee R.",8.19,4.36
2018,"Vyas S.K.","Tiwari T.",8.19,4.36
2018,"Vyas S.K.","Bhattacharjee R.",8.19,4.36
2018,"Tiwari T.","Bhattacharjee R.",8.19,4.36
2018,"Qumar J.","Christopher S.",8.19,4.36
2018,"Qumar J.","Bhattacharjee R.",8.19,4.36
2018,"Christopher S.","Bhattacharjee R.",8.19,4.36
2018,"Prajapati J.","Bharadwaj M.",8.19,4.36
2018,"Prajapati J.","Chatterjee A.",8.19,4.36
2018,"Prajapati J.","Bhattacharjee R.",8.19,4.36
2018,"Bharadwaj M.","Chatterjee A.",8.19,4.36
2018,"Bharadwaj M.","Bhattacharjee R.",8.19,4.36
2018,"Chatterjee A.","Bhattacharjee R.",8.19,4.36
2018,"Jana R.","Bhattacharjee R.",8.19,4.36
2017,"Bhattacharjee A.","Bhattacharjee R.",8.19,4.36
2017,"Bhattacharjee A.","Bose S.K.",8.19,4.36
2017,"Bhattacharjee R.","Bose S.K.",8.19,4.36
2017,"Joshi D.","Dash S.",8.19,4.36
2017,"Joshi D.","Jatana H.",8.19,4.36
2017,"Joshi D.","Bhattacharjee R.",8.19,4.36
2017,"Joshi D.","Trivedi G.",8.19,4.36
2017,"Dash S.","Jatana H.",8.19,4.36
2017,"Dash S.","Bhattacharjee R.",8.19,4.36
2017,"Dash S.","Trivedi G.",8.19,4.36
2017,"Jatana H.","Bhattacharjee R.",8.19,4.36
2017,"Jatana H.","Trivedi G.",8.19,4.36
2017,"Bhattacharjee R.","Trivedi G.",8.19,4.36
2017,"Prajapati J.","Bharadwaj M.",8.19,4.36
2017,"Prajapati J.","Chatterjee A.",8.19,4.36
2017,"Prajapati J.","Bhattacharjee R.",8.19,4.36
2017,"Bharadwaj M.","Chatterjee A.",8.19,4.36
2017,"Bharadwaj M.","Bhattacharjee R.",8.19,4.36
2017,"Chatterjee A.","Bhattacharjee R.",8.19,4.36
2017,"Mishra R.","Bhattacharjee R.",8.19,4.36
2017,"Mishra R.C.","Bhattacharjee R.",8.19,4.36
2017,"Khanikar K.","Sinha R.",8.19,4.36
2017,"Khanikar K.","Bhattacharjee R.",8.19,4.36
2017,"Sinha R.","Bhattacharjee R.",8.19,4.36
2017,"Prajapati J.","Bharadwaj M.",8.19,4.36
2017,"Prajapati J.","Chatterjee A.",8.19,4.36
2017,"Prajapati J.","Bhattacharjee R.",8.19,4.36
2017,"Bharadwaj M.","Chatterjee A.",8.19,4.36
2017,"Bharadwaj M.","Bhattacharjee R.",8.19,4.36
2017,"Chatterjee A.","Bhattacharjee R.",8.19,4.36
2017,"Prajapati J.","Bharadwaj M.",8.19,4.36
2017,"Prajapati J.","Chatterjee A.",8.19,4.36
2017,"Prajapati J.","Bhattacharjee R.",8.19,4.36
2017,"Bharadwaj M.","Chatterjee A.",8.19,4.36
2017,"Bharadwaj M.","Bhattacharjee R.",8.19,4.36
2017,"Chatterjee A.","Bhattacharjee R.",8.19,4.36
2017,"Bhattacharjee A.","Bhattacharjee R.",8.19,4.36
2017,"Bhattacharjee A.","Bose S.K.",8.19,4.36
2017,"Bhattacharjee R.","Bose S.K.",8.19,4.36
2017,"Joshi M.K.","Vyas S.K.",8.19,4.36
2017,"Joshi M.K.","Tiwari T.",8.19,4.36
2017,"Joshi M.K.","Bhattacharjee R.",8.19,4.36
2017,"Vyas S.K.","Tiwari T.",8.19,4.36
2017,"Vyas S.K.","Bhattacharjee R.",8.19,4.36
2017,"Tiwari T.","Bhattacharjee R.",8.19,4.36
2017,"Bharadwaj M.","Prajapati J.",8.19,4.36
2017,"Bharadwaj M.","Bhattacharjee R.",8.19,4.36
2017,"Prajapati J.","Bhattacharjee R.",8.19,4.36
2017,"Deb D.","Bhattacharjee R.",8.19,4.36
2017,"Deb D.","Vengadarajan A.",8.19,4.36
2017,"Bhattacharjee R.","Vengadarajan A.",8.19,4.36
2017,"Prajapati J.","Bharadwaj M.",8.19,4.36
2017,"Prajapati J.","Chatterjee A.",8.19,4.36
2017,"Prajapati J.","Bhattacharjee R.",8.19,4.36
2017,"Bharadwaj M.","Chatterjee A.",8.19,4.36
2017,"Bharadwaj M.","Bhattacharjee R.",8.19,4.36
2017,"Chatterjee A.","Bhattacharjee R.",8.19,4.36
2017,"Bharadwaj M.","Reddy J.",8.19,4.36
2017,"Bharadwaj M.","Bhattacharjee R.",8.19,4.36
2017,"Reddy J.","Bhattacharjee R.",8.19,4.36
2016,"Qumar J.","Christopher S.",8.19,4.36
2016,"Qumar J.","Bhattacharjee R.",8.19,4.36
2016,"Christopher S.","Bhattacharjee R.",8.19,4.36
2016,"Anoop P.","Bhattacharjee R.",8.19,4.36
2016,"Anoop P.","Bhattacharjee R.",8.19,4.36
2016,"Jana R.","Bhattacharjee R.",8.19,4.36
2016,"Das H.","Bhattacharjee R.",8.19,4.36
2016,"Prajapati J.","Bharadwaj M.",8.19,4.36
2016,"Prajapati J.","Chatterjee A.",8.19,4.36
2016,"Prajapati J.","Bhattacharjee R.",8.19,4.36
2016,"Bharadwaj M.","Chatterjee A.",8.19,4.36
2016,"Bharadwaj M.","Bhattacharjee R.",8.19,4.36
2016,"Chatterjee A.","Bhattacharjee R.",8.19,4.36
2016,"Mishra R.C.","Bhattacharjee R.",8.19,4.36
2016,"Prajapati J.","Boini V.",8.19,4.36
2016,"Prajapati J.","Bharadwaj M.",8.19,4.36
2016,"Prajapati J.","Bhattacharjee R.",8.19,4.36
2016,"Boini V.","Bharadwaj M.",8.19,4.36
2016,"Boini V.","Bhattacharjee R.",8.19,4.36
2016,"Bharadwaj M.","Bhattacharjee R.",8.19,4.36
2016,"Joshi D.","Dash S.",8.19,4.36
