year,importer1,importer2,flow1,flow2
2020,"Pan S.","Raha S.",8.19,4.36
2020,"Pan S.","Chakrabarty S.P.",8.19,4.36
2020,"Raha S.","Chakrabarty S.P.",8.19,4.36
2020,"Pan S.","Chakrabarty S.",8.19,4.36
2019,"Kanaujiya A.","Chakrabarty S.P.",8.19,4.36
2020,"Jain S.","Chakrabarty S.P.",8.19,4.36
2018,"Pan S.","Chakrabarty S.",8.19,4.36
2018,"Kumar D.","Chakrabarty S.P.",8.19,4.36
2018,"Manna K.","Chakrabarty S.P.",8.19,4.36
2017,"Kanaujiya A.","Chakrabarty S.P.",8.19,4.36
2017,"Kanaujiya A.","Chakrabarty S.",8.19,4.36
2017,"Kumar D.","Chakrabarty S.",8.19,4.36
2017,"Manna K.","Chakrabarty S.P.",8.19,4.36
2017,"Manna K.","Chakrabarty S.",8.19,4.36
2015,"Manna K.","Chakrabarty S.",8.19,4.36
2015,"Pachpute G.","Chakrabarty S.",8.19,4.36
2015,"Manna K.","Chakrabarty S.P.",8.19,4.36
2015,"Kumar D.","Chakrabarty S.",8.19,4.36
2015,"Kumar D.","Chakrabarty S.P.",8.19,4.36
2013,"Pachpute G.","Chakrabarty S.",8.19,4.36
2013,"Rai T.","Chakrabarty S.",8.19,4.36
2012,"Pachpute G.","Chakrabarty S.",8.19,4.36
2012,"Chakrabarty S.","Murray J.",8.19,4.36
2012,"Kumar A.","Waikos A.",8.19,4.36
2012,"Kumar A.","Chakrabarty S.P.",8.19,4.36
2012,"Waikos A.","Chakrabarty S.P.",8.19,4.36
2012,"Chakrabarty S.P.","Zhu Z.",8.19,4.36
2012,"Siddhartha P. Chakrabarty","Malay Banerjee",8.19,4.36
2015,"Lavleen Goyal","Siddhartha P. Chakrabarty",8.19,4.36
2020,"Oberoi S.","Girach M.B.",8.19,4.36
2020,"Oberoi S.","Chakrabarty S.P.",8.19,4.36
2020,"Girach M.B.","Chakrabarty S.P.",8.19,4.36
2020,"Pan S.","Chakrabarty S.P.",8.19,4.36
2021,"Girach M.B.","Oberoi S.",8.19,4.36
2021,"Girach M.B.","Chakrabarty S.P.",8.19,4.36
2021,"Oberoi S.","Chakrabarty S.P.",8.19,4.36
2021,"Kanaujiya A.","Chakrabarty S.P.",8.19,4.36
2022,"Pan S.","Chakrabarty S.P.",8.19,4.36
2022,"Nag S.","Basu S.",8.19,4.36
2022,"Nag S.","Chakrabarty S.P.",8.19,4.36
2022,"Basu S.","Chakrabarty S.P.",8.19,4.36
2022,"Poonia A.","Chakrabarty S.P.",8.19,4.36
2022,"Nag S.","Chakrabarty S.P.",8.19,4.36
2022,"Barik D.N.","Chakrabarty S.P.",8.19,4.36
2022,"Tiwari R.","Chakrabarty S.P.",8.19,4.36
2022,"Mondal D.","Chakrabarty S.P.",8.19,4.36
