Title,Authors,Publication date,Journal,Volume,Issue,Publisher,Description,Total citations,Scholar articles,Citation Count,Pages,Inventors,Patent office,Application number,Patent number,Conference,Institution,Book,Source
Implicit feedback policies for COVID-19: why “zero-COVID” policies remain elusive,"Ali Jadbabaie, Arnab Sarker, Devavrat Shah",2023/2/23,Scientific Reports,13.0,1,Nature Publishing Group UK,"Successful epidemic modeling requires understanding the implicit feedback control strategies used by populations to modulate the spread of contagion. While such strategies can be replicated with intricate modeling assumptions, here we propose a simple model where infection dynamics are described by a three parameter feedback policy. Rather than model individuals as directly controlling the contact rate which governs the spread of disease, we model them as controlling the contact rate’s derivative, resulting in a dynamic rather than kinematic model. The feedback policy used by populations across the United States which best fits observations is proportional-derivative control, where learned parameters strongly correlate with observed interventions (e.g., vaccination rates and mobility restrictions). However, this results in a non-zero “steady-state” of case counts, implying current mitigation strategies cannot …",0,"Implicit feedback policies for COVID-19: why “zero-COVID” policies remain elusive
A Jadbabaie, A Sarker, D Shah - Scientific Reports, 2023
All 8 versions",{},3173,,,,,,,,
Matrix Estimation for Individual Fairness,"Cindy Y Zhang, Sarah H Cen, Devavrat Shah",2023/2/4,arXiv preprint arXiv:2302.02096,,,,"In recent years, multiple notions of algorithmic fairness have arisen. One such notion is individual fairness (IF), which requires that individuals who are similar receive similar treatment. In parallel, matrix estimation (ME) has emerged as a natural paradigm for handling noisy data with missing values. In this work, we connect the two concepts. We show that pre-processing data using ME can improve an algorithm's IF without sacrificing performance. Specifically, we show that using a popular ME method known as singular value thresholding (SVT) to pre-process the data provides a strong IF guarantee under appropriate conditions. We then show that, under analogous conditions, SVT pre-processing also yields estimates that are consistent and approximately minimax optimal. As such, the ME pre-processing step does not, under the stated conditions, increase the prediction error of the base algorithm, i.e., does not impose a fairness-performance trade-off. We verify these results on synthetic and real data.",0,"Matrix Estimation for Individual Fairness
CY Zhang, SH Cen, D Shah - arXiv preprint arXiv:2302.02096, 2023
All 2 versions",{},,,,,,,,,
Counterfactual Identifiability of Bijective Causal Models,"Arash Nasr-Esfahany, Mohammad Alizadeh, Devavrat Shah",2023/2/4,arXiv preprint arXiv:2302.02228,,,,"We study counterfactual identifiability in causal models with bijective generation mechanisms (BGM), a class that generalizes several widely-used causal models in the literature. We establish their counterfactual identifiability for three common causal structures with unobserved confounding, and propose a practical learning method that casts learning a BGM as structured generative modeling. Learned BGMs enable efficient counterfactual estimation and can be obtained using a variety of deep conditional generative models. We evaluate our techniques in a visual task and demonstrate its application in a real-world video streaming simulation task.",0,"Counterfactual Identifiability of Bijective Causal Models
A Nasr-Esfahany, M Alizadeh, D Shah - arXiv preprint arXiv:2302.02228, 2023
All 2 versions",{},,,,,,,,,
Synthetic A/B Testing using Synthetic Interventions,"A Agarwal, D Shah, D Shen",2023/1/26,,,,,"Suppose there are units and interventions. We aim to learn the average potential outcome associated with every unit-intervention pair, ie, causal parameters. While running experiments is conceivable, it can be expensive or infeasible. This work introduces an experiment design, synthetic A/B testing, and the synthetic interventions (SI) estimator to recover all causal parameters while observing each unit under at most two interventions, independent of . Under a novel tensor factor model for potential outcomes across units, measurements, and interventions, we establish the identification of each parameter. Further, we show the SI estimator is finite-sample consistent and asymptotically normal. Collectively, these also lead to novel results for panel data settings, particularly for synthetic controls. We empirically validate our experiment design using real e-commerce data from a large-scale A/B test.",0,"Synthetic A/B Testing using Synthetic Interventions
A Agarwal, D Shah, D Shen - 2023",{},,,,,,,,,
EVENT PREDICTION,,2023/1/19,,,,,"Methods and systems for event prediction. The system includes at least one connector configured to gather at least partially incomplete data from at least one data source. The gathered data may be communicated to a model definition module that converts at least a subset of the gathered data into a prediction model in accordance with a received definition. A prediction module may receive a prediction query and, in response, supply an event prediction based on the prediction model.",0,"EVENT PREDICTION
Y Huang, V Doshi, B Rengarajan, V Shivamoggi… - US Patent App. 17/949,147, 2023",{},,"Ying-zong Huang, Vishal Doshi, Balaji Rengarajan, Vasudha Shivamoggi, Devavrat Shah, Ritesh Madan",US,17949147.0,,,,,
Robust Max Entrywise Error Bounds for Tensor Estimation from Sparse Observations via Similarity Based Collaborative Filtering,"Devavrat Shah, Christina Lee Yu",2023/1/16,IEEE Transactions on Information Theory,,,IEEE,"Consider the task of estimating a 3-order n × n × n tensor from noisy observations of randomly chosen entries in the sparse regime. We introduce a similarity based collaborative filtering algorithm for estimating a tensor from sparse observations and argue that it achieves sample complexity that nearly matches the conjectured computationally efficient lower bound on the sample complexity for the setting of low-rank tensors. Our algorithm uses the matrix obtained from the flattened tensor to compute similarity, and estimates the tensor entries using a nearest neighbor estimator. We prove that the algorithm recovers a finite rank tensor with maximum entry-wise error (MEE) and mean-squared-error (MSE) decaying to 0 as long as each entry is observed independently with probability p = Ω( n –3/2+κ ) for any arbitrarily small κ > 0. More generally, we establish robustness of the estimator, showing that when arbitrary …",0,"Robust Max Entrywise Error Bounds for Tensor Estimation from Sparse Observations via Similarity Based Collaborative Filtering
D Shah, CL Yu - IEEE Transactions on Information Theory, 2023
Related articles",{},,,,,,,,,
Systems and methods for synthetic interventions,,2022/12/29,,,,,"A computer-implemented method includes: identifying, from first and second data, interventions common to a target unit and one or more of a plurality of donor units as filtered donor units, the first data corresponding to the target unit under one or more interventions, the second data corresponding to the plurality of donor units each under one or more interventions; identifying, from the first data, third data corresponding to the target unit under the common interventions; identifying, from the second data, fourth data corresponding to the filtered donor units under the common interventions; identifying, from the second data, fifth data corresponding to the filtered donor units under a subject intervention; generating, from the third and fourth data, a learned model representing to a relationship between the target unit and the filtered donor units; applying the learned model to the fifth data to generate the synthetic data; and …",0,"Systems and methods for synthetic interventions
D Shen, DD Shah, A Agarwal - US Patent App. 17/658,712, 2022
All 2 versions",{},,"Dennis Shen, Devavrat D Shah, Anish Agarwal",US,17658712.0,,,,,
Doubly robust nearest neighbors in factor models,"Raaz Dwivedi, Katherine Tian, Sabina Tomkins, Predrag Klasnja, Susan Murphy, Devavrat Shah",2022/11/25,arXiv preprint arXiv:2211.14297,,,,"In this technical note, we introduce an improved variant of nearest neighbors for counterfactual inference in panel data settings where multiple units are assigned multiple treatments over multiple time points, each sampled with constant probabilities. We call this estimator a doubly robust nearest neighbor estimator and provide a high probability non-asymptotic error bound for the mean parameter corresponding to each unit at each time. Our guarantee shows that the doubly robust estimator provides a (near-)quadratic improvement in the error compared to nearest neighbor estimators analyzed in prior work for these settings.",0,"Doubly robust nearest neighbors in factor models
R Dwivedi, K Tian, S Tomkins, P Klasnja, S Murphy… - arXiv preprint arXiv:2211.14297, 2022
Related articles All 2 versions",{},,,,,,,,,
Model Agnostic Time Series Analysis Via Matrix Estimation,,2022/11/17,,,,,"A system and method model a time series from missing data by imputing missing values, denoising measured but noisy values, and forecasting future values of a single time series. A time series of potentially noisy, partially-measured values of a physical process is represented as a non-overlapping matrix. For several classes of common model functions, it can be proved that the resulting matrix has a low rank or approximately low rank, allowing a matrix estimation technique, for example singular value thresholding, to be efficiently applied. Applying such a technique produces a mean matrix that estimates latent values, of the physical process at times or intervals corresponding to measurements, with less error than previously known methods. These latent values have been denoised (if noisy) and imputed (if missing). Linear regression of the estimated latent values permits forecasting with an error that decreases as …",0,"Model Agnostic Time Series Analysis Via Matrix Estimation
DD Shah, A Agarwal, M Amjad, D Shen - US Patent App. 17/811,112, 2022
All 2 versions",{},,"Devavrat D Shah, Anish Agarwal, Muhammad Amjad, Dennis Shen",US,17811112.0,,,,,
On counterfactual inference with unobserved confounding,"Abhin Shah, Raaz Dwivedi, Devavrat Shah, Gregory W Wornell",2022/11/14,arXiv preprint arXiv:2211.08209,,,,"Given an observational study with independent but heterogeneous units and one -dimensional sample per unit containing covariates, interventions, and outcomes, our goal is to learn the counterfactual distribution for each unit. We consider studies with unobserved confounding which introduces statistical biases between interventions and outcomes as well as exacerbates the heterogeneity across units. Modeling the underlying joint distribution as an exponential family and under suitable conditions, we reduce learning the unit-level counterfactual distributions to learning exponential family distributions with heterogeneous parameters and only one sample per distribution. We introduce a convex objective that pools all samples to jointly learn all parameters and provide a unit-wise mean squared error bound that scales linearly with the metric entropy of the parameter space. For example, when the parameters are -sparse linear combination of known vectors, the error is . En route, we derive sufficient conditions for compactly supported distributions to satisfy the logarithmic Sobolev inequality.",2,"On counterfactual inference with unobserved confounding
A Shah, R Dwivedi, D Shah, GW Wornell - arXiv preprint arXiv:2211.08209, 2022
Cited by 2 Related articles All 3 versions","{'2022': 1, '2023': 1}",,,,,,,,,
