Title,Authors,Publication date,Journal,Volume,Issue,Publisher,Description,Total citations,Scholar articles,Citation Count,Pages,Book,Conference,Source,Institution
Multi-objective Hybrid Particle Swarm Optimization and its Application to Analog and RF Circuit Optimization,"Deepak Joshi, Satyabrata Dash, Sushanth Reddy, Rahul Manigilla, Gaurav Trivedi",2023/3/21,"Circuits, Systems, and Signal Processing",,,Springer US,"The presence of RF components in mixed-signal circuits make it a challenging task to resolve tradeoffs among performance specifications. In order to ease the process of circuit design, these tradeoffs are being analyzed using multi-objective optimization methodologies. This paper presents a hybrid multi-objective optimization framework (MHPSO), a combination of particle swarm optimization and simulated annealing. The framework emphasizes on preserving nondominated solutions in an external archive. The multi-dimensional space excluding the archive is divided into several sub-spaces according to a velocity-temperature mapping scheme. Further, the solutions in each sub-space are optimized using simulated annealing for generation of a Pareto front. The framework is extended by incorporating crowding distance comparison operator (MHPSO-CD) to maintain nondominated solutions in the archive. The …",0,"Multi-objective Hybrid Particle Swarm Optimization and its Application to Analog and RF Circuit Optimization
D Joshi, S Dash, S Reddy, R Manigilla, G Trivedi - Circuits, Systems, and Signal Processing, 2023",{},1-27,,,,
Fast Power Density Aware 3D-IC Floorplanning for Hard Macro-Blocks Using Best Operator Combination Genetic Algorithm,"Naorem Yaipharenba Meitei, Krishna Baishnab, Gaurav Trivedi",2023/3/6,,,,,"In this article, we propose a fast 3D-IC floorplanning method for hard macro-blocks that includes a thermal management scheme. It applies a genetic algorithm constituted by an optimal combination of crossover and mutation operations to identify the optimal solution for design variables, namely, total wire length, number of through-silicon vias (TSVs), and maximum average layer power density. The proposed method additionally makes use of a unique TSV placement scheme that arranges TSVs next to their respective functional blocks. To enable efficient heat transmission to the ambient environment, layers with higher power densities are placed closer to the heat sink. The proposed 3D-IC floorplanning approach provides the fewest TSVs, the lowest peak temperature, and promising values of wire length within the least amount of computation time. Compared to the recent fast thermal analysis for fixed-outline 3D-floorplanning, it generates 13.14% shorter wire length, 39.27% lower peak temperature, and 34.35% lesser number of TSVs on average with significant improvement in computation time, while analyzing GSRC thermal benchmark circuits.",0,"Fast Power Density Aware 3D-IC Floorplanning for Hard Macro-Blocks Using Best Operator Combination Genetic Algorithm
NY Meitei, K Baishnab, G Trivedi - 2023
All 2 versions",{},,,,,
Design of DNN-Based Low-Power VLSI Architecture to Classify Atrial Fibrillation for Wearable Devices,"Rushik Parmar, Meenali Janveja, Jan Pidanic, Gaurav Trivedi",2023/1/19,IEEE Transactions on Very Large Scale Integration (VLSI) Systems,,,IEEE,"Atrial fibrillation (AF) is a recurrent and life-threatening disease leading to rapid growth in the mortality rate due to cardiac abnormalities. It is challenging to manually diagnose AF using electrocardiogram (ECG) signals due to complex and varied changes in its characteristics. In this article, for the first time, an end-to-end edge-enabled machine learning-based VLSI architecture is proposed to classify ECG excerpts having AF from normal beats. Researchers have found that abnormal atrial activity is confined to the low-frequency range through the decades. Therefore, in the proposed work, this frequency band is directly analyzed for AF detection, which has not previously been discussed. The proposed architecture is implemented using 180- bulk CMOS technology consuming at and exhibits an accuracy of for class-oriented classification and for subject-oriented classification …",0,"Design of DNN-Based Low-Power VLSI Architecture to Classify Atrial Fibrillation for Wearable Devices
R Parmar, M Janveja, J Pidanic, G Trivedi - IEEE Transactions on Very Large Scale Integration …, 2023
Related articles All 2 versions",{},,,,,
A MOS-DTMOS Implementation of Floating Memristor Emulator for High-Frequency Applications,"YR Ananda, Nehal Raj, Gaurav Trivedi",2022/12/13,IEEE Transactions on Very Large Scale Integration (VLSI) Systems,,,IEEE,"The work presented in this article focuses on designing a floating MOS-dynamic threshold voltage MOSFET (DTMOS)-based circuit to emulate a memristor. The proposed circuit consists of four transistors, including a DT-MOSFET and an external capacitor, which helps obtain high-frequency operations up to 3 MHz. This facilitates easier integration of the devices and monolithic IC fabrication. The correctness of the proposed emulator is validated by conducting various parametric analyses at different operating frequencies and process corners, and it generates acceptable pinched hysteresis loops (PHLs) at various frequencies. Furthermore, pre-and post-layout validation of the proposed emulator are also performed using Cadence Virtuoso with Taiwan Semiconductor Manufacturing Company (TSMC) 180-nm process design kits (PDKs) to prove its effectiveness as a memristor. The area and power consumption of the proposed …",1,"A MOS-DTMOS Implementation of Floating Memristor Emulator for High-Frequency Applications
YR Ananda, N Raj, G Trivedi - IEEE Transactions on Very Large Scale Integration …, 2022
Cited by 1 Related articles All 2 versions",{'2023': 1},,,,,
Triple Pendulum Based Nonlinear Chaos Generator and its Applications in Cryptography,"Bikram Paul, Souradip Pal, Abhishek Agrawal, Gaurav Trivedi",2022/12/2,IEEE Access,10.0,,IEEE,"A nonlinear chaos generator scheme derived from a mechanical triple pendulum physical system is proposed here. The chaotic behavior of the proposed generator is validated against various standardized tests, such as the Lyapunov exponents test, bifurcation diagrams, sensitivity to parametric and to initial values, ergodicity, key space and sensitivity, histogram, correlation, NPCR and UACI, collision test, etc. and compared with existing contemporary methods. The generated chaotic map is utilized to develop various cryptography applications, such as PRNG and symmetric key encryption schemes, which are realized on an FPGA and an ASIC. Chaos-based PRNG is validated successfully using benchmarks. The proposed encryption scheme illustrates its usage in low power, high throughput applications, where the power consumption, resource utilization, and throughput are , , and …",0,"Triple Pendulum Based Nonlinear Chaos Generator and its Applications in Cryptography
B Paul, S Pal, A Agrawal, G Trivedi - IEEE Access, 2022
Related articles",{},127073-127093,,,,
MInSC: A VLSI Architecture for Myocardial Infarction Stages Classifier for Wearable Healthcare Applications,"Meenali Janveja, Rushik Parmar, Gaurav Trivedi",2022/11/16,IEEE Transactions on Circuits and Systems II: Express Briefs,,,IEEE,"Myocardial Infarction (MI) is a critical heart abnormality causing millions of fatalities worldwide every year. MI progress in three stages based on its severity causing several changes in an Electrocardiogram (ECG) signal. It is very critical to capture these variations, which requires continuous monitoring of the ECG signal of the patient. Therefore, it becomes imperative to develop a low power VLSI architecture to address the prognosis of MI. In this paper, for the first time, an area and power efficient design of a five stage classifier is proposed, which detects the progression of various stages of MI using ECG beats in real time. The proposed architecture has an area and total power utilization of 1.38mm2 and 5.12μW, respectively at SCL 180nm Bulk CMOS technology. The low power and area requirements and multiclass classification capability of the proposed design make it suitable to be used in wearable devices.",0,"MInSC: A VLSI Architecture for Myocardial Infarction Stages Classifier for Wearable Healthcare Applications
M Janveja, R Parmar, G Trivedi - IEEE Transactions on Circuits and Systems II: Express …, 2022
Related articles",{},,,,,
A Survey of Learning Methods in Deep Neural Networks (DDN),"Hibah Ihsan Muhammad, Ankita Tiwari, Gaurav Trivedi",2022/11/16,,,,Springer Nature Singapore,"Machine learning algorithm hyperparameters for a specific dataset are mathematically expensive and it is challenging to find the best values. Machine Learning predictive modelling algorithms are governed by hyperparameters. Artificial intelligence has become a new-age solution to most of the global challenges, hitherto unravelled and resolved. Within artificial intelligence, Machine Learning and its subset Deep Learning (DL) have brought a paradigm shift with their computation power. Currently, DL is a widely used computational approach in machine learning. The uniqueness of deep learning is its capability to learn a large amount of data. This paper discusses mathematical algorithms that are associated with each of these performance-enhancing measures and demonstrates tuning results and efficiency gains for each process and analysis, and it attempts to review different types of deep learning training and …",0,"A Survey of Learning Methods in Deep Neural Networks (DDN)
HI Muhammad, A Tiwari, G Trivedi - Proceedings of Emerging Trends and Technologies on …, 2022
Related articles All 2 versions",{},189-204,Proceedings of Emerging Trends and Technologies on Intelligent Systems: ETTIS 2022,,,
A High Frequency MOS-based Floating Charge-Controlled Memcapacitor Emulator,"YR Ananda, Gadipelli Sriharsha Satyanarayan, Gaurav Trivedi",2022/11/10,IEEE Transactions on Circuits and Systems II: Express Briefs,,,IEEE,"In this manuscript, a MOS-based memcapacitor emulator operating at 1.2 MHz is proposed. The analytical model of the proposed emulator is verified numerically and experimentally. Numerical analysis of the proposed memcapacitor with respect to various parameters is performed using Cadence Virtuoso with TSMC 180 nm PDKs followed by post-layout simulation, which also validates its correctness. Its area utilization and power consumption are 2077.85 μm2 and 2.726 mW, respectively. Its operating frequency is 1.71× higher than its nearest contemporary memcapacitor. Physical experiments are conducted utilizing CA3080 to establish the correctness of the proposed emulator.",0,"A High Frequency MOS-based Floating Charge-Controlled Memcapacitor Emulator
YR Ananda, GS Satyanarayan, G Trivedi - IEEE Transactions on Circuits and Systems II: Express …, 2022
Related articles",{},,,,,
An Optimized MOS-Based High Frequency Charge-Controlled Memcapacitor Emulator,"YR Ananda, Gadipelli Sriharsha Satyanarayan, Gaurav Trivedi",2022/11/10,IEEE Journal on Emerging and Selected Topics in Circuits and Systems,12.0,4.0,IEEE,"In this manuscript, an optimized MOS-based memcapacitor emulator is proposed using active elements and a resistor. The correctness of the proposed emulator is validated by performing pre and post layout analyses using with PDKs. Its area utilization and power consumption are and , respectively. The maximum operating frequency of the proposed emulator is . It is , , and better in terms of operating frequency, area, and power than its nearest contemporary memcapacitor emulator. A physical experiment is conducted to further verify the characteristics of the proposed emulator using analog ICs. An adaptive learning circuit using the proposed memcapacitor is designed to showcase its effectiveness for practical applications.",0,"An Optimized MOS-Based High Frequency Charge-Controlled Memcapacitor Emulator
YR Ananda, GS Satyanarayan, G Trivedi - IEEE Journal on Emerging and Selected Topics in …, 2022
Related articles All 2 versions",{},793-803,,,,
A Flux Controlled MOS-Based Optimized High Frequency Meminductor Emulator,"YR Ananda, Gadipelli Sriharsha Satyanarayan, Gaurav Trivedi",2022/11/9,IEEE Journal on Emerging and Selected Topics in Circuits and Systems,12.0,4.0,IEEE,"In this paper, we propose an optimized meminductor emulator for high frequency operations. For the first time, the proposed meminductor emulator is designed using only MOS transistors making it realizable using monolithic IC fabrication. The numerical analysis of the proposed meminductor is performed employing Cadence Virtuoso with TSMC PDKs, and its behavior is verified with respect to different parameters, such as voltage, frequency, and process corner variations. Post layout analysis and physical experiments are also conducted to validate the proposed design. It is found that the area utilization and power consumption of the proposed meminductor are and , respectively. Its maximum operating frequency is , and it is , , and more efficient in terms of area utilization, maximum operating frequency, and power consumption, respectively, compared to …",0,"A Flux Controlled MOS-Based Optimized High Frequency Meminductor Emulator
YR Ananda, GS Satyanarayan, G Trivedi - IEEE Journal on Emerging and Selected Topics in …, 2022
Related articles All 2 versions",{},774-784,,,,
