Title,Authors,Publication date,Journal,Volume,Issue,Publisher,Description,Total citations,Scholar articles,Citation Count,Pages,Conference,Book,Source,Inventors,Patent office,Patent number,Application number,Institution
Can Adversarial Networks Make Uninformative Colonoscopy Video Frames Clinically Informative?,"Vanshali Sharma, MK Bhuyan, Pradip K Das",2023/4/4,arXiv preprint arXiv:2304.02152,,,,"Various artifacts, such as ghost colors, interlacing, and motion blur, hinder diagnosing colorectal cancer (CRC) from videos acquired during colonoscopy. The frames containing these artifacts are called uninformative frames and are present in large proportions in colonoscopy videos. To alleviate the impact of artifacts, we propose an adversarial network based framework to convert uninformative frames to clinically relevant frames. We examine the effectiveness of the proposed approach by evaluating the translated frames for polyp detection using YOLOv5. Preliminary results present improved detection performance along with elegant qualitative outcomes. We also examine the failure cases to determine the directions for future work.",0,"Can Adversarial Networks Make Uninformative Colonoscopy Video Frames Clinically Informative?
V Sharma, MK Bhuyan, PK Das - arXiv preprint arXiv:2304.02152, 2023",{},,,,,,,,,
A DWT-based encoder-decoder network for Specularity segmentation in colonoscopy images,"Vanshali Sharma, MK Bhuyan, Pradip K Das, Kangkana Bora",2023/3/31,Multimedia Tools and Applications,,,Springer US,"Specularity segmentation in colonoscopy images is a crucial pre-processing step for efficient computational diagnosis. The presence of these specular highlights could mislead the detectors that are intended towards precise identification of biomarkers. Conventional methods adopted so far do not provide satisfactory results, especially in the overexposed regions. The potential of deep learning methods is still unexplored in the related problem domain. Our work aims at providing a solution for more accurate highlights segmentation to assist surgeons. In this paper, we propose a novel deep learning based approach that performs segmentation following a multi-resolution analysis. This is achieved by introducing discrete wavelet transform (DWT) into the proposed model. We replace the standard pooling layers with DWTs, which helps preserve information and circumvent the effect of overexposed regions. All …",0,"A DWT-based encoder-decoder network for Specularity segmentation in colonoscopy images
V Sharma, MK Bhuyan, PK Das, K Bora - Multimedia Tools and Applications, 2023",{},1-20,,,,,,,,
A Hand Gesture-operated System for Rehabilitation using an End-to-End Detection Framework,"H Pallab Jyoti Dutta, MK Bhuyan, Debanga Raj Neog, Karl F MacDorman, RH Laskar",2023/3/2,IEEE Transactions on Artificial Intelligence,,,IEEE,"We propose a hand gesture-operated system as an AI application to relieve discomfort and restore function in hand and arm movements caused by injuries and nerve and muscle complications. The system trains patients with hand exercises, such as performing hand gestures accurately, traversing within specified bounds, and operating a hand gesture calculator. However, the system requires accurate hand gesture detection, which is impeded by background clutter and variations in illumination and in the hand's size and angle. To address this, we developed a robust hand detection module that uses a single-stage transformer deep network. The transformer network encodes global information and uses bipartite matching to reduce the frequency of spurious detections. It drives a regression head and a classification head to localize the hand gesture in a bounding box and assign it a class label. Hand keypoints are …",0,"A Hand Gesture-operated System for Rehabilitation using an End-to-End Detection Framework
HPJ Dutta, MK Bhuyan, DR Neog, KF MacDorman… - IEEE Transactions on Artificial Intelligence, 2023
All 2 versions",{},,,,,,,,,
"Detection, tracking, and recognition of isolated multi-stroke gesticulated characters","Kuldeep Singh Yadav, Anish Monsley Kirupakaran, Rabul Hussain Laskar, MK Bhuyan",2023/2/23,Pattern Analysis and Applications,,,Springer London,"The detection and tracking of the bare hand are the most vital stages in the bare hand gesticulated character recognition system. Applying detection and tracking in an uncontrolled environment is quite challenging due to the variations in pose, position, illumination, occlusion, scale, rotation, speed, and bare hand-like impostors in the background or foreground. The motion blur due to speed variation makes it more complex. A computationally efficient object localization approach, i.e., region-based convolutional neural network on the selective region (RCNN-SR), is introduced in this work to detect the bare hand by overcoming these challenges at a certain level. To handle the motion blur and computational complexity, the paper presents a motion information-based detection and tracking approach using RCNN-SR, point tracker, and Kalman filter. The trajectory of the gesticulated characters is formed by mapping all …",0,"Detection, tracking, and recognition of isolated multi-stroke gesticulated characters
KS Yadav, AM Kirupakaran, RH Laskar, MK Bhuyan - Pattern Analysis and Applications, 2023",{},1-26,,,,,,,,
Efficient Context Integration through Factorized Pyramidal Learning for Ultra-Lightweight Semantic Segmentation,"Nadeem Atif, Saquib Mazhar, Debajit Sarma, MK Bhuyan, Shaik Rafi Ahamed",2023/2/23,arXiv preprint arXiv:2302.11785,,,,"Semantic segmentation is a pixel-level prediction task to classify each pixel of the input image. Deep learning models, such as convolutional neural networks (CNNs), have been extremely successful in achieving excellent performances in this domain. However, mobile application, such as autonomous driving, demand real-time processing of incoming stream of images. Hence, achieving efficient architectures along with enhanced accuracy is of paramount importance. Since, accuracy and model size of CNNs are intrinsically contentious in nature, the challenge is to achieve a decent trade-off between accuracy and model size. To address this, we propose a novel Factorized Pyramidal Learning (FPL) module to aggregate rich contextual information in an efficient manner. On one hand, it uses a bank of convolutional filters with multiple dilation rates which leads to multi-scale context aggregation; crucial in achieving better accuracy. On the other hand, parameters are reduced by a careful factorization of the employed filters; crucial in achieving lightweight models. Moreover, we decompose the spatial pyramid into two stages which enables a simple and efficient feature fusion within the module to solve the notorious checkerboard effect. We also design a dedicated Feature-Image Reinforcement (FIR) unit to carry out the fusion operation of shallow and deep features with the downsampled versions of the input image. This gives an accuracy enhancement without increasing model parameters. Based on the FPL module and FIR unit, we propose an ultra-lightweight real-time network, called FPLNet, which achieves state-of-the-art accuracy-efficiency …",0,"Efficient Context Integration through Factorized Pyramidal Learning for Ultra-Lightweight Semantic Segmentation
N Atif, S Mazhar, D Sarma, MK Bhuyan, SR Ahamed - arXiv preprint arXiv:2302.11785, 2023
All 2 versions",{},,,,,,,,,
Lymph node detection in CT scans using modified U-Net with residual learning and 3D deep network,"Yashwanth Manjunatha, Vanshali Sharma, Yuji Iwahori, MK Bhuyan, Aili Wang, Akira Ouchi, Yasuhiro Shimizu",2023/1/11,International Journal of Computer Assisted Radiology and Surgery,,,Springer International Publishing,"Purpose
Lymph node (LN) detection is a crucial step that complements the diagnosis and treatments involved during cancer investigations. However, the low-contrast structures in the CT scan images and the nodes’ varied shapes, sizes, and poses, along with their sparsely distributed locations, make the detection step challenging and lead to many false positives. The manual examination of the CT scan slices could be time-consuming, and false positives could divert the clinician’s focus. To overcome these issues, our work aims at providing an automated framework for LNs detection in order to obtain more accurate detection results with low false positives.
Methods
The proposed work consists of two stages: candidate generation and false positive reduction. The first stage generates volumes of interest (VOI) of probable LN candidates using a modified U-Net with ResNet architecture to obtain high sensitivity but with …",0,"Lymph node detection in CT scans using modified U-Net with residual learning and 3D deep network
Y Manjunatha, V Sharma, Y Iwahori, MK Bhuyan… - International Journal of Computer Assisted Radiology …, 2023
Related articles All 3 versions",{},1-10,,,,,,,,
Development of an intelligent recognition system for dynamic mid-air gesticulation of isolated alphanumeric keys,"Anish Monsley Kirupakaran, Kuldeep Singh Yadav, Rabul Hussain Laskar, Manas Kamal Bhuyan",2022/12/30,Expert Systems with Applications,210.0,,Pergamon,"Detecting and recognizing naturally gesticulated characters in mid-air is difficult because of the complexity arising due to (i) gesticulation style; (ii) gesture’s pattern and size. This worsens further when the gesticulation speed is faster causing the gesture object to be blurred in some of the frames. To ensure that the trajectory formed is equivalent to the intended gesticulation and be robust to the impostor’s presence, we propose red marker-detection and tracking (RM-DT) approach. This uses channel subtraction, thresholding, compact (hand) criteria, and Kalman filter to detect and track the gesture object to form the gesture trajectory (accuracy of ∼96 %; mAP – 0.9419). Unlike handwritten characters, the gesticulated trajectory incorporates the self co-articulated strokes that increases the rate of misclassification at the recognition stage. Hence, we separate the gestures into three groups and apply group-specific pre …",0,"Development of an intelligent recognition system for dynamic mid-air gesticulation of isolated alphanumeric keys
AM Kirupakaran, KS Yadav, RH Laskar, MK Bhuyan - Expert Systems with Applications, 2022
Related articles All 2 versions",{},118623,,,,,,,,
Hand detection by two-level segmentation with double-tracking and gesture recognition using deep-features,"Debajit Sarma, MK Bhuyan",2022/12,Sensing and Imaging,23.0,1,Springer US,"Vision-based hand gesture recognition involves a visual analysis of handshape, position and/or movement. Most of the previous approaches require complex gesture representation as well as the selection of robust features for proper gesture recognition. To eliminate the problem of illumination variation and occlusion in gesture videos, a simple model-based framework has been presented here using a deep network for hand gesture recognition. The model is fed with ‘hand-trajectory-based-contour-images’. These images represent the motion trajectory of the hand for isolated trajectory gestures obtained via pre-processing steps—a two-level segmentation process and a double-tracking system. Deep features extracted from these images are used for estimating the hand gestures. Conventional machine learning methods involve tedious feature engineering schemes, while deep learning approaches can learn …",4,"Hand detection by two-level segmentation with double-tracking and gesture recognition using deep-features
D Sarma, MK Bhuyan - Sensing and Imaging, 2022
Cited by 4 Related articles All 4 versions","{'2022': 3, '2023': 1}",9,,,,,,,,
A saliency map-guided shape compactness for segmentation of polyps in colonoscopy images,"Pradipta Sasmal, MK Bhuyan, Yuji Iwahori",2022/11,"Signal, Image and Video Processing",16.0,8,Springer London,"In this research work, a saliency map-based colonoscopy image analysis system is proposed for colonic polyp segmentation. Polyps are the precursor to cancer, and their early diagnosis is very crucial for better prognosis and clinical management. Automated segmentation of such polyps from the highly acquired colonoscopy frames lessens the doctors’ burden and enhances efficiency. In our method, polyps, which are the colonoscopy frames’ salient regions, are detected using a deep convolutional architecture based on U-Net. The shape of the polyps is an essential cue for doctors for its detection and localization. Therefore, an unconstrained shape compactness prior is employed to boost the efficiency of polyp localization. The shape compactness prior, along with the probability map, is formulated into an energy functional, subsequently solved by employing an alternating direction method of multipliers to give …",0,"A saliency map-guided shape compactness for segmentation of polyps in colonoscopy images
P Sasmal, MK Bhuyan, Y Iwahori - Signal, Image and Video Processing, 2022
Related articles",{},2295-2301,,,,,,,,
Two-stream fusion model using 3D-CNN and 2D-CNN via video-frames and optical flow motion templates for hand gesture recognition,"Debajit Sarma, V Kavyasree, MK Bhuyan",2022/8/29,Innovations in Systems and Software Engineering,,,Springer London,"Hand gestures are useful tools for many applications in the human-computer interaction community. Here, the objective is to track the movement of the hand irrespective of the shape, size and color of the hand. And, for this, a motion template guided by optical flow (OFMT) is proposed. OFMT is a compact representation of the motion information of a gesture encoded into a single image. Recently, deep networks have shown impressive improvements as compared to conventional hand-crafted feature-based techniques. Moreover, it is seen that the use of different streams with informative input data helps to increase the recognition performance. This work basically proposes a two-stream fusion model for hand gesture recognition. The two-stream network consists of two layers—a 3D convolutional neural network (C3D) that takes gesture videos as input and a 2D-CNN that takes OFMT images as input. C3D has shown …",0,"Two-stream fusion model using 3D-CNN and 2D-CNN via video-frames and optical flow motion templates for hand gesture recognition
D Sarma, V Kavyasree, MK Bhuyan - Innovations in Systems and Software Engineering, 2022
Related articles All 4 versions",{},1-14,,,,,,,,
