Title,Authors,Publication date,Journal,Volume,Issue,Publisher,Description,Total citations,Scholar articles,Citation Count,Pages,Conference,Institution
Multi-modal point-of-care diagnostics for covid-19 based on acoustics and symptoms,"Srikanth Raj Chetupalli, Prashant Krishnan, Neeraj Sharma, Ananya Muguli, Rohit Kumar, Viral Nanda, Lancelot Mark Pinto, Prasanta Kumar Ghosh, Sriram Ganapathy",2023/3/8,IEEE Journal of Translational Engineering in Health and Medicine,11.0,,IEEE,"Background:
The COVID-19 pandemic has highlighted the need to invent alternative respiratory health diagnosis methodologies which provide improvement with respect to time, cost, physical distancing and detection performance. In this context, identifying acoustic bio-markers of respiratory diseases has received renewed interest.
Objective:
In this paper, we aim to design COVID-19 diagnostics based on analyzing the acoustics and symptoms data. Towards this, the data is composed of cough, breathing, and speech signals, and health symptoms record, collected using a web-application over a period of twenty months.
Methods:
We investigate the use of time-frequency features for acoustic signals and binary features for encoding different health symptoms. We experiment with use of classifiers like logistic regression, support vector machines and long-short term memory (LSTM) network models on the acoustic data …",11,"Multi-modal point-of-care diagnostics for covid-19 based on acoustics and symptoms
SR Chetupalli, P Krishnan, N Sharma, A Muguli… - IEEE Journal of Translational Engineering in Health …, 2023
Cited by 11 Related articles All 7 versions","{'2022': 4, '2023': 3}",199-210,,
Decoding attended talker solely from listening-state EEG signals,"Mohamed Elminshawi, Julia Kostina, Emanuël AP Habets, Neeraj Kumar Sharma",2022/7/4,"Book of Abstracts, VoiceID Conference Proc.",,,,,0,"Decoding attended talker solely from listening-state EEG signals*
M Elminshawi, J Kostina, EAP Habets, NK Sharma - Book of Abstracts
Related articles All 2 versions",{},22,,
Analyzing the impact of SARS-CoV-2 variants on respiratory sound signals,"Debarpan Bhattacharya, Debottam Dutta, Neeraj Kumar Sharma, Srikanth Raj Chetupalli, Pravin Mote, Sriram Ganapathy, Sahiti Nori, Sadhana Gonuguntla, Murali Alagesan",2022/6/24,,,,,"The COVID-19 outbreak resulted in multiple waves of infections that have been associated with different SARS-CoV-2 variants. Studies have reported differential impact of the variants on respiratory health of patients. We explore whether acoustic signals, collected from COVID-19 subjects, show computationally distinguishable acoustic patterns suggesting a possibility to predict the underlying virus variant. We analyze the Coswara dataset which is collected from three subject pools, namely, i) healthy, ii) COVID-19 subjects recorded during the delta variant dominant period, and iii) data from COVID-19 subjects recorded during the omicron surge. Our findings suggest that multiple sound categories, such as cough, breathing, and speech, indicate significant acoustic feature differences when comparing COVID-19 subjects with omicron and delta variants. The classification areas-under-the-curve are significantly above chance for differentiating subjects infected by omicron from those infected by delta. Using a score fusion from multiple sound categories, we obtained an area-under-the-curve of 89% and 52.4% sensitivity at 95% specificity. Additionally, a hierarchical three class approach was used to classify the acoustic data into healthy and COVID-19 positive, and further COVID-19 subjects into delta and omicron variants providing high level of 3-class classification accuracy. These results suggest new ways for designing sound based COVID-19 diagnosis approaches.",1,"Analyzing the impact of SARS-CoV-2 variants on respiratory sound signals
D Bhattacharya, D Dutta, NK Sharma, SR Chetupalli… - arXiv preprint arXiv:2206.12309, 2022
Cited by 1 Related articles All 8 versions",{'2023': 1},,"Interspeech 2022, Incheon",
Coswara: A website application enabling COVID-19 screening by analysing respiratory sound samples and health symptoms,"Debarpan Bhattacharya, Debottam Dutta, Neeraj Kumar Sharma, Srikanth Raj Chetupalli, Pravin Mote, Sriram Ganapathy, Sahiti Nori, Sadhana Gonuguntla, Murali Alagesan",2022/6/9,,,,,"The COVID-19 pandemic has accelerated research on design of alternative, quick and effective COVID-19 diagnosis approaches. In this paper, we describe the Coswara tool, a website application designed to enable COVID-19 detection by analysing respiratory sound samples and health symptoms. A user using this service can log into a website using any device connected to the internet, provide there current health symptom information and record few sound sampled corresponding to breathing, cough, and speech. Within a minute of analysis of this information on a cloud server the website tool will output a COVID-19 probability score to the user. As the COVID-19 pandemic continues to demand massive and scalable population level testing, we hypothesize that the proposed tool provides a potential solution towards this.",0,"Coswara: A website application enabling COVID-19 screening by analysing respiratory sound samples and health symptoms
D Bhattacharya, D Dutta, NK Sharma, SR Chetupalli… - arXiv preprint arXiv:2206.05053, 2022
Related articles All 5 versions",{},,"Show and Tell, Interspeech 2022, Incheon",
The Second Dicova Challenge: Dataset and Performance Analysis for Diagnosis of Covid-19 Using Acoustics,"Neeraj Kumar Sharma, Srikanth Raj Chetupalli, Debarpan Bhattacharya, Debottam Dutta, Pravin Mote, Sriram Ganapathy",2022/5/23,,,,IEEE,"The Second Diagnosis of COVID-19 using Acoustics (DiCOVA) Challenge aimed at accelerating the research in acoustics based detection of COVID-19, a topic at the intersection of acoustics, signal processing, machine learning, and healthcare. This paper presents the details of the challenge, which was an open call for researchers to analyze a dataset of audio recordings consisting of breathing, cough and speech signals. This data was collected from individuals with and without COVID-19 infection, and the task in the challenge was a two-class classification. The development set audio recordings were collected from 965 (172 COVID-19 positive) individuals, while the evaluation set contained data from 471 individuals (71 COVID-19 positive). The challenge featured four tracks, one associated with each sound category of cough, speech and breathing, and a fourth fusion track. A baseline system was also …",25,"The Second DiCOVA Challenge: Dataset and performance analysis for COVID-19 diagnosis using acoustics*
NK Sharma, SR Chetupalli, D Bhattacharya, D Dutta… - arXiv preprint arXiv:2110.01177, 2021
Cited by 19 Related articles All 8 versions
The Second Dicova Challenge: Dataset and Performance Analysis for Diagnosis of Covid-19 Using Acoustics
NK Sharma, SR Chetupalli, D Bhattacharya, D Dutta… - ICASSP 2022-2022 IEEE International Conference on …, 2022
Cited by 8 Related articles All 7 versions","{'2021': 1, '2022': 19, '2023': 5}",556-560,"ICASSP 2022-2022 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",
Towards sound based testing of COVID-19--Summary of the first Diagnostics of COVID-19 using Acoustics (DiCOVA) Challenge,"Neeraj Kumar Sharma, Ananya Muguli, Prashant Krishnan, Rohit Kumar, Srikanth Raj Chetupalli, Sriram Ganapathy",2021/6/21,Elsevier Computer Speech and Language,,,,"The technology development for point-of-care tests (POCTs) targeting respiratory diseases has witnessed a growing demand in the recent past. Investigating the presence of acoustic biomarkers in modalities such as cough, breathing and speech sounds, and using them for building POCTs can offer fast, contactless and inexpensive testing. In view of this, over the past year, we launched the “Coswara” project to collect cough, breathing and speech sound recordings via worldwide crowdsourcing. With this data, a call for development of diagnostic tools was announced in the Interspeech 2021 as a special session titled “Diagnostics of COVID-19 using Acoustics (DiCOVA) Challenge”. The goal was to bring together researchers and practitioners interested in developing acoustics-based COVID-19 POCTs by enabling them to work on the same set of development and test datasets. As part of the challenge, datasets …",12,"Towards sound based testing of COVID-19—Summary of the first Diagnostics of COVID-19 using Acoustics (DiCOVA) Challenge
NK Sharma, A Muguli, P Krishnan, R Kumar… - Computer Speech & Language, 2022
Cited by 12 Related articles All 13 versions","{'2021': 2, '2022': 7, '2023': 2}",,,
"DiCOVA Challenge: Dataset, task, and baseline system for COVID-19 diagnosis using acoustics","Ananya Muguli, Lancelot Pinto, Neeraj Sharma, Prashant Krishnan, Prasanta Kumar Ghosh, Rohit Kumar, Shrirama Bhat, Srikanth Raj Chetupalli, Sriram Ganapathy, Shreyas Ramoji, Viral Nanda",2021/3/16,,,,,"The DiCOVA challenge aims at accelerating research in diagnosing COVID-19 using acoustics (DiCOVA), a topic at the intersection of speech and audio processing, respiratory health diagnosis, and machine learning. This challenge is an open call for researchers to analyze a dataset of sound recordings collected from COVID-19 infected and non-COVID-19 individuals for a two-class classification. These recordings were collected via crowdsourcing from multiple countries, through a website application. The challenge features two tracks, one focusing on cough sounds, and the other on using a collection of breath, sustained vowel phonation, and number counting speech recordings. In this paper, we introduce the challenge and provide a detailed description of the task, and present a baseline system for the task.",81,"DiCOVA Challenge: Dataset, task, and baseline system for COVID-19 diagnosis using acoustics
A Muguli, L Pinto, N Sharma, P Krishnan, PK Ghosh… - arXiv preprint arXiv:2103.09148, 2021
Cited by 81 Related articles All 8 versions","{'2021': 31, '2022': 42, '2023': 8}",,Proc. Interspeech 2021,
Acoustic and linguistic features influence talker change detection,"Neeraj Kumar Sharma, Venkat Krishnamohan, Sriram Ganapathy, Ahana Gangopadhayay, Lauren Fink",2020/11/25,The Journal of the Acoustical Society of America,148.0,5.0,Acoustical Society of America,"A listening test is proposed in which human participants detect talker changes in two natural, multi-talker speech stimuli sets—a familiar language (English) and an unfamiliar language (Chinese). Miss rate, false-alarm rate, and response times (RT) showed a significant dependence on language familiarity. Linear regression modeling of RTs using diverse acoustic features derived from the stimuli showed recruitment of a pool of acoustic features for the talker change detection task. Further, benchmarking the same task against the state-of-the-art machine diarization system showed that the machine system achieves human parity for the familiar language but not for the unfamiliar language.",2,"Acoustic and linguistic features influence talker change detection
NK Sharma, V Krishnamohan, S Ganapathy… - The Journal of the Acoustical Society of America, 2020
Cited by 2 Related articles All 9 versions",{'2021': 2},EL414-EL419,,
"Coswara--A Database of Breathing, Cough, and Voice Sounds for COVID-19 Diagnosis","Neeraj Sharma, Prashant Krishnan, Rohit Kumar, Shreyas Ramoji, Srikanth Raj Chetupalli, R Nirmala, Prasanta Kumar Ghosh, Sriram Ganapathy",2020/5/21,,,,,"The COVID-19 pandemic presents global challenges transcending boundaries of country, race, religion, and economy. The current gold standard method for COVID-19 detection is the reverse transcription polymerase chain reaction (RT-PCR) testing. However, this method is expensive, time-consuming, and violates social distancing. Also, as the pandemic is expected to stay for a while, there is a need for an alternate diagnosis tool which overcomes these limitations, and is deployable at a large scale. The prominent symptoms of COVID-19 include cough and breathing difficulties. We foresee that respiratory sounds, when analyzed using machine learning techniques, can provide useful insights, enabling the design of a diagnostic tool. Towards this, the paper presents an early effort in creating (and analyzing) a database, called Coswara, of respiratory sounds, namely, cough, breath, and voice. The sound samples are collected via worldwide crowdsourcing using a website application. The curated dataset is released as open access. As the pandemic is evolving, the data collection and analysis is a work in progress. We believe that insights from analysis of Coswara can be effective in enabling sound based technology solutions for point-of-care diagnosis of respiratory infection, and in the near future this can help to diagnose COVID-19.",271,"Coswara--a database of breathing, cough, and voice sounds for COVID-19 diagnosis
N Sharma, P Krishnan, R Kumar, S Ramoji… - arXiv preprint arXiv:2005.10548, 2020
Cited by 230 Related articles All 13 versions
NR, PK Ghosh, and S*
N Sharma, P Krishnan, R Kumar, S Ramoji… - Ganapathy,“Coswara–a database of breathing, cough …, 2020
Cited by 37 Related articles
Nirmala R*
N Sharma, P Krishnan, R Kumar, S Ramoji… - Prasanta Kumar Ghosh, and Sriram Ganapathy,“ …, 2020
Cited by 23 Related articles
Coswara—A Database of Breathing, Cough, and Voice Sounds for COVID-19 Diagnosis. arXiv 2020*
N Sharma, P Krishnan, R Kumar, S Ramoji… - arXiv preprint arXiv:2005.10548
Cited by 19 Related articles
Coswara–A Database of Breathing*
N Sharma, P Krishnan, R Kumar, S Ramoji… - Cough, and Voice Sounds for COVID-19 Diagnosis …, 2020
Cited by 11 Related articles","{'2020': 8, '2021': 106, '2022': 128, '2023': 26}",4811--4815,Proc. Interspeech 2020,
On the impact of language familiarity in talker change detection,"Neeraj Sharma, Venkat Krishnamohan, Sriram Ganapathy, Ahana Gangopadhayay, Lauren Fink",2020/5/4,,,,IEEE,"The ability to detect talker changes when listening to conversational speech is fundamental to perception and understanding of multi-talker speech. In this paper, we propose an experimental paradigm to provide insights on the impact of language familiarity on talker change detection. Two multi-talker speech stimulus sets, one in a language familiar to the listeners (English) and the other unfamiliar (Chinese), are created. A listening test is performed in which listeners indicate the number of talkers in the presented stimuli. Analysis of human performance shows statistically significant results for: (a) lower miss (and a higher false alarm) rate in familiar versus unfamiliar language, and (b) longer response time in familiar versus unfamiliar language. These results signify a link between perception of talker attributes and language proficiency. Subsequently, a machine system is designed to perform the same task. The …",1,"On the impact of language familiarity in talker change detection
N Sharma, V Krishnamohan, S Ganapathy… - ICASSP 2020-2020 IEEE International Conference on …, 2020
Cited by 1 Related articles All 6 versions",{'2020': 1},6249-6253,"ICASSP 2020-2020 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",
