Title,Authors,Publication date,Journal,Volume,Issue,Publisher,Description,Total citations,Scholar articles,Citation Count,Pages,Conference,Source,Book
Aperture–patch sandwich metasurface for magnetic field enhancement in 1.5 T MRI,"Priyanka Das, Jegyasu Gupta, Debabrata Sikdar, Ratnajit Bhattacharjee",2023/7/1,Magnetic Resonance Imaging,100.0,,Elsevier,"Magnetic resonance imaging (MRI) is an increasingly popular non-invasive technique for clinical diagnosis. Signal-to-noise ratio (SNR) is a crucial performance metric of MRI, improvement of which can be exchanged for increased image resolution or decreased scan time. Besides the progress in various hardware and software techniques for improving SNR in MRI scanners, use of metasurfaces as accessories has recently shown potential towards enhancing SNR by boosting local magnetic field in the scanned volume. Magnetic field enhancement over a larger depth from the skin is essential for imaging of deeper tissues, which can be facilitated by a specifically designed metasurface. Here we present such a metasurface with complementary-type resonant structures on the two sides of a high-permittivity dielectric, which substantially increases magnetic flux density on the skin (forty-five fold) that decays down to …",0,"Aperture–patch sandwich metasurface for magnetic field enhancement in 1.5 T MRI
P Das, J Gupta, D Sikdar, R Bhattacharjee - Magnetic Resonance Imaging, 2023
All 3 versions",{},1-9,,,
RF Metasurface Based ‘Add-Ons’ for Boosting Signal-To-Noise Ratio of 1.5 T MRI Scans,"Jegyasu Gupta, Priyanka Das, Tanmay Bhowmik, Ratnajit Bhattacharjee, Debabrata Sikdar",2023/2/23,,,,IEEE,"Signal-to-noise ratio (SNR) is a crucial parameter for evaluating the performance of an MRI. Higher SNR results in better image resolution or shorter scanning time during MRI scans. One of the techniques for increasing the SNR is by using RF metasurfaces as ‘add-ons’, which could fit in the available free space (< 2 cm) in an MRI receive array. In this work, a7 mm thick metasurface, capable of providing a tenfold boost in the SNR of 1. 5 T MRI, has been proposed. The proposed metasurface constitutes of a dielectric pad sandwiched between two metallic layers. Each metallic layer comprises fourteen thin resonating wire strips, which localize and redistribute the RF magnetic field in the near-field region. Square copper patches have been introduced on these wire strips for concentrating the magnetic field in the region-of-interest (ROI). Full-wave simulations predict a high magnetic field enhancement of ~ seven times …",0,"RF Metasurface Based ‘Add-Ons’ for Boosting Signal-To-Noise Ratio of 1.5 T MRI Scans
J Gupta, P Das, T Bhowmik, R Bhattacharjee, D Sikdar - 2023 National Conference on Communications (NCC), 2023",{},1-4,2023 National Conference on Communications (NCC),,
DS-SOP: An Adaptive Framework for Enhanced Connectivity in mmWave Indoor Networks,"Arijit Bhattacharjee, Ratnajit Bhattacharjee, Sanjay Kumar Bose",2022/12/22,IEEE Communications Letters,,,IEEE,"A low capital and operational expense (CAPEX, OPEX) based blockage mitigation solution may be needed to provide uninterrupted connectivity in low-budget indoor millimeter-wave (mmWave) scenarios. For this, several solutions based on dynamic-control-delegation (DCD) at the medium-access-control (MAC) layer have been suggested. However, with rapidly changing network-traffic, increased node-mobility and quickly changing blockage characteristics, most of these techniques may fail to provide adequate network coverage. This paper proposes a scalable and inexpensive solution to provide enhanced mmWave coverage in blockage-prone indoor scenarios. This technique is based on the IEEE 802.15.3c [11] supported simultaneously-operated-piconet (SOP) architecture and operates by dynamically re-structuring the SOP hierarchy to mitigate beam-blockages. To study the impact of multiple influencing …",0,"DS-SOP: An Adaptive Framework for Enhanced Connectivity in mmWave Indoor Networks
A Bhattacharjee, R Bhattacharjee, SK Bose - IEEE Communications Letters, 2022
Related articles",{},,,,
Analysis of SNR Enhancement in 1.5 T MRI by Using Metasurfaces,"Priyanka Das, Jegyasu Gupta, Debabrata Sikdar, Ratnajit Bhattacharjee",2022/12/12,,,,IEEE,"Magnetic Resonance Imaging (MRI) is a clinical diagnostic tool for detection of malfunctional tissues and organs in a human body. The image resolution and scanning efficiency of MRI are directly dependent on signal-to-noise ratio (SNR). A higher SNR can be obtained by increasing the RF magnetic field which is accomplished by using metamaterials or metasurfaces. Here we present a thin metasurface which can be used as an ‘add-on’ in clinical 1.5T MRI for its SNR enhancement. A convoluted cross-type structure has been employed for increasing the magnetic flux density in the region of interest (ROI) by local confinement of electromagnetic fields in the near field region. A dielectric phantom made up of saline solution is integrated with the metasurface to demonstrate the enhancement of magnetic flux density up to a depth of 105 mm. The metasurface placed behind a human head bio-model, to emulate virtual …",0,"Analysis of SNR Enhancement in 1.5 T MRI by Using Metasurfaces
P Das, J Gupta, D Sikdar, R Bhattacharjee - 2022 IEEE Microwaves, Antennas, and Propagation …, 2022",{},444-448,"2022 IEEE Microwaves, Antennas, and Propagation Conference (MAPCON)",,
Beam Switching with Low Control Overhead for Millimeter-wave Communication,"Ashim Kumar, Arghyadip Roy, Ratnajit Bhattacharjee",2022/11/29,,,,IEEE,"Mm-wave communication using massive Multiple-Input Multiple Output (MIMO) is highly directional in nature, hence making beam scanning and alignment a crucial aspect. In high mobility scenarios, frequent beam scanning may incur a performance degradation due to high control overhead. In this paper, we have adopted a supervised learning approach to determine the precoders and combiners for a hybrid beamforming architecture. To avoid frequent beam scanning and switching, we propose an overhead-aware strategy that addresses a trade-off between the spectral efficiency (SE) and the overhead signalling. Simulations are performed using channel data generated using the open source channel simulator NYUSIM.",0,"Beam Switching with Low Control Overhead for Millimeter-wave Communication
A Kumar, A Roy, R Bhattacharjee - 2022 Asia-Pacific Microwave Conference (APMC), 2022
Related articles",{},934-936,2022 Asia-Pacific Microwave Conference (APMC),,
Design and Analysis of a Thin Metamaterial for Magnetic Field Enhancement in 1.5 T MRI,"Priyanka Das, Jegyasu Gupta, Debabrata Sikdar, Ratnajit Bhattacharjee",2022/11/13,,,,IEEE,A 10-mm-thick metamaterial is designed with a meandered slot on top layer and a rectangular slot on bottom layer of a high-permittivity dielectric for magnetic field enhancement in 1.5T MRI. Full-wave simulations predict a thirty-fold enhancement in radiofrequency magnetic-flux density on a human phantom’s surface.,0,"Design and Analysis of a Thin Metamaterial for Magnetic Field Enhancement in 1.5 T MRI
P Das, J Gupta, D Sikdar, R Bhattacharjee - 2022 IEEE Photonics Conference (IPC), 2022
Related articles",{},1-2,2022 IEEE Photonics Conference (IPC),,
Thin-Wire Array based Resonator for Targeted Clinical 1.5 T Magnetic Resonance Imaging,"Jegyasu Gupta, Priyanka Das, Ashish Kumar Chowdhary, Ratnajit Bhattacharjee, Debabrata Sikdar",2022/11/13,,,,IEEE,"We propose a thin-wire array based resonator for 1. 5T-MRI to enhance localized magnetic field, allowing signal-to-noise ratio (SNR) enhancement up to fourteen-fold. The design constitutes a 10-mm-thick dielectric sandwiched between two printed wire-arrays. SNR is significantly boosted by leveraging eigenmodes excitation on the resonator.",1,"Thin-Wire Array based Resonator for Targeted Clinical 1.5 T Magnetic Resonance Imaging
J Gupta, P Das, AK Chowdhary, R Bhattacharjee… - 2022 IEEE Photonics Conference (IPC), 2022
Cited by 1 Related articles",{'2023': 1},1-2,2022 IEEE Photonics Conference (IPC),,
"Magnetic metasurface add-ons-A route towards making MRI more efficient, affordable and accessible","Priyanka Das, Jegyasu Gupta, Debabrata Sikdar, Ratnajit Bhattacharjee",2022/11/4,,,,IEEE,"Magnetic resonance imaging (MRI) is a popular non-invasive diagnostic tool used for detecting health problems in human bodies. 90% of the world population do not have access to MRI due to high cost involved in it. High field MRI (3T and above) involves bulky and expensive equipments which are unaffordable in economically backward nations. Presently, 1.5T MRI has the largest market share, at 47 percent by value and 52 percent share by volume, since it provides adequate image quality at a comparatively low cost. However, the scan-time in 1.5T is quite long. Lower scan-time in 1.5T MRI can be obtained by increasing the signal-to-noise ratio (SNR). One of the techniques of improving the SNR of MRI is deployment of metasurfaces for enhancing the RF magnetic field in the region of interest (ROI). In this work, we demonstrate the design of a single-layered thin metasurface which exhibits resonance at 63.8 …",0,"Magnetic metasurface add-ons-A route towards making MRI more efficient, affordable and accessible
P Das, J Gupta, D Sikdar, R Bhattacharjee - 2022 IEEE Silchar Subsection Conference (SILCON), 2022",{},1-5,2022 IEEE Silchar Subsection Conference (SILCON),,
Design and Analysis of Truncated Velocity Tapered Sine-Waveguide Structure for Traveling-Wave Tube in THz Band,"Narugopal Nayek, Ramesh Kumar Sonkar, Tapeshwar Tiwari, Ratnajit Bhattacharjee",2022/10/20,IEEE Transactions on Plasma Science,50.0,11.0,IEEE,"A truncated sine-waveguide traveling-wave tube (SWGTWT) is studied to obtain wideband amplification at 600 GHz. The cold test parameters are obtained and finalized through simulation to achieve minimum dispersion coupled with a high interaction impedance. The interaction impedance at various points of the beam tunnel cross section area is evaluated to choose the right shape of the electron beam for the TWT. The effect of velocity tapering on the SWG structure is studied. Particle-in-cell (PIC) simulation is carried out using cylindrical as well as sheet beams. The velocity-tapered structure exhibits higher power and efficiency. The maximum output power and 3-dB bandwidth are estimated to be 7 W and 40 GHz, respectively. The corresponding gain and electronic efficiency of the truncated SWGTWT are 25.4 dB, and 1.88%, respectively.",0,"Design and Analysis of Truncated Velocity Tapered Sine-Waveguide Structure for Traveling-Wave Tube in THz Band
N Nayek, RK Sonkar, T Tiwari, R Bhattacharjee - IEEE Transactions on Plasma Science, 2022
Related articles All 2 versions",{},4759-4766,,,
A thin metallo-dielectric stacked metamaterial as “add-on” for magnetic field enhancement in clinical MRI,"Priyanka Das, Jegyasu Gupta, Debabrata Sikdar, Ratnajit Bhattacharjee",2022/9/21,Journal of Applied Physics,132.0,11.0,AIP Publishing LLC,"Magnetic resonance imaging (MRI) is a widely used clinical diagnostic tool, which is based on the principle of nuclear magnetic resonance of hydrogen atoms in human body. The Larmor frequency of precession of the hydrogen atoms is determined by the strength of static magnetic field (B0) of MRI. A higher B0 can directly improve signal-to-noise ratio (SNR) of MRI. However, this method involves expensive hardware installation, which could have adverse effects of tissue-heating and make MRI unsafe for patients with medical implants. Hence, efforts have been made to increase the SNR of MRI without increasing B0. An effective solution in this direction would be to boost the radiofrequency (RF) magnetic fields emitted by the body part undergoing scan, particularly by using metamaterials. The higher the received RF signal strength, the greater the SNR of MRI. For a metamaterial to be used as an “add-on” in …",2,"A thin metallo-dielectric stacked metamaterial as “add-on” for magnetic field enhancement in clinical MRI
P Das, J Gupta, D Sikdar, R Bhattacharjee - Journal of Applied Physics, 2022
Cited by 2 Related articles All 3 versions",{'2023': 2},114901,,,
