Titles,DOIs
Online Reinforcement Learning of Optimal Threshold Policies for Markov Decision Processes,DOI:10.1109/TAC.2021.3108121
GoPro: a Low Complexity Task Allocation Algorithm for a Mobile Edge Computing System,DOI:10.1109/NCC55593.2022.9806731
Online Radio Access Technology Selection Algorithms in a 5G Multi-RAT Network,DOI:10.1109/TMC.2021.3096968
Low complexity online radio access technology selection algorithm in LTE-WiFi HetNet,DOI:10.1109/TMC.2019.2892983
A structure-aware online learning algorithm for markov decision processes,DOI:10.1145/3306309.3306321
Optimal Radio Access Technology Selection in an SDN based LTE-WiFi Network,DOI:10.23919/WiOPT47501.2019.9144129
Control and management of multiple RATs in wireless networks: An SDN approach,DOI:10.1109/5GWF.2019.8911703
Optimal Radio Access Technology Selection Algorithm for LTE-WiFi Network,DOI:10.1109/TVT.2018.2805190
Optimal traffic splitting policy in LTE-based heterogeneous network,DOI:10.1109/WCNC.2018.8377096
Reliability benefit of network coding and cooperative communication,DOI:10.1016/j.phycom.2018.05.011
An on-line radio access technology selection algorithm in an LTE-WiFi network,DOI:10.1109/WCNC.2017.7925607
Optimal radio access technology selection policy for LTE-WiFi network,DOI:10.1109/WIOPT.2015.7151085
