Titles,DOIs
Non-Markovian transients in transport across chiral quantum wires using space-time non-equilibrium Green functions,DOI:10.1088/1361-648X/ac45b6
Friedel oscillations and dynamical density of states of an inhomogeneous Luttinger liquid,DOI:10.1088/1402-4896/ab957f
Density-density correlation function of strongly inhomogeneous Luttinger liquids,DOI:10.1088/1402-4896/abbc2f
Conductance of inhomogeneous Luttinger liquids with a finite bandwidth,DOI:10.1016/j.physleta.2019.06.049
Transport properties of a Luttinger liquid with a cluster of impurities,DOI:10.1016/j.physe.2019.02.003
Nonchiral Bosonization of Strongly Inhomogeneous Luttinger Liquids,DOI:10.1134/S0040577919050106
Quantized transient nonlinear rabi frequency response in Weyl semimetals,DOI:10.1016/j.matpr.2019.02.171
The quantum steeplechase,DOI:10.1142/S0217751X18501749
Ponderous impurities in a Luttinger liquid,DOI:10.1209/0295-5075/123/27002
Quantum anomalous Bloch-Siegert shift in Weyl semimetal,DOI:10.1063/1.5032377
Signatures of bulk topology in the non-linear optical spectra of Dirac-Weyl materials,DOI:10.1140/epjb/e2018-80559-1
Bloch-Siegert shift in Dirac-Weyl fermionic systems,DOI:10.1063/1.5029045
The one step fermionic ladder,DOI:10.1016/j.physe.2017.07.022
Band-anisotropy induced Bloch-Siegert shift in graphene,DOI:10.1364/JOSAB.31.003042
Quantum Rabi oscillations in graphene,DOI:10.1364/JOSAB.31.000484
Coherent non-linear optical response in SU(2) symmetry broken single and bilayer graphene,DOI:10.1016/j.physb.2013.12.002
Effect of trigonal warping on anomalous Rabi oscillations in graphene bilayer,DOI:10.1063/1.4872975
Coherent nonlinear electromagnetic response in twisted bilayer and few-layer graphene,DOI:10.1007/s12043-014-0808-4
Strain effect on the nonlinear electromagnetic response of 2D carbon based material,DOI:10.1166/asl.2014.5523
Band structure effects on the nonlinear optical response of bilayer grapheme,DOI:10.1140/epjb/e2014-40887-8
Conventional and anomalous quantum Rabi oscillations in graphene,DOI:10.1063/1.4872586
"A theoretical study of pump-probe experiment in single-layer, bilayer and multilayer graphene",DOI:10.1007/s12043-014-0756-z
Rabi oscillations in trilayer graphene,DOI:10.1063/1.4810227
Bilayer graphene in optical regime,DOI:10.1063/1.4810245
Rabi oscillations in gapped bilayer graphene,DOI:10.1063/1.4810071
Dynamics of classical and quantum fields: An introduction,DOI:10.1201/b16133
Rabi oscillation in graphene,DOI:10.1063/1.4709966
Crossover of coherent Rabi oscillations in graphene,DOI:10.1016/j.physb.2012.08.005
Ellipsometry of graphene on a substrate,DOI:10.1063/1.3295913
Erratum: Conductivity tensor of graphene through reflection of microwave measurements (Journal of Physics D: Applied Physics (2009) 42 (055403)),DOI:10.1088/0022-3727/42/13/139802
A general approach to bosonization,DOI:10.1007/s12043-007-0162-x
X-ray edge spectra - a sea-boson perspective,DOI:10.1016/j.ssc.2007.04.020
Bosonization and quantum hydrodynamics,DOI:10.1007/BF02704500
U(1) Gauge theory as quantum hydrodynamics,DOI:10.1007/BF02704430
"Sea-boson theory of Landau-Fermi liquids, Luttinger liquids and Wigner crystals",DOI:10.1007/BF02704431
Calculus of sea-displacement operators,DOI:10.1103/PhysRevB.65.165111
Femtosecond pump-probe spectroscopy of a highly excited GaN epilayer,DOI:10.1117/12.424723
Ultrafast carrier dynamics in a highly excited GaN epilayer,DOI:10.1103/PhysRevB.63.115315
Optical conductivity and Raman spectra of coupled electron-phonon systems via bosonic algebra,DOI:10.1103/PhysRevB.61.290
Reply to “comment on ‘single-particle green functions in exactly solvable models of bose and fermi liquids’ ”,DOI:10.1103/PhysRevB.60.8390
Single-particle Green functions in exactly solvable models of Bose and Fermi liquids,DOI:10.1103/PhysRevB.57.15144
Role of nonequilibrium dynamical screening in carrier thermalization,DOI:10.1103/PhysRevB.55.1517
"Asymptotic wave functions for Be, alkaline earths, and their isoelectronics",DOI:10.1063/1.460780
