Titles,DOIs
Thin-Wire Array based Resonator for Targeted Clinical 1.5T Magnetic Resonance Imaging,DOI:10.1109/IPC53466.2022.9975742
Design and Analysis of a Thin Metamaterial for Magnetic Field Enhancement in 1.5T MRI,DOI:10.1109/IPC53466.2022.9975761
Performance Analysis of a Relay-Assisted D2D Underlay Cellular Network,DOI:10.1109/NCC55593.2022.9806796
Analytical Modelling of Terahertz Photomixing Antennas,DOI:10.1080/03772063.2019.1649209
Design and Analysis of Truncated Velocity Tapered Sine-Waveguide Structure for Traveling-Wave Tube in THz Band,DOI:10.1109/TPS.2022.3211740
"A thin metallo-dielectric stacked metamaterial as ""add-on"" for magnetic field enhancement in clinical MRI",DOI:10.1063/5.0102853
Multidynamic Radar: A Concept for Strategic Air Surveillance System,DOI:10.1109/LSENS.2021.3127801
Design of Truncated Sine-waveguide Structure for THz TWT,DOI:10.1109/IVEC51707.2021.9722470
Radar waveform diversity using nonlinear chirp with improved sidelobe level performance,DOI:10.1016/j.aeue.2021.153768
Automatic modulation classification over MIMO amplify and forward (AF)-relay fading channels,DOI:10.1016/j.phycom.2021.101399
