Titles,DOIs
Estimation of parameters of two-dimensional random amplitude chirp signal in additive noise,DOI:10.1007/s11045-022-00831-1
Approximate least squares estimators of a two-dimensional chirp model,DOI:10.1016/j.jmva.2022.105045
A Conceptual Framework for the Development of Chatbots Addressing COVID-19 Vaccine Hesitancy,DOI:10.17816/PAVLOVJ91196
On Weighted Least Squares Estimators of Parameters of a Chirp Model,DOI:10.1007/s00034-022-02134-z
Computationally Efficient Algorithm for Frequency Estimation of a Two-Dimensional Sinusoidal Model,DOI:10.1007/s00034-021-01782-x
Estimation of parameters of a harmonic chirp model,DOI:10.1049/sil2.12038
An efficient methodology to estimate the parameters of a two-dimensional chirp signal model,DOI:10.1007/s11045-020-00728-x
On a Chirp-Like Model and Its Parameter Estimation Using Periodogram-Type Estimators,DOI:10.1007/s42519-021-00174-3
Asymptotic Properties of Least Squares Estimators and Sequential Least Squares Estimators of a Chirp-like Signal Model Parameters,DOI:10.1007/s00034-021-01724-7
Estimation of parameters of multiple chirp signal in presence of additive alpha-stable errors,DOI:10.1016/j.sigpro.2021.108232
