Titles,DOIs
"MODELING THE DYNAMICS OF COVID-19 TRANSMISSION IN INDIA: SOCIAL DISTANCING, REGIONAL SPREAD AND HEALTHCARE CAPACITY",DOI:10.1142/S0218339022500231
Two strains and drug adherence: An HIV model in the paradigm of community transmission,DOI:10.1007/s11071-022-07323-8
Does Limited Liability Reduce Leveraged Risk?: The Case of Loan Portfolio Management,DOI:10.3390/jrfm15110519
Empirical Models for Premiums and Clustering of Insurance Companies: A Data-Driven Analysis of the Insurance Sector in India,DOI:10.1007/978-3-030-99792-2_110
"Progression of COVID-19 Outbreak in India, from Pre-lockdown to Post-lockdown: A Data-Driven Statistical Analysis",DOI:10.1007/978-3-030-99792-2_118
Analysis of a reaction–diffusion HCV model with general cell-to-cell incidence function incorporating B cell activation and cure rate,DOI:10.1016/j.matcom.2021.10.021
Modeling the Commodity Prices of Base Metals in Indian Commodity Market Using a Higher Order Markovian Approach,DOI:10.1007/s40953-021-00258-8
Pricing passport option using higher order compact scheme,DOI:10.1002/cmm4.1204
Is Being “Robust” Beneficial? A Perspective from the Indian Market,DOI:10.1007/s10690-021-09331-x
A quantitative study on the role of TKI combined with Wnt/β-catenin signaling and IFN-α in the treatment of CML through deterministic and stochastic approaches,DOI:10.1016/j.chaos.2020.109627
Can Robust Optimization Offer Improved Portfolio Performance? An Empirical Study of Indian market,DOI:10.1007/s40953-020-00205-z
Hopf Bifurcation and Stability Switches Induced by Humoral Immune Delay in Hepatitis C,DOI:10.1007/s13226-020-0489-2
Stochastic analysis of in-host HCV dynamics through budding and bursting process,DOI:10.1016/j.cnsns.2019.104955
Does Marginal VaR Lead to Improved Performance of Managed Portfolios: A Study of S&P BSE 100 and S&P BSE 200,DOI:10.1007/s10690-019-09294-0
Valuation of American passport option using a three-time level scheme,DOI:10.1007/s40314-019-0785-9
Threshold dynamics of HCV model with cell-to-cell transmission and a non-cytolytic cure in the presence of humoral immunity,DOI:10.1016/j.cnsns.2018.02.010
A predator–prey model with additional food supply to predators: dynamics and applications,DOI:10.1007/s40314-016-0369-x
Combination therapy of pegylated interferon and lamivudine and optimal controls for chronic hepatitis B infection,DOI:10.1007/s40435-017-0306-x
Pricing European Passport Option with Radial Basis Function,DOI:10.1007/s40819-016-0240-1
Pricing and estimates of Greeks for passport option: A three time level approach,DOI:10.1016/j.cam.2016.10.027
Additional Food Induced Turing Patterns for a Diffusive Predator–Prey Model,DOI:10.1007/s40819-015-0097-8
Global stability of one and two discrete delay models for chronic hepatitis B infection with HBV DNA-containing capsids,DOI:10.1007/s40314-015-0242-3
Dynamics and analysis of a model for chronic hepatitis B infection,DOI:10.1080/09720502.2014.903703
Empirical estimation of market parameters for Indian indices using jumpdiffusion models,DOI:10.1016/j.cnsns.2014.08.036
Pricing of path-dependent European-type options using Monte Carlo simulation,DOI:10.1007/978-81-322-2547-8_11
Chronic hepatitis B infection and HBV DNA-containing capsids: Modeling and analysis,DOI:10.1080/10236198.2015.1056524
Stochastic analysis and bounds on noise for a holling type-II model,DOI:10.1007/s11071-014-1848-5
Global stability and a non-standard finite difference scheme for a diffusion driven HBV model with capsids,DOI:10.1016/j.cnsns.2012.12.032
Optimal control of pest by supply of additional food to predators in a predator-prey system,DOI:10.1080/09720502.2013.821330
A comparative study of bioeconomic ratio-dependent predator–prey model with and without additional food to predators,DOI:10.1016/j.cnsns.2012.03.035
Dynamics of hepatitis C under optimal therapy and sampling based analysis,DOI:10.1016/j.jtbi.2012.03.030
Pricing Asian call option with average strike using a non-uniform grid,DOI:10.1002/oca.974
Analysis of hepatitis C viral dynamics using Latin hypercube sampling,DOI:10.1142/S0218339010003226
Modelling hepatitis C virus infection and the development of hepatocellular carcinoma,DOI:10.1002/oca.894
Pricing of average strike asian call option using numerical pde methods,DOI:10.1016/j.mbs.2009.03.005
Optimal portfolio and consumption subject to multidimensional economic factors,DOI:10.1142/S0218339009002727
Periodic optimal efficacy in a combination treatment of HIV,DOI:10.1109/cdc.2006.377600
A control theory approach to cancer remission aided by an optimal therapy,DOI:10.1109/CDC.2005.1582389
