Titles,DOIs
Neural Network (NN) Based Qualitative Assessment of Bone Growth Over Textured Implant Surfaces,DOI:10.1007/978-981-19-0676-3_13
Application of finite element analysis to tissue differentiation and bone remodelling approaches and their use in design optimization of orthopaedic implants: A review,DOI:10.1002/cnm.3637
Expandable pedicle screw may have better fixation than normal pedicle screw: preclinical investigation on instrumented L4-L5 vertebrae based on various physiological movements,DOI:10.1007/s11517-022-02625-w
A preclinical model of post-surgery secondary bone healing for subtrochanteric femoral fracture based on fuzzy interpretations,DOI:10.1371/journal.pone.0271061
The Influence of Static Load and Sideways Impact Fall on Extramedullary Bone Plates Used to Treat Intertrochanteric Femoral Fracture: A Preclinical Strength Assessment,DOI:10.1007/s10439-022-03013-z
Computational assessment of growth of connective tissues around textured hip stem subjected to daily activities after THA,DOI:10.1007/s11517-022-02729-3
Influence of sequential opening/closing of interface gaps and texture density on bone growth over macro-textured implant surfaces using FE based mechanoregulatory algorithm,DOI:10.1080/10255842.2021.1994960
Qualitative predictions of bone growth over optimally designed macro-textured implant surfaces obtained using NN-GA based machine learning framework,DOI:10.1016/j.medengphy.2021.08.002
Novel Design of Minimal Incision Double Oblique Device for Osteosynthesis (DODO) of Hip: Results of an In-silico Study Based on the Femur Morphometrics of the Northeast (NE) Indian population,DOI:10.1007/s43465-021-00408-3
Biomechanical design prognosis of two extramedullary fixation devices for subtrochanteric femur fracture: a finite element study,DOI:10.1007/s11517-020-02306-6
