year,importer1,importer2,flow1,flow2
2012,"Dey A.","Kundu D.",8.19,4.36
2018,"Paul B.","Dey A.K.",8.19,4.36
2018,"Paul B.","Kundu D.",8.19,4.36
2018,"Dey A.K.","Kundu D.",8.19,4.36
2019,"Dey A.K.","Paul B.",8.19,4.36
2017,"Dey A.K.","Somani R.",8.19,4.36
2017,"Dey A.K.","Acharyya S.",8.19,4.36
2017,"Somani R.","Acharyya S.",8.19,4.36
2022,"De S.","Dey A.K.",8.19,4.36
2022,"De S.","Gouda D.K.",8.19,4.36
2022,"Dey A.K.","Gouda D.K.",8.19,4.36
2021,"Dey S.","Dey A.K.",8.19,4.36
2021,"Dey S.","Mall R.K.",8.19,4.36
2021,"Dey A.K.","Mall R.K.",8.19,4.36
