year,importer1,importer2,flow1,flow2
2018,"Roy S.","Sairam A.S.",8.19,4.36
2016,"Saurabh S.","Sairam A.S.",8.19,4.36
2016,"Yadav A.","Sairam A.",8.19,4.36
2016,"Yadav A.","Singh R.",8.19,4.36
2016,"Sairam A.","Singh R.",8.19,4.36
2016,"Saurabh S.","Sairam A.",8.19,4.36
2015,"Roy S.","Sairam A.S.",8.19,4.36
2015,"Sairam A.","Roy S.",8.19,4.36
2015,"Sairam A.","Dwivedi S.",8.19,4.36
2015,"Roy S.","Dwivedi S.",8.19,4.36
2015,Madhankumar,M.,8.19,4.36
2015,Madhankumar,Sairam,8.19,4.36
2015,Madhankumar,A.,8.19,4.36
2015,Madhankumar,Balaji,8.19,4.36
2015,Madhankumar,N.,8.19,4.36
2015,Madhankumar,Sureshganadhas,8.19,4.36
2015,Madhankumar,C.,8.19,4.36
2015,M.,Sairam,8.19,4.36
2015,M.,A.,8.19,4.36
2015,M.,Balaji,8.19,4.36
2015,M.,N.,8.19,4.36
2015,M.,Sureshganadhas,8.19,4.36
2015,M.,C.,8.19,4.36
2015,Sairam,A.,8.19,4.36
2015,Sairam,Balaji,8.19,4.36
2015,Sairam,N.,8.19,4.36
2015,Sairam,Sureshganadhas,8.19,4.36
2015,Sairam,C.,8.19,4.36
2015,A.,Balaji,8.19,4.36
2015,A.,N.,8.19,4.36
2015,A.,Sureshganadhas,8.19,4.36
2015,A.,C.,8.19,4.36
2015,Balaji,N.,8.19,4.36
2015,Balaji,Sureshganadhas,8.19,4.36
2015,Balaji,C.,8.19,4.36
2015,N.,Sureshganadhas,8.19,4.36
2015,N.,C.,8.19,4.36
2015,Sureshganadhas,C.,8.19,4.36
2015,"Sairam A.S.","Roy S.",8.19,4.36
2015,"Sairam A.S.","Sahay R.",8.19,4.36
2015,"Roy S.","Sahay R.",8.19,4.36
2014,"Saurabh S.","Sairam A.",8.19,4.36
2014,"Yadav A.","Waghmare A.",8.19,4.36
2014,"Yadav A.","Sairam A.S.",8.19,4.36
2014,"Waghmare A.","Sairam A.S.",8.19,4.36
2014,"Saurabh S.","Roy S.",8.19,4.36
2014,"Saurabh S.","Sairam A.S.",8.19,4.36
2014,"Roy S.","Sairam A.S.",8.19,4.36
2014,"Mazumdar A.P.","Waghmare A.",8.19,4.36
2014,"Mazumdar A.P.","Sairam A.S.",8.19,4.36
2014,"Waghmare A.","Sairam A.S.",8.19,4.36
2014,"Mazumdar A.P.","Surange A.",8.19,4.36
2014,"Mazumdar A.P.","Sairam A.S.",8.19,4.36
2014,"Surange A.","Sairam A.S.",8.19,4.36
2014,"Sairam A.S.","Kumar R.",8.19,4.36
2014,"Sairam A.S.","Biswas P.",8.19,4.36
2014,"Kumar R.","Biswas P.",8.19,4.36
2013,"Mazumdar A.","Sairam A.",8.19,4.36
2013,"Waghmare A.","Mazumdar A.",8.19,4.36
2013,"Waghmare A.","Sairam A.",8.19,4.36
