year,importer1,importer2,flow1,flow2
2019,"Pandey S.K.","Shekhawat H.S.",8.19,4.36
2019,"Pandey S.K.","Prasanna S.R.M.",8.19,4.36
2019,"Shekhawat H.S.","Prasanna S.R.M.",8.19,4.36
2019,"Sehgal B.","Shekhawat H.S.",8.19,4.36
2019,"Sehgal B.","Jana S.K.",8.19,4.36
2019,"Shekhawat H.S.","Jana S.K.",8.19,4.36
2019,"Gupta D.","Shekhawat H.S.",8.19,4.36
2019,"Pandey S.K.","Shekhawat H.S.",8.19,4.36
2019,"Pandey S.K.","Prasanna S.R.M.",8.19,4.36
2019,"Shekhawat H.S.","Prasanna S.R.M.",8.19,4.36
2019,"Pandey S.","Jelil S.",8.19,4.36
2019,"Pandey S.","Prasanna S.R.M.",8.19,4.36
2019,"Pandey S.","Shekhawat H.S.",8.19,4.36
2019,"Jelil S.","Prasanna S.R.M.",8.19,4.36
2019,"Jelil S.","Shekhawat H.S.",8.19,4.36
2019,"Prasanna S.R.M.","Shekhawat H.S.",8.19,4.36
2019,"Gupta D.","Shekhawat H.",8.19,4.36
2018,"Shekhawat H.","Weiland S.",8.19,4.36
2015,"Shekhawat H.","Weiland S.",8.19,4.36
2015,"Shekhawat H.","Meinsma G.",8.19,4.36
2019,"Sehgal B.","Shekhawat H.S.",8.19,4.36
2019,"Sehgal B.","Jana S.K.",8.19,4.36
2019,"Shekhawat H.S.","Jana S.K.",8.19,4.36
2021,"Goel S.","Pandey S.K.",8.19,4.36
2021,"Goel S.","Shekhawat H.S.",8.19,4.36
2021,"Pandey S.K.","Shekhawat H.S.",8.19,4.36
2020,"Gupta D.","Shekhawat H.S.",8.19,4.36
2021,"Shekhawat H.S.","Meinsma G.",8.19,4.36
2022,"Pandey S.K.","Shekhawat H.S.",8.19,4.36
2022,"Pandey S.K.","Prasanna S.R.M.",8.19,4.36
2022,"Shekhawat H.S.","Prasanna S.R.M.",8.19,4.36
2014,"Hanumant Singh Shekhawat","Siep Weiland",8.19,4.36
2012,"Hanumant Singh Shekhawat","Gjerrit Meinsma",8.19,4.36
2012,"Hanumant Singh Shekhawat","Gjerrit Meinsma",8.19,4.36
2021,"Gupta D.","Shekhawat H.S.",8.19,4.36
2022,"Deepika Gupta","Hanumant Singh Shekhawat",8.19,4.36
2022,"Deepika Gupta","Rohit Sinha",8.19,4.36
2022,"Hanumant Singh Shekhawat","Rohit Sinha",8.19,4.36
2022,"Gupta D.","Shekhawat H.S.",8.19,4.36
2022,"Gupta D.","Sinha R.",8.19,4.36
2022,"Shekhawat H.S.","Sinha R.",8.19,4.36
2022,"Kumar A.","Choi B.J.",8.19,4.36
2022,"Kumar A.","Pandey S.K.",8.19,4.36
2022,"Kumar A.","Park S.",8.19,4.36
2022,"Kumar A.","Choi S.I.",8.19,4.36
2022,"Kumar A.","Shekhawat H.S.",8.19,4.36
2022,"Kumar A.","De Neve W.",8.19,4.36
2022,"Kumar A.","Saini M.",8.19,4.36
2022,"Kumar A.","Prasanna S.R.M.",8.19,4.36
2022,"Kumar A.","Singh D.",8.19,4.36
2022,"Choi B.J.","Pandey S.K.",8.19,4.36
2022,"Choi B.J.","Park S.",8.19,4.36
2022,"Choi B.J.","Choi S.I.",8.19,4.36
2022,"Choi B.J.","Shekhawat H.S.",8.19,4.36
2022,"Choi B.J.","De Neve W.",8.19,4.36
2022,"Choi B.J.","Saini M.",8.19,4.36
2022,"Choi B.J.","Prasanna S.R.M.",8.19,4.36
2022,"Choi B.J.","Singh D.",8.19,4.36
2022,"Pandey S.K.","Park S.",8.19,4.36
2022,"Pandey S.K.","Choi S.I.",8.19,4.36
2022,"Pandey S.K.","Shekhawat H.S.",8.19,4.36
2022,"Pandey S.K.","De Neve W.",8.19,4.36
2022,"Pandey S.K.","Saini M.",8.19,4.36
2022,"Pandey S.K.","Prasanna S.R.M.",8.19,4.36
2022,"Pandey S.K.","Singh D.",8.19,4.36
2022,"Park S.","Choi S.I.",8.19,4.36
2022,"Park S.","Shekhawat H.S.",8.19,4.36
2022,"Park S.","De Neve W.",8.19,4.36
2022,"Park S.","Saini M.",8.19,4.36
2022,"Park S.","Prasanna S.R.M.",8.19,4.36
2022,"Park S.","Singh D.",8.19,4.36
2022,"Choi S.I.","Shekhawat H.S.",8.19,4.36
2022,"Choi S.I.","De Neve W.",8.19,4.36
2022,"Choi S.I.","Saini M.",8.19,4.36
2022,"Choi S.I.","Prasanna S.R.M.",8.19,4.36
2022,"Choi S.I.","Singh D.",8.19,4.36
2022,"Shekhawat H.S.","De Neve W.",8.19,4.36
2022,"Shekhawat H.S.","Saini M.",8.19,4.36
2022,"Shekhawat H.S.","Prasanna S.R.M.",8.19,4.36
2022,"Shekhawat H.S.","Singh D.",8.19,4.36
2022,"De Neve W.","Saini M.",8.19,4.36
2022,"De Neve W.","Prasanna S.R.M.",8.19,4.36
2022,"De Neve W.","Singh D.",8.19,4.36
2022,"Saini M.","Prasanna S.R.M.",8.19,4.36
2022,"Saini M.","Singh D.",8.19,4.36
2022,"Prasanna S.R.M.","Singh D.",8.19,4.36
2022,"Pandey S.K.","Shekhawat H.S.",8.19,4.36
2022,"Pandey S.K.","Bhasin S.",8.19,4.36
2022,"Pandey S.K.","Jasuja R.",8.19,4.36
2022,"Pandey S.K.","Prasanna S.R.M.",8.19,4.36
2022,"Shekhawat H.S.","Bhasin S.",8.19,4.36
2022,"Shekhawat H.S.","Jasuja R.",8.19,4.36
2022,"Shekhawat H.S.","Prasanna S.R.M.",8.19,4.36
2022,"Bhasin S.","Jasuja R.",8.19,4.36
2022,"Bhasin S.","Prasanna S.R.M.",8.19,4.36
2022,"Jasuja R.","Prasanna S.R.M.",8.19,4.36
2022,"Mishra S.M.","Shekhawat H.S.",8.19,4.36
2022,"Mishra S.M.","Trivedi G.",8.19,4.36
2022,"Mishra S.M.","Jan P.",8.19,4.36
2022,"Mishra S.M.","Nemec Z.",8.19,4.36
2022,"Shekhawat H.S.","Trivedi G.",8.19,4.36
2022,"Shekhawat H.S.","Jan P.",8.19,4.36
2022,"Shekhawat H.S.","Nemec Z.",8.19,4.36
2022,"Trivedi G.","Jan P.",8.19,4.36
2022,"Trivedi G.","Nemec Z.",8.19,4.36
2022,"Jan P.","Nemec Z.",8.19,4.36
2022,"Mishra S.M.","Tiwari A.",8.19,4.36
2022,"Mishra S.M.","Shekhawat H.S.",8.19,4.36
2022,"Mishra S.M.","Guha P.",8.19,4.36
2022,"Mishra S.M.","Trivedi G.",8.19,4.36
2022,"Mishra S.M.","Jan P.",8.19,4.36
2022,"Mishra S.M.","Nemec Z.",8.19,4.36
2022,"Tiwari A.","Shekhawat H.S.",8.19,4.36
2022,"Tiwari A.","Guha P.",8.19,4.36
2022,"Tiwari A.","Trivedi G.",8.19,4.36
2022,"Tiwari A.","Jan P.",8.19,4.36
2022,"Tiwari A.","Nemec Z.",8.19,4.36
2022,"Shekhawat H.S.","Guha P.",8.19,4.36
2022,"Shekhawat H.S.","Trivedi G.",8.19,4.36
2022,"Shekhawat H.S.","Jan P.",8.19,4.36
2022,"Shekhawat H.S.","Nemec Z.",8.19,4.36
2022,"Guha P.","Trivedi G.",8.19,4.36
2022,"Guha P.","Jan P.",8.19,4.36
2022,"Guha P.","Nemec Z.",8.19,4.36
2022,"Trivedi G.","Jan P.",8.19,4.36
2022,"Trivedi G.","Nemec Z.",8.19,4.36
2022,"Jan P.","Nemec Z.",8.19,4.36
2022,"Deepika Gupta","Hanumant Singh Shekhawat",8.19,4.36
2022,"Pandey S.K.","Shekhawat H.S.",8.19,4.36
2022,"Pandey S.K.","Prasanna S.R.M.",8.19,4.36
2022,"Pandey S.K.","Bhasin S.",8.19,4.36
2022,"Pandey S.K.","Jasuja R.",8.19,4.36
2022,"Shekhawat H.S.","Prasanna S.R.M.",8.19,4.36
2022,"Shekhawat H.S.","Bhasin S.",8.19,4.36
2022,"Shekhawat H.S.","Jasuja R.",8.19,4.36
2022,"Prasanna S.R.M.","Bhasin S.",8.19,4.36
2022,"Prasanna S.R.M.","Jasuja R.",8.19,4.36
2022,"Bhasin S.","Jasuja R.",8.19,4.36
2022,"Gupta D.","Shekhawat H.S.",8.19,4.36
