year,importer1,importer2,flow1,flow2
2018,"Sajjan N.","Ganesh S.",8.19,4.36
2018,"Sajjan N.","Sharma N.",8.19,4.36
2018,"Sajjan N.","Ganapathy S.",8.19,4.36
2018,"Sajjan N.","Ryant N.",8.19,4.36
2018,"Ganesh S.","Sharma N.",8.19,4.36
2018,"Ganesh S.","Ganapathy S.",8.19,4.36
2018,"Ganesh S.","Ryant N.",8.19,4.36
2018,"Sharma N.","Ganapathy S.",8.19,4.36
2018,"Sharma N.","Ryant N.",8.19,4.36
2018,"Ganapathy S.","Ryant N.",8.19,4.36
2019,"Sharma N.K.","Ganesh S.",8.19,4.36
2019,"Sharma N.K.","Ganapathy S.",8.19,4.36
2019,"Sharma N.K.","Holt L.L.",8.19,4.36
2019,"Ganesh S.","Ganapathy S.",8.19,4.36
2019,"Ganesh S.","Holt L.L.",8.19,4.36
2019,"Ganapathy S.","Holt L.L.",8.19,4.36
2019,"Sharma N.","Ganesh S.",8.19,4.36
2019,"Sharma N.","Ganapathy S.",8.19,4.36
2019,"Sharma N.","Holt L.",8.19,4.36
2019,"Ganesh S.","Ganapathy S.",8.19,4.36
2019,"Ganesh S.","Holt L.",8.19,4.36
2019,"Ganapathy S.","Holt L.",8.19,4.36
2017,"Sharma N.","Dileep A.D.",8.19,4.36
2017,"Sharma N.","Thenkanidiyoor V.",8.19,4.36
2017,"Dileep A.D.","Thenkanidiyoor V.",8.19,4.36
2016,"Sharma N.","Sharma A.",8.19,4.36
2016,"Sharma N.","Thenkanidiyoor V.",8.19,4.36
2016,"Sharma N.","Dileep A.D.",8.19,4.36
2016,"Sharma A.","Thenkanidiyoor V.",8.19,4.36
2016,"Sharma A.","Dileep A.D.",8.19,4.36
2016,"Thenkanidiyoor V.","Dileep A.D.",8.19,4.36
2020,"Sharma N.","Krishnamohan V.",8.19,4.36
2020,"Sharma N.","Ganapathy S.",8.19,4.36
2020,"Sharma N.","Gangopadhayay A.",8.19,4.36
2020,"Sharma N.","Fink L.",8.19,4.36
2020,"Krishnamohan V.","Ganapathy S.",8.19,4.36
2020,"Krishnamohan V.","Gangopadhayay A.",8.19,4.36
2020,"Krishnamohan V.","Fink L.",8.19,4.36
2020,"Ganapathy S.","Gangopadhayay A.",8.19,4.36
2020,"Ganapathy S.","Fink L.",8.19,4.36
2020,"Gangopadhayay A.","Fink L.",8.19,4.36
2020,"Sharma N.K.","Krishnamohan V.",8.19,4.36
2020,"Sharma N.K.","Ganapathy S.",8.19,4.36
2020,"Sharma N.K.","Gangopadhayay A.",8.19,4.36
2020,"Sharma N.K.","Fink L.",8.19,4.36
2020,"Krishnamohan V.","Ganapathy S.",8.19,4.36
2020,"Krishnamohan V.","Gangopadhayay A.",8.19,4.36
2020,"Krishnamohan V.","Fink L.",8.19,4.36
2020,"Ganapathy S.","Gangopadhayay A.",8.19,4.36
