year,importer1,importer2,flow1,flow2
2013,"Guha P.","Mukerjee A.",8.19,4.36
2018,"Baghel S.","Mahadeva Prasanna S.",8.19,4.36
2018,"Baghel S.","Guha P.",8.19,4.36
2018,"Mahadeva Prasanna S.","Guha P.",8.19,4.36
2016,"Shankar T.","Dwivedy S.K.",8.19,4.36
2016,"Shankar T.","Guha P.",8.19,4.36
2016,"Dwivedy S.K.","Guha P.",8.19,4.36
2020,"Baghel S.","Prasanna S.R.M.",8.19,4.36
2020,"Baghel S.","Guha P.",8.19,4.36
2020,"Prasanna S.R.M.","Guha P.",8.19,4.36
2019,"Baghel S.","Bhattacharjee M.",8.19,4.36
2019,"Baghel S.","Prasanna S.R.M.",8.19,4.36
2019,"Baghel S.","Guha P.",8.19,4.36
2019,"Bhattacharjee M.","Prasanna S.R.M.",8.19,4.36
2019,"Bhattacharjee M.","Guha P.",8.19,4.36
2019,"Prasanna S.R.M.","Guha P.",8.19,4.36
2017,"Baghel S.","Prasanna S.",8.19,4.36
2017,"Baghel S.","Guha P.",8.19,4.36
2017,"Prasanna S.","Guha P.",8.19,4.36
2017,"Baghel S.","Khonglah B.",8.19,4.36
2017,"Baghel S.","Prasanna S.",8.19,4.36
2017,"Baghel S.","Guha P.",8.19,4.36
2017,"Khonglah B.","Prasanna S.",8.19,4.36
2017,"Khonglah B.","Guha P.",8.19,4.36
2017,"Prasanna S.","Guha P.",8.19,4.36
2019,"Nakum G.","Guha P.",8.19,4.36
2019,"Nakum G.","Baruah R.",8.19,4.36
2019,"Guha P.","Baruah R.",8.19,4.36
2016,"Saikia G.","Shivagunde S.",8.19,4.36
2016,"Saikia G.","Saradhi V.",8.19,4.36
2016,"Saikia G.","Kannao R.",8.19,4.36
2016,"Saikia G.","Guha P.",8.19,4.36
2016,"Shivagunde S.","Saradhi V.",8.19,4.36
2016,"Shivagunde S.","Kannao R.",8.19,4.36
2016,"Shivagunde S.","Guha P.",8.19,4.36
2016,"Saradhi V.","Kannao R.",8.19,4.36
2016,"Saradhi V.","Guha P.",8.19,4.36
2016,"Kannao R.","Guha P.",8.19,4.36
2020,"Kannao R.","Guha P.",8.19,4.36
2019,"Kannao R.","Guha P.",8.19,4.36
2019,"Godbole A.","Bhat S.",8.19,4.36
2019,"Godbole A.","Guha P.",8.19,4.36
2019,"Bhat S.","Guha P.",8.19,4.36
2018,"Kate P.","Francis M.",8.19,4.36
2018,"Kate P.","Guha P.",8.19,4.36
2018,"Francis M.","Guha P.",8.19,4.36
2017,"Kannao R.","Guha P.",8.19,4.36
