year,importer1,importer2,flow1,flow2
2019,"Grover R.","Kundu D.",8.19,4.36
2019,"Grover R.","Mitra A.",8.19,4.36
2019,"Kundu D.","Mitra A.",8.19,4.36
2018,"Grover R.","Kundu D.",8.19,4.36
2018,"Grover R.","Mitra A.",8.19,4.36
2018,"Kundu D.","Mitra A.",8.19,4.36
2018,"Grover R.","Kundu D.",8.19,4.36
2018,"Grover R.","Mitra A.",8.19,4.36
2018,"Kundu D.","Mitra A.",8.19,4.36
2021,"Grover R.","Kundu D.",8.19,4.36
2021,"Grover R.","Mitra A.",8.19,4.36
2021,"Kundu D.","Mitra A.",8.19,4.36
2021,"Kundu D.","Grover R.",8.19,4.36
2021,"Grover R.","Kundu D.",8.19,4.36
2021,"Grover R.","Mitra A.",8.19,4.36
2021,"Kundu D.","Mitra A.",8.19,4.36
2021,"Grover R.","Kundu D.",8.19,4.36
2021,"Grover R.","Mitra A.",8.19,4.36
2021,"Kundu D.","Mitra A.",8.19,4.36
2022,"Grover R.","Sharma A.",8.19,4.36
2022,"Grover R.","Delcourt T.",8.19,4.36
2022,"Grover R.","Kundu D.",8.19,4.36
2022,"Sharma A.","Delcourt T.",8.19,4.36
2022,"Sharma A.","Kundu D.",8.19,4.36
2022,"Delcourt T.","Kundu D.",8.19,4.36
2021,"Nandi S.","Grover R.",8.19,4.36
2021,"Nandi S.","Kundu D.",8.19,4.36
2021,"Grover R.","Kundu D.",8.19,4.36
2022,"Nandi S.","Grover R.",8.19,4.36
2022,"Nandi S.","Kundu D.",8.19,4.36
2022,"Grover R.","Kundu D.",8.19,4.36
2022,"Shukla A.","Grover R.",8.19,4.36
2022,"Shukla A.","Kundu D.",8.19,4.36
2022,"Shukla A.","Mitra A.",8.19,4.36
2022,"Grover R.","Kundu D.",8.19,4.36
2022,"Grover R.","Mitra A.",8.19,4.36
2022,"Kundu D.","Mitra A.",8.19,4.36
2022,"Kundu D.","Nandi S.",8.19,4.36
2022,"Kundu D.","Grover R.",8.19,4.36
2022,"Nandi S.","Grover R.",8.19,4.36
2021,"Grover R.","Kundu D.",8.19,4.36
2021,"Grover R.","Mitra A.",8.19,4.36
2021,"Kundu D.","Mitra A.",8.19,4.36
2022,"Neog D.R.","Grover R.",8.19,4.36
2022,"Neog D.R.","Ransing R.",8.19,4.36
2022,"Neog D.R.","Ramalho R.",8.19,4.36
2022,"Grover R.","Ransing R.",8.19,4.36
2022,"Grover R.","Ramalho R.",8.19,4.36
2022,"Ransing R.","Ramalho R.",8.19,4.36
