year,importer1,importer2,flow1,flow2
2013,"Singh S.R.","Murthy H.A.",8.19,4.36
2013,"Singh S.R.","Gonsalves T.A.",8.19,4.36
2013,"Murthy H.A.","Gonsalves T.A.",8.19,4.36
2013,"Mangal D.","Sett N.",8.19,4.36
2013,"Mangal D.","Singh S.R.",8.19,4.36
2013,"Mangal D.","Nandi S.",8.19,4.36
2013,"Sett N.","Singh S.R.",8.19,4.36
2013,"Sett N.","Nandi S.",8.19,4.36
2013,"Singh S.R.","Nandi S.",8.19,4.36
2013,"Patil H.A.","Patel T.B.",8.19,4.36
2013,"Patil H.A.","Shah N.J.",8.19,4.36
2013,"Patil H.A.","Sailor H.B.",8.19,4.36
2013,"Patil H.A.","Krishnan R.",8.19,4.36
2013,"Patil H.A.","Kasthuri G.R.",8.19,4.36
2013,"Patil H.A.","Nagarajan T.",8.19,4.36
2013,"Patil H.A.","Christina L.",8.19,4.36
2013,"Patil H.A.","Kumar N.",8.19,4.36
2013,"Patil H.A.","Raghavendra V.",8.19,4.36
2013,"Patil H.A.","Kishore S.P.",8.19,4.36
2013,"Patil H.A.","Prasanna S.R.M.",8.19,4.36
2013,"Patil H.A.","Adiga N.",8.19,4.36
2013,"Patil H.A.","Singh S.R.",8.19,4.36
2013,"Patil H.A.","Anand K.",8.19,4.36
2013,"Patil H.A.","Kumar P.",8.19,4.36
2013,"Patil H.A.","Singh B.C.",8.19,4.36
2013,"Patil H.A.","Binil Kumar S.L.",8.19,4.36
2013,"Patil H.A.","Bhadran T.G.",8.19,4.36
2013,"Patil H.A.","Sajini T.",8.19,4.36
2013,"Patil H.A.","Saha A.",8.19,4.36
2013,"Patil H.A.","Basu T.",8.19,4.36
2013,"Patil H.A.","Rao K.S.",8.19,4.36
2013,"Patil H.A.","Narendra N.P.",8.19,4.36
2013,"Patil H.A.","Sao A.K.",8.19,4.36
2013,"Patil H.A.","Kumar R.",8.19,4.36
2013,"Patil H.A.","Talukdar P.",8.19,4.36
2013,"Patil H.A.","Acharyaa P.",8.19,4.36
2013,"Patil H.A.","Chandra S.",8.19,4.36
2013,"Patil H.A.","Lata S.",8.19,4.36
2013,"Patil H.A.","Murthy H.A.",8.19,4.36
2013,"Patel T.B.","Shah N.J.",8.19,4.36
2013,"Patel T.B.","Sailor H.B.",8.19,4.36
2013,"Patel T.B.","Krishnan R.",8.19,4.36
2013,"Patel T.B.","Kasthuri G.R.",8.19,4.36
2013,"Patel T.B.","Nagarajan T.",8.19,4.36
2013,"Patel T.B.","Christina L.",8.19,4.36
2013,"Patel T.B.","Kumar N.",8.19,4.36
2013,"Patel T.B.","Raghavendra V.",8.19,4.36
2013,"Patel T.B.","Kishore S.P.",8.19,4.36
2013,"Patel T.B.","Prasanna S.R.M.",8.19,4.36
2013,"Patel T.B.","Adiga N.",8.19,4.36
2013,"Patel T.B.","Singh S.R.",8.19,4.36
2013,"Patel T.B.","Anand K.",8.19,4.36
2013,"Patel T.B.","Kumar P.",8.19,4.36
2013,"Patel T.B.","Singh B.C.",8.19,4.36
2013,"Patel T.B.","Binil Kumar S.L.",8.19,4.36
2013,"Patel T.B.","Bhadran T.G.",8.19,4.36
2013,"Patel T.B.","Sajini T.",8.19,4.36
2013,"Patel T.B.","Saha A.",8.19,4.36
2013,"Patel T.B.","Basu T.",8.19,4.36
2013,"Patel T.B.","Rao K.S.",8.19,4.36
2013,"Patel T.B.","Narendra N.P.",8.19,4.36
2013,"Patel T.B.","Sao A.K.",8.19,4.36
2013,"Patel T.B.","Kumar R.",8.19,4.36
2013,"Patel T.B.","Talukdar P.",8.19,4.36
2013,"Patel T.B.","Acharyaa P.",8.19,4.36
2013,"Patel T.B.","Chandra S.",8.19,4.36
2013,"Patel T.B.","Lata S.",8.19,4.36
2013,"Patel T.B.","Murthy H.A.",8.19,4.36
2013,"Shah N.J.","Sailor H.B.",8.19,4.36
2013,"Shah N.J.","Krishnan R.",8.19,4.36
2013,"Shah N.J.","Kasthuri G.R.",8.19,4.36
2013,"Shah N.J.","Nagarajan T.",8.19,4.36
2013,"Shah N.J.","Christina L.",8.19,4.36
2013,"Shah N.J.","Kumar N.",8.19,4.36
2013,"Shah N.J.","Raghavendra V.",8.19,4.36
2013,"Shah N.J.","Kishore S.P.",8.19,4.36
2013,"Shah N.J.","Prasanna S.R.M.",8.19,4.36
2013,"Shah N.J.","Adiga N.",8.19,4.36
2013,"Shah N.J.","Singh S.R.",8.19,4.36
2013,"Shah N.J.","Anand K.",8.19,4.36
2013,"Shah N.J.","Kumar P.",8.19,4.36
2013,"Shah N.J.","Singh B.C.",8.19,4.36
2013,"Shah N.J.","Binil Kumar S.L.",8.19,4.36
2013,"Shah N.J.","Bhadran T.G.",8.19,4.36
2013,"Shah N.J.","Sajini T.",8.19,4.36
2013,"Shah N.J.","Saha A.",8.19,4.36
2013,"Shah N.J.","Basu T.",8.19,4.36
2013,"Shah N.J.","Rao K.S.",8.19,4.36
2013,"Shah N.J.","Narendra N.P.",8.19,4.36
2013,"Shah N.J.","Sao A.K.",8.19,4.36
2013,"Shah N.J.","Kumar R.",8.19,4.36
2013,"Shah N.J.","Talukdar P.",8.19,4.36
2013,"Shah N.J.","Acharyaa P.",8.19,4.36
2013,"Shah N.J.","Chandra S.",8.19,4.36
2013,"Shah N.J.","Lata S.",8.19,4.36
2013,"Shah N.J.","Murthy H.A.",8.19,4.36
2013,"Sailor H.B.","Krishnan R.",8.19,4.36
2013,"Sailor H.B.","Kasthuri G.R.",8.19,4.36
2013,"Sailor H.B.","Nagarajan T.",8.19,4.36
2013,"Sailor H.B.","Christina L.",8.19,4.36
2013,"Sailor H.B.","Kumar N.",8.19,4.36
2013,"Sailor H.B.","Raghavendra V.",8.19,4.36
2013,"Sailor H.B.","Kishore S.P.",8.19,4.36
2013,"Sailor H.B.","Prasanna S.R.M.",8.19,4.36
2013,"Sailor H.B.","Adiga N.",8.19,4.36
2013,"Sailor H.B.","Singh S.R.",8.19,4.36
2013,"Sailor H.B.","Anand K.",8.19,4.36
2013,"Sailor H.B.","Kumar P.",8.19,4.36
2013,"Sailor H.B.","Singh B.C.",8.19,4.36
2013,"Sailor H.B.","Binil Kumar S.L.",8.19,4.36
2013,"Sailor H.B.","Bhadran T.G.",8.19,4.36
2013,"Sailor H.B.","Sajini T.",8.19,4.36
2013,"Sailor H.B.","Saha A.",8.19,4.36
2013,"Sailor H.B.","Basu T.",8.19,4.36
2013,"Sailor H.B.","Rao K.S.",8.19,4.36
2013,"Sailor H.B.","Narendra N.P.",8.19,4.36
2013,"Sailor H.B.","Sao A.K.",8.19,4.36
2013,"Sailor H.B.","Kumar R.",8.19,4.36
2013,"Sailor H.B.","Talukdar P.",8.19,4.36
2013,"Sailor H.B.","Acharyaa P.",8.19,4.36
2013,"Sailor H.B.","Chandra S.",8.19,4.36
2013,"Sailor H.B.","Lata S.",8.19,4.36
2013,"Sailor H.B.","Murthy H.A.",8.19,4.36
2013,"Krishnan R.","Kasthuri G.R.",8.19,4.36
2013,"Krishnan R.","Nagarajan T.",8.19,4.36
2013,"Krishnan R.","Christina L.",8.19,4.36
2013,"Krishnan R.","Kumar N.",8.19,4.36
2013,"Krishnan R.","Raghavendra V.",8.19,4.36
2013,"Krishnan R.","Kishore S.P.",8.19,4.36
2013,"Krishnan R.","Prasanna S.R.M.",8.19,4.36
2013,"Krishnan R.","Adiga N.",8.19,4.36
2013,"Krishnan R.","Singh S.R.",8.19,4.36
2013,"Krishnan R.","Anand K.",8.19,4.36
2013,"Krishnan R.","Kumar P.",8.19,4.36
2013,"Krishnan R.","Singh B.C.",8.19,4.36
2013,"Krishnan R.","Binil Kumar S.L.",8.19,4.36
2013,"Krishnan R.","Bhadran T.G.",8.19,4.36
2013,"Krishnan R.","Sajini T.",8.19,4.36
2013,"Krishnan R.","Saha A.",8.19,4.36
2013,"Krishnan R.","Basu T.",8.19,4.36
2013,"Krishnan R.","Rao K.S.",8.19,4.36
2013,"Krishnan R.","Narendra N.P.",8.19,4.36
2013,"Krishnan R.","Sao A.K.",8.19,4.36
2013,"Krishnan R.","Kumar R.",8.19,4.36
2013,"Krishnan R.","Talukdar P.",8.19,4.36
2013,"Krishnan R.","Acharyaa P.",8.19,4.36
2013,"Krishnan R.","Chandra S.",8.19,4.36
2013,"Krishnan R.","Lata S.",8.19,4.36
2013,"Krishnan R.","Murthy H.A.",8.19,4.36
2013,"Kasthuri G.R.","Nagarajan T.",8.19,4.36
2013,"Kasthuri G.R.","Christina L.",8.19,4.36
2013,"Kasthuri G.R.","Kumar N.",8.19,4.36
2013,"Kasthuri G.R.","Raghavendra V.",8.19,4.36
2013,"Kasthuri G.R.","Kishore S.P.",8.19,4.36
2013,"Kasthuri G.R.","Prasanna S.R.M.",8.19,4.36
2013,"Kasthuri G.R.","Adiga N.",8.19,4.36
2013,"Kasthuri G.R.","Singh S.R.",8.19,4.36
2013,"Kasthuri G.R.","Anand K.",8.19,4.36
2013,"Kasthuri G.R.","Kumar P.",8.19,4.36
2013,"Kasthuri G.R.","Singh B.C.",8.19,4.36
2013,"Kasthuri G.R.","Binil Kumar S.L.",8.19,4.36
2013,"Kasthuri G.R.","Bhadran T.G.",8.19,4.36
2013,"Kasthuri G.R.","Sajini T.",8.19,4.36
2013,"Kasthuri G.R.","Saha A.",8.19,4.36
2013,"Kasthuri G.R.","Basu T.",8.19,4.36
2013,"Kasthuri G.R.","Rao K.S.",8.19,4.36
2013,"Kasthuri G.R.","Narendra N.P.",8.19,4.36
2013,"Kasthuri G.R.","Sao A.K.",8.19,4.36
2013,"Kasthuri G.R.","Kumar R.",8.19,4.36
2013,"Kasthuri G.R.","Talukdar P.",8.19,4.36
2013,"Kasthuri G.R.","Acharyaa P.",8.19,4.36
2013,"Kasthuri G.R.","Chandra S.",8.19,4.36
2013,"Kasthuri G.R.","Lata S.",8.19,4.36
2013,"Kasthuri G.R.","Murthy H.A.",8.19,4.36
2013,"Nagarajan T.","Christina L.",8.19,4.36
2013,"Nagarajan T.","Kumar N.",8.19,4.36
2013,"Nagarajan T.","Raghavendra V.",8.19,4.36
2013,"Nagarajan T.","Kishore S.P.",8.19,4.36
2013,"Nagarajan T.","Prasanna S.R.M.",8.19,4.36
2013,"Nagarajan T.","Adiga N.",8.19,4.36
2013,"Nagarajan T.","Singh S.R.",8.19,4.36
2013,"Nagarajan T.","Anand K.",8.19,4.36
2013,"Nagarajan T.","Kumar P.",8.19,4.36
2013,"Nagarajan T.","Singh B.C.",8.19,4.36
2013,"Nagarajan T.","Binil Kumar S.L.",8.19,4.36
2013,"Nagarajan T.","Bhadran T.G.",8.19,4.36
2013,"Nagarajan T.","Sajini T.",8.19,4.36
2013,"Nagarajan T.","Saha A.",8.19,4.36
2013,"Nagarajan T.","Basu T.",8.19,4.36
2013,"Nagarajan T.","Rao K.S.",8.19,4.36
2013,"Nagarajan T.","Narendra N.P.",8.19,4.36
2013,"Nagarajan T.","Sao A.K.",8.19,4.36
2013,"Nagarajan T.","Kumar R.",8.19,4.36
