year,importer1,importer2,flow1,flow2
2016,"Chanda S.","Gupta S.",8.19,4.36
2016,"Chanda S.","Pratihar D.K.",8.19,4.36
2016,"Gupta S.","Pratihar D.K.",8.19,4.36
2015,"Chanda S.","Gupta S.",8.19,4.36
2015,"Chanda S.","Pratihar D.K.",8.19,4.36
2015,"Gupta S.","Pratihar D.K.",8.19,4.36
2015,"Chanda S.","Gupta S.",8.19,4.36
2015,"Chanda S.","Pratihar D.K.",8.19,4.36
2015,"Gupta S.","Pratihar D.K.",8.19,4.36
2020,"Chanda S.","Mukherjee K.",8.19,4.36
2020,"Chanda S.","Gupta S.",8.19,4.36
2020,"Chanda S.","Pratihar D.K.",8.19,4.36
2020,"Mukherjee K.","Gupta S.",8.19,4.36
2020,"Mukherjee K.","Pratihar D.K.",8.19,4.36
2020,"Gupta S.","Pratihar D.K.",8.19,4.36
2015,"Partha Roy","S. Chanda",8.19,4.36
2015,"Partha Roy","S.C. Gupta",8.19,4.36
2015,"Partha Roy","A.K. Aggarwal",8.19,4.36
2015,"Partha Roy",,8.19,4.36
2015,"S. Chanda","S.C. Gupta",8.19,4.36
2015,"S. Chanda","A.K. Aggarwal",8.19,4.36
2015,"S. Chanda",,8.19,4.36
2015,"S.C. Gupta","A.K. Aggarwal",8.19,4.36
2015,"S.C. Gupta",,8.19,4.36
2015,"A.K. Aggarwal",,8.19,4.36
2015,"Chanda S.","Dickinson A.",8.19,4.36
2015,"Chanda S.","Gupta S.",8.19,4.36
2015,"Chanda S.","Browne M.",8.19,4.36
2015,"Dickinson A.","Gupta S.",8.19,4.36
2015,"Dickinson A.","Browne M.",8.19,4.36
2015,"Gupta S.","Browne M.",8.19,4.36
2020,"Ghosh R.","Chanda S.",8.19,4.36
2020,"Ghosh R.","Chakraborty D.",8.19,4.36
2020,"Chanda S.","Chakraborty D.",8.19,4.36
2021,"Nag P.","Chanda S.",8.19,4.36
2021,"Nag P.","Borgohain B.",8.19,4.36
2021,"Nag P.","Chanda S.",8.19,4.36
2021,"Borgohain B.","Chanda S.",8.19,4.36
2021,"Ghosh R.","Chanda S.",8.19,4.36
2021,"Ghosh R.","Chakraborty D.",8.19,4.36
2021,"Chanda S.","Chakraborty D.",8.19,4.36
2022,"Ghosh R.","Chanda S.",8.19,4.36
2022,"Ghosh R.","Chakraborty D.",8.19,4.36
2022,"Chanda S.","Chakraborty D.",8.19,4.36
2022,"Ghosh R.","Chanda S.",8.19,4.36
2022,"Ghosh R.","Chakraborty D.",8.19,4.36
2022,"Chanda S.","Chakraborty D.",8.19,4.36
2021,"Bhagawati R.","Hazarika S.",8.19,4.36
2021,"Bhagawati R.","Gupta C.N.",8.19,4.36
2021,"Bhagawati R.","Chanda S.",8.19,4.36
2021,"Hazarika S.","Gupta C.N.",8.19,4.36
2021,"Hazarika S.","Chanda S.",8.19,4.36
2021,"Gupta C.N.","Chanda S.",8.19,4.36
2022,"Ghosh R.","Chanda S.",8.19,4.36
2022,"Ghosh R.","Chakraborty D.",8.19,4.36
2022,"Chanda S.","Chakraborty D.",8.19,4.36
2022,"Sanjay D.","Bhardwaj J.S.",8.19,4.36
2022,"Sanjay D.","Kumar N.",8.19,4.36
2022,"Sanjay D.","Chanda S.",8.19,4.36
2022,"Bhardwaj J.S.","Kumar N.",8.19,4.36
2022,"Bhardwaj J.S.","Chanda S.",8.19,4.36
2022,"Kumar N.","Chanda S.",8.19,4.36
2022,"Nag P.","Chanda S.",8.19,4.36
2022,"Nag P.","Borgohain B.",8.19,4.36
2022,"Nag P.","Ahmed K.A.",8.19,4.36
2022,"Nag P.","Phukan P.",8.19,4.36
2022,"Nag P.","Kumar N.",8.19,4.36
2022,"Nag P.","Borjali A.",8.19,4.36
2022,"Nag P.","Varadarajan K.M.",8.19,4.36
2022,"Nag P.","Chanda S.",8.19,4.36
2022,"Borgohain B.","Ahmed K.A.",8.19,4.36
2022,"Borgohain B.","Phukan P.",8.19,4.36
2022,"Borgohain B.","Kumar N.",8.19,4.36
2022,"Borgohain B.","Borjali A.",8.19,4.36
2022,"Borgohain B.","Varadarajan K.M.",8.19,4.36
2022,"Borgohain B.","Chanda S.",8.19,4.36
2022,"Ahmed K.A.","Phukan P.",8.19,4.36
2022,"Ahmed K.A.","Kumar N.",8.19,4.36
2022,"Ahmed K.A.","Borjali A.",8.19,4.36
2022,"Ahmed K.A.","Varadarajan K.M.",8.19,4.36
2022,"Ahmed K.A.","Chanda S.",8.19,4.36
2022,"Phukan P.","Kumar N.",8.19,4.36
2022,"Phukan P.","Borjali A.",8.19,4.36
2022,"Phukan P.","Varadarajan K.M.",8.19,4.36
2022,"Phukan P.","Chanda S.",8.19,4.36
2022,"Kumar N.","Borjali A.",8.19,4.36
2022,"Kumar N.","Varadarajan K.M.",8.19,4.36
2022,"Kumar N.","Chanda S.",8.19,4.36
2022,"Borjali A.","Varadarajan K.M.",8.19,4.36
2022,"Borjali A.","Chanda S.",8.19,4.36
2022,"Varadarajan K.M.","Chanda S.",8.19,4.36
2022,"Ghosh R.","Hazra A.",8.19,4.36
2022,"Ghosh R.","Chanda S.",8.19,4.36
2022,"Ghosh R.","Chakraborty D.",8.19,4.36
2022,"Hazra A.","Chanda S.",8.19,4.36
2022,"Hazra A.","Chakraborty D.",8.19,4.36
2022,"Chanda S.","Chakraborty D.",8.19,4.36
