year,importer1,importer2,flow1,flow2
2016,"Choudhury H.","Mandal S.",8.19,4.36
2016,"Choudhury H.","Devnath S.",8.19,4.36
2016,"Choudhury H.","Prasanna S.",8.19,4.36
2016,"Choudhury H.","Sundaram S.",8.19,4.36
2016,"Mandal S.","Devnath S.",8.19,4.36
2016,"Mandal S.","Prasanna S.",8.19,4.36
2016,"Mandal S.","Sundaram S.",8.19,4.36
2016,"Devnath S.","Prasanna S.",8.19,4.36
2016,"Devnath S.","Sundaram S.",8.19,4.36
2016,"Prasanna S.","Sundaram S.",8.19,4.36
2015,"Choudhury H.","Mandal S.",8.19,4.36
2015,"Choudhury H.","Devnath S.",8.19,4.36
2015,"Choudhury H.","Prasanna S.R.M.",8.19,4.36
2015,"Choudhury H.","Sundaram S.",8.19,4.36
2015,"Mandal S.","Devnath S.",8.19,4.36
2015,"Mandal S.","Prasanna S.R.M.",8.19,4.36
2015,"Mandal S.","Sundaram S.",8.19,4.36
2015,"Devnath S.","Prasanna S.R.M.",8.19,4.36
2015,"Devnath S.","Sundaram S.",8.19,4.36
2015,"Prasanna S.R.M.","Sundaram S.",8.19,4.36
2014,"Sundaram S.","Ramakrishnan A.",8.19,4.36
2013,"Sundaram S.","Ramakrishnan A.",8.19,4.36
2012,"Sundaram S.","Bhargava Urala K.",8.19,4.36
2012,"Sundaram S.","Ramakrishnan A.",8.19,4.36
2012,"Bhargava Urala K.","Ramakrishnan A.",8.19,4.36
2015,"Sundaram S.","Ramakrishnan A.G.",8.19,4.36
2018,"Venugopal V.","Sundaram S.",8.19,4.36
2018,"Venugopal V.","Sundaram S.",8.19,4.36
2018,"Mandal S.","Prasanna S.R.M.",8.19,4.36
2018,"Mandal S.","Sundaram S.",8.19,4.36
2018,"Prasanna S.R.M.","Sundaram S.",8.19,4.36
2018,"Sharma A.","Sundaram S.",8.19,4.36
2017,"Venugopal V.","Sharma A.",8.19,4.36
2017,"Venugopal V.","Singh R.",8.19,4.36
2017,"Venugopal V.","Sharma A.",8.19,4.36
2017,"Venugopal V.","Sundaram S.",8.19,4.36
2017,"Sharma A.","Singh R.",8.19,4.36
2017,"Sharma A.","Sharma A.",8.19,4.36
2017,"Sharma A.","Sundaram S.",8.19,4.36
2017,"Singh R.","Sharma A.",8.19,4.36
2017,"Singh R.","Sundaram S.",8.19,4.36
2017,"Sharma A.","Sundaram S.",8.19,4.36
2017,"Venugopal V.","Sundaram S.",8.19,4.36
2017,"Sharma A.","Sundaram S.",8.19,4.36
2016,"Dwivedi I.","Gupta S.",8.19,4.36
2016,"Dwivedi I.","Venugopal V.",8.19,4.36
2016,"Dwivedi I.","Sundaram S.",8.19,4.36
