Title,Authors,Publication date,Journal,Volume,Issue,Publisher,Description,Total citations,Scholar articles,Citation Count,Pages,Source,Inventors,Patent office,Application number
DEBay: A computational tool for deconvolution of quantitative PCR data for estimation of cell type-specific gene expression in a mixed population,"Vimalathithan Devaraj, Biplab Bose",2020/7,Heliyon,6,7,Cell Press,"The expression of a gene is commonly estimated by quantitative PCR (qPCR) using RNA isolated from a large number of pooled cells. Such pooled samples often have subpopulations of cells with different levels of expression of the target gene. Estimation of gene expression from an ensemble of cells obscures the pattern of expression in different subpopulations. Physical separation of various subpopulations is a demanding task. We have developed a computational tool, Deconvolution of Ensemble through Bayes-approach (DEBay), to estimate cell type-specific gene expression from qPCR data of a mixed population. DEBay estimates Normalized Gene Expression Coefficient (NGEC), which is a relative measure of the expression of the target gene in each cell type in a population. NGEC has a direct algebraic correspondence with the normalized fold change in gene expression measured by qPCR. DEBay can …",0,"DEBay: A computational tool for deconvolution of quantitative PCR data for estimation of cell type-specific gene expression in a mixed population
V Devaraj, B Bose - Heliyon, 2020
Related articles All 10 versions",{},e04489,,,,
DEBay: a computational tool for deconvolution of quantitative PCR data for estimation of cell type-specific gene expression in a mixed population,"Vimalathithan Devaraj, Biplab Bose",2020/4/10,bioRxiv,,,Cold Spring Harbor Laboratory,"The expression of a gene is commonly estimated by quantitative PCR (qPCR) using RNA isolated from a large number of pooled cells. Such pooled samples often have subpopulations of cells with different levels of expression of the target gene. Estimation of gene expression from an ensemble of cells obscures the pattern of expression in different subpopulations. Physical separation of various subpopulations is a demanding task. We have developed a computational tool, Deconvolution of Ensemble through Bayes-approach (DEBay), to estimate cell type-specific gene expression from qPCR data of a mixed population. DEBay estimates Normalized Gene Expression Coefficient (NGEC), which is a relative measure of the expression of the target gene in each cell type in a population. NGEC has a direct algebraic correspondence with the normalized fold change in gene expression measured by qPCR. DEBay can …",0,"DEBay: A computational tool for deconvolution of quantitative PCR data for estimation of cell type-specific gene expression in a mixed population
V Devaraj, B Bose - Heliyon, 2020
Related articles All 10 versions",{},035642,,,,
The Mathematics of Phenotypic State Transition: Paths and Potential,"Vimalathithan Devaraj, Biplab Bose",2020,Journal of the Indian Institute of Science,100,3,Springer India,"Change in the phenotype of a cell is considered as a transition of a cell from one cellular state to another. Cellular state transition can be driven by an external cue or by the noise in molecular processes. Over the years, generalized physical principles, and associated mathematical models have been developed to understand phenotypic state transition. Starting with Waddington’s epigenetic landscape, phenotypic state transition is seen as a movement of cells on a potential landscape. Though the landscape model is close to the thermodynamic principles of state change, it is difficult to envisage it from experimental observations. Therefore, phenotypic state transition is often considered as a discrete state jump process. This approach is particularly useful to estimate the paths of state transition from experimental observations. In this review, we discuss both of these approaches and the associated mathematical …",4,"The mathematics of phenotypic state transition: paths and potential
V Devaraj, B Bose - Journal of the Indian Institute of Science, 2020
Cited by 4 Related articles All 3 versions","{'2021': 1, '2022': 3}",451–464,,,,
Peptides derived from a short stretch of diphtheria toxin bind to heparin-binding epidermal growth factor-like growth factor,"Mahesh Agarwal, Tanmay Mondal, Biplab Bose",2019/11/1,Toxicon,169,,Pergamon,"Membrane-anchored heparin-binding EGF-like growth factor (HB-EGF) is the receptor for diphtheria toxin (DT). Mutated or truncated, non-toxic DT has been used earlier for HB-EGF-targeted drug delivery and to modulate HB-EGF signaling. In the present work, we have synthesized a peptide corresponding to a 26 amino acid long stretch of the receptor-binding domain of DT. This region of DT makes multiple contacts with HB-EGF and has residues critical for binding to HB-EGF. We show that this peptide and two of its mutants bind to HB-EGF. We have also created recombinant proteins by fusing Maltose-binding Protein (MBP) with these peptides. These recombinant MBP-tagged peptides bind to HB-EGF with affinities in the range of 10−7 to 10−8 M. We have observed that these MBP-tagged peptides can modulate molecular signaling of HB-EGF. Therefore, this 26 amino acid long stretch of DT can be considered …",1,"Peptides derived from a short stretch of diphtheria toxin bind to heparin-binding epidermal growth factor-like growth factor
M Agarwal, T Mondal, B Bose - Toxicon, 2019
Cited by 1 Related articles All 6 versions",{'2022': 1},109-116,,,,
Percolation in a reduced equilibrium model of planar cell polarity,"Kamleswar Chandrasekaran, Biplab Bose",2019/9/17,Physical Review E,100,3,American Physical Society,"Planar cell polarity (PCP) is a biological phenomenon where a large number of cells get polarized and coordinatedly align in a plane. PCP is an example of self-organization through local and global interactions between cells. In this work, we have used a lattice-based spin model for PCP that mimics the alignment of cells through local interactions. We have investigated the equilibrium behavior of this model. In this model, alignment of cells leads to the formation of clusters of aligned cells, and such clustering exhibits percolation transition. Even though the alignment of a cell in this model depends upon its neighbors, finite-size scaling analysis shows that this model belongs to the universality class of simple two-dimensional random percolation.",2,"Percolation in a reduced equilibrium model of planar cell polarity
K Chandrasekaran, B Bose - Physical Review E, 2019
Cited by 2 Related articles All 4 versions","{'2020': 1, '2021': 1}",032408,,,,
Morphological state transition dynamics in EGF-induced epithelial to mesenchymal transition,"Vimalathithan Devaraj, Biplab Bose",2019/6/26,Journal of clinical medicine,8,7,MDPI,"Epithelial to Mesenchymal Transition (EMT) is a multi-state process. Here, we investigated phenotypic state transition dynamics of Epidermal Growth Factor (EGF)-induced EMT in a breast cancer cell line MDA-MB-468. We have defined phenotypic states of these cells in terms of their morphologies and have shown that these cells have three distinct morphological states—cobble, spindle, and circular. The spindle and circular states are the migratory phenotypes. Using quantitative image analysis and mathematical modeling, we have deciphered state transition trajectories in different experimental conditions. This analysis shows that the phenotypic state transition during EGF-induced EMT in these cells is reversible, and depends upon the dose of EGF and level of phosphorylation of the EGF receptor (EGFR). The dominant reversible state transition trajectory in this system was cobble to circular to spindle to cobble. We have observed that there exists an ultrasensitive on/off switch involving phospho-EGFR that decides the transition of cells in and out of the circular state. In general, our observations can be explained by the conventional quasi-potential landscape model for phenotypic state transition. As an alternative to this model, we have proposed a simpler discretized energy-level model to explain the observed state transition dynamics.",39,"Morphological state transition dynamics in EGF-induced epithelial to mesenchymal transition
V Devaraj, B Bose - Journal of clinical medicine, 2019
Cited by 39 Related articles All 6 versions","{'2019': 2, '2020': 12, '2021': 7, '2022': 15, '2023': 3}",911,,,,
A Negative Feedback Regulates The Flow Of Signal Through Akt/mTORC1/S6K1 Pathway,"Poulami Dutta, Vimalathithan Devaraj, Biplab Bose",2017/6/8,bioRxiv,,,Cold Spring Harbor Laboratory,"Several growth factors, cytokines, hormones activate PI3K/Akt pathway. Akt is a key node in this pathway and activates different downstream paths. One such path is Akt/mTORC1/S6K1 that controls protein synthesis, cell survival, and proliferation. Here we show that a negative feedback controls activation of S6K1 through this pathway. Due to this negative feedback, a sustained phospho-Akt signal generates a transient pulse of phospho-S6K1. We have created a mathematical model for this circuit. Analysis of this model shows that the negative feedback acts as a filter and preferentially allows a signal, with sharp and faster rise of phospho-Akt, to induce pronounced activation of S6K1. It blocks an input with a fast oscillation of phospho-Akt to flow through this path. We show that this negative feedback leads to differential activation of S6K1 by Insulin and Insulin-like Growth Factor 1. Such differential effect may explain the difference in the mitogenic effect of these two molecules.",1,"A Negative Feedback Regulates The Flow Of Signal Through Akt/mTORC1/S6K1 Pathway
P Dutta, V Devaraj, B Bose - bioRxiv, 2017
Cited by 1 Related articles All 3 versions",{'2021': 1},147710,,,,
Receptor-mediated enhanced cellular delivery of nanoparticles using recombinant receptor-binding domain of diphtheria toxin,"Mahesh Agarwal, Amaresh Kumar Sahoo, Biplab Bose",2017/1/3,Molecular Pharmaceutics,14,1,American Chemical Society,"Antibodies and peptides are often used to home nanoparticles (NPs) to specific cells. Here in this work, we have used recombinant receptor-binding domain of diphtheria toxin (RDT) as a homing molecule for NPs. Diphtheria toxin binds to heparin binding EGF-like growth factor (HB-EGF) through its receptor-binding domain. HB-EGF is often overexpressed as cell surface molecule in various types of cancer. We have prepared monodispersed, spherical PLGA NPs and coated these NPs with RDT. These NPs are characterized by FESEM and FT-IR spectroscopy. Using flow cytometry and fluorescence spectroscopy, we show that coating with RDT increases cellular uptake of PLGA NPs. We further show that RDT-coated nanoparticles are internalized through clathrin-dependent receptor-mediated endocytosis that can be reduced by specific inhibitor. These RDT-coated nanoparticles (RDT-NP) were further used for …",14,"Receptor-mediated enhanced cellular delivery of nanoparticles using recombinant receptor-binding domain of diphtheria toxin
M Agarwal, AK Sahoo, B Bose - Molecular Pharmaceutics, 2017
Cited by 14 Related articles All 3 versions","{'2017': 1, '2018': 2, '2019': 2, '2020': 3, '2021': 4, '2022': 2}",23-30,,,,
Autoregulation and heterogeneity in expression of human Cripto-1,"Pojul Loying, Janvie Manhas, Sudip Sen, Biplab Bose",2015/2/6,PLoS One,10,2,Public Library of Science,"Cripto-1 (CR-1) is involved in various processes in embryonic development and cancer. Multiple pathways regulate CR-1 expression. Our present work demonstrates a possible positive feedback circuit where CR-1 induces its own expression. Using U-87 MG cells treated with exogenous CR-1, we show that such induction involves ALK4/SMAD2/3 pathway. Stochasticity in gene expression gives rise to heterogeneity in expression in genetically identical cells. Positive feedback increases such heterogeneity and often gives rise to two subpopulations of cells, having higher and lower expression of a gene. Using flow cytometry, we show that U-87 MG cells have a minuscule subpopulation with detectable expression of CR-1. Induction of CR-1 expression, by exogenous CR-1, increases the size of this CR-1 positive subpopulation. However, even at very high dose, most of the cells remain CR-1 negative. We show that population behavior of CR-1 induction has a signature similar to bimodal expression expected in a transcriptional circuit with positive feedback. We further show that treatment of U-87 MG cells with CR-1 leads to higher expression of drug efflux protein MDR-1 in the CR-1 positive subpopulation, indicating correlated induction of these two proteins. Positive feedback driven heterogeneity in expression of CR-1 may play crucial role in phenotypic diversification of cancer cells.",8,"Autoregulation and heterogeneity in expression of human Cripto-1
P Loying, J Manhas, S Sen, B Bose - PLoS One, 2015
Cited by 8 Related articles All 11 versions",{},e0116748,,,,
A new peptide (Ruviprase) purified from the venom of Daboia russelii russelii shows potent anticoagulant activity via non-enzymatic inhibition of thrombin and factor Xa,"Rupamoni Thakur, Ashok Kumar, Biplab Bose, Dulal Panda, Debashree Saikia, Pronobesh Chattopadhyay, Ashis K Mukherjee",2014/10/1,Biochimie,105,,Elsevier,"Compounds showing dual inhibition of thrombin and factor Xa (FXa) are the subject of great interest owing to their broader specificity for effective anticoagulation therapy against cardiovascular disorders. This is the first report on the functional characterization and assessment of therapeutic potential of a 4423.6 Da inhibitory peptide (Ruviprase) purified from Daboia russelii russelii venom. The secondary structure of Ruviprase is composed of α-helices (61.9%) and random coils (38.1%). The partial N-terminal sequence (E1-V2-X3-W4-W5-W6-A7-Q8-L9-S10) of Ruviprase demonstrated significant similarity (80.0%) with an internal sequence of apoptosis-stimulating protein reported from the venom of Ophiophagus hannah and Python bivittatus; albeit Ruviprase did not show sequence similarity with existing thrombin/FXa inhibitors, suggesting its uniqueness. Ruviprase demonstrated a potent in vitro anticoagulant …",40,"A new peptide (Ruviprase) purified from the venom of Daboia russelii russelii shows potent anticoagulant activity via non-enzymatic inhibition of thrombin and factor Xa
R Thakur, A Kumar, B Bose, D Panda, D Saikia… - Biochimie, 2014
Cited by 40 Related articles All 9 versions","{'2015': 4, '2016': 5, '2017': 8, '2018': 6, '2019': 7, '2020': 4, '2021': 4, '2022': 1, '2023': 1}",149-158,,,,
