Title,Authors,Publication date,Journal,Volume,Issue,Publisher,Description,Total citations,Scholar articles,Citation Count,Pages,Book,Conference
Hybrid technique for removal of arsenic from drinking water,"Soumi Sarkar, Soumendu Hazra, Kaushik Chakraborty, Ananya Nayak, Prabirkumar Saha",2023/2,Chemical Engineering & Technology,46,2,,Amalgamation of a supported liquid membrane (SLM) and electrocoagulation are carried out to remove As(III) and As(V) from drinking water to achieve a high treatment efficiency. The process is based on uphill transport of arsenic ions against their concentration gradients across phases and has the advantage of simultaneous extraction and recovery followed by electrocoagulation of arsenic. The aim of the process is selective separation of arsenic from drinking water and to reduce its concentration below 10 ppb. An iron‐arsenic precipitate is obtained by using an iron anode and the said precipitate is a value‐added saleable product. Various adsorption isotherms are evaluated to understand the removal mechanism of arsenic by the formation of iron‐arsenic precipitates. The Freundlich isotherm and Dubinin‐Radushkevich model are found to fit well with the adsorption data of the removal of arsenic ions.,0,"Hybrid technique for removal of arsenic from drinking water
S Sarkar, S Hazra, K Chakraborty, A Nayak, P Saha - Chemical Engineering & Technology, 2023
Related articles",{},242-255,,
Design of fractional-order IMC for nonlinear chemical processes with time delay,"Gorakala Saikumar, Kapil Kumar Sahu, Prabirkumar Saha",2022/12/27,International Journal of Dynamics and Control,,,Springer Berlin Heidelberg,"The motivation of this work is to explore the merits of fractional calculus for designing IMC that uses higher fractional-order filter and controls processes with significant time delays. It is an established fact that fractional-order filter gives extra tuning parameter for controller design, and Smith predictor is an efficient tool for handling time delays. However, the combinatorial performance of fractional-order and Smith-compensated IMC, especially in case of second-order system with significant process-model mismatch and measurement noise, is the focus of this manuscript. Their performance has been assessed and compared with an optimum PID controller available in the literature designed for similar cases. Simulation has been carried out in three case studies involving a linear transfer function model, a nonlinear CSTR process and a cryogenic distillation process. A comparative analysis of all the controllers has been …",0,"Design of fractional-order IMC for nonlinear chemical processes with time delay
G Saikumar, KK Sahu, P Saha - International Journal of Dynamics and Control, 2022
Related articles",{},1-11,,
"Spectroscopic, thermodynamic and ultrasonic properties of pseudo‐binary mixtures of organic extractants and vegetable oil at 25–60° C under atmospheric pressure","Soumi Sarkar, Supriyo Kumar Mondal, Manoj Kumar Beriya, Prabirkumar Saha",2021/7,Asia‐Pacific Journal of Chemical Engineering,16,4,,"This work is intended to investigate the molecular interactions and transport properties of five pseudo‐binary mixtures of various combinations of vegetable oils (sesame oil and sunflower oil) and organic extractants (Aliquat 336, TBP, D2EHPA and TOA) by determining their surface tension, density and viscosity over a temperature range of 25–60°C at atmospheric pressure. The experimental data are fitted into various literature models. Information on excess molar volume and viscosity deviation leads to an understanding of solute–solvent interactions. Further, the ultrasonic velocity, isentropic compressibility, intermolecular free length, specific impedance, apparent molar volume, volumetric thermal expansion coefficient, excess Gibbs' free energy, change in enthalpy of mixing and entropy of activation of the liquids have been calculated. A model relating the surface tension, density and viscosity of the pseudo …",1,"Spectroscopic, thermodynamic and ultrasonic properties of pseudo‐binary mixtures of organic extractants and vegetable oil at 25–60° C under atmospheric pressure
S Sarkar, SK Mondal, MK Beriya, P Saha - Asia‐Pacific Journal of Chemical Engineering, 2021
Cited by 1 Related articles All 2 versions",{'2023': 1},e2650,,
Removal of hexavalent chromium from wastewater using supported liquid membrane: synthesis of chromium‐iron complex through electrochemical reaction,"Supriyo Kumar Mondal, Prabirkumar Saha",2020/12,Water and Environment Journal,34,,,"Treatment of wastewater containing hexavalent chromium is the issue in this research. Supported liquid membrane with in situ electrochemical reaction in stripping section helps to reduce hexavalent chromium to trivalent chromium by forming chromium‐iron complex. Iron plate acts as anode in stripping section. The chromium‐iron complex is an useful value added product that can be used for various purposes such as catalyst in water‐gas shift reaction. Aliquat 336 has been used as carrier for transport of hexavalent chromium. Various physico‐chemical parameters have been optimised to detect the condition of maximum transport and precipitation of chromium‐iron complex in stripping phase. The important physico‐chemical parameters such as strip phase concentration, strip phase pH and concentration of carrier (% v/v) in Liquid Membrane have been selected through response surface methodology to obtain …",7,"Removal of hexavalent chromium from wastewater using supported liquid membrane: synthesis of chromium‐iron complex through electrochemical reaction
SK Mondal, P Saha - Water and Environment Journal, 2020
Cited by 7 Related articles All 2 versions","{'2021': 3, '2022': 2, '2023': 2}",753-771,,
Separation and Recovery of Nickel and Zinc from Synthetic Wastewater Using Supported Liquid Membranes with in Situ Electrodeposition,"Supriyo Kumar Mondal, Manoj Kumar Beriya, Prabirkumar Saha",2019/5/22,Industrial & Engineering Chemistry Research,58,23,American Chemical Society,"A new type of supported liquid membrane setup has been developed in this work. The setup consist of an in situ electrodeposition unit in strip phase which helps “stripped” nickel and zinc from synthetic wastewater get electrodeposited on the cathode surface. This type of separation technique not only helps to separate toxic heavy metals from wastewater but also yields an useful end product in the form of electroplated material. Two types of carrier, i.e., trioctyl amine and di-(2-ethylhexyl)phosphoric acid, have been used in the organic phase to separate zinc and nickel. The separation has been done individually as well as in a condition of binary pollutant in the feed phase. Various physicochemical parameters have been optimized to maximize the transport and deposition of metals on the cathode surface. Face-centered central composite designs in response to surface methodology have been performed on varied …",11,"Separation and recovery of nickel and zinc from synthetic wastewater using supported liquid membranes with in situ electrodeposition
SK Mondal, MK Beriya, P Saha - Industrial & Engineering Chemistry Research, 2019
Cited by 11 Related articles All 4 versions","{'2019': 1, '2020': 1, '2021': 3, '2022': 4, '2023': 2}",9970-9987,,
Synthesis of cadmium sulphide nanoparticles through liquid membrane pathway,"Sushma Chakraborty, Prabirkumar Saha",2019,International Journal of Nanoparticles,11,3,Inderscience Publishers (IEL),"This paper introduces a proof of concept that liquid membrane technology that has always been used as a separation technique, can also be extended for the generation of value added products in its downstream side. It is possible to generate cadmium sulphide nanoparticles in the stripping phase of liquid membrane separation unit which have wide industrial application such as solar and photovoltaic cells. The process parameters such as concentration of cadmium salt and pH in feed phase, concentration of strippant, concentration of extractant/carrier agent, etc. were optimised leading to maximum production of CdS nanoparicles in the stripping phase. The characterisation of CdS nanoparticles were carried out using TEM, FESEM-EDX, FT-IR, XRD and SAED. The nanosize and nanocrystalline nature of the CdS particles were established.",0,"Synthesis of cadmium sulphide nanoparticles through liquid membrane pathway
S Chakraborty, P Saha - International Journal of Nanoparticles, 2019
Related articles All 2 versions",{},202-216,,
A Study on Thermodynamic Properties of Binary Mixtures of Sesame OIL with Aliquat 336 and Tributyl Phosphate,"Soumi Sarkar, Prabirkumar Saha, Supriyo Kumar Mondal",2018/10/30,2018 AIChE Annual Meeting,,,AIChE,,0,"A Study on Thermodynamic Properties of Binary Mixtures of Sesame OIL with Aliquat 336 and Tributyl Phosphate
S Sarkar, P Saha, SK Mondal - 2018 AIChE Annual Meeting, 2018",{},,,
Separation of Zinc and Nickel from Industrial Wastewater through Supported Liquid Membrane Using Environmentally Benign Solvent,"Supriyo Kumar Mondal, Manoj Kumar Beriya, Prabirkumar Saha",2018/10/30,2018 AIChE Annual Meeting,,,AIChE,,0,"Separation of Zinc and Nickel from Industrial Wastewater through Supported Liquid Membrane Using Environmentally Benign Solvent
SK Mondal, MK Beriya, P Saha - 2018 AIChE Annual Meeting, 2018",{},,,
A Nash Game Approach to Mixed H2/H∞ Model Predictive Control: Part 3 – Output Feedback Case,"Pakkiriswamy Aadaleesan, Prabirkumar Saha",2018/10,International Journal of Automation and Computing,15,5,"Institute of Automation, Chinese Academy of Sciences","In this paper, the state-feedback Nash game based mixed H2/H∞ design[1, 2] has been extended for output feedback case. The algorithm is applied to control bioreactor system with a Laguerre-Wavelet Network (LWN)[3, 4] model of the bioreactor. This is achieved by using the LWN model as a deviation model and by successively linearising the deviation model along the state trajectory. For reducing the approximation error and to improve the controller performance, symbolic derivation algorithm, viz., automatic differentiation is employed. A cautionary note is also given on the fragility of the output feedback mixed H2/H∞ model predictive controller[4, 5] due to its sensitivity to its own parametric changes.",0,"A Nash Game Approach to Mixed H 2/H∞ Model Predictive Control: Part 3–Output Feedback Case
P Aadaleesan, P Saha - International Journal of Automation and Computing, 2018
Related articles All 3 versions",{},616-624,,
Separation of hexavalent chromium from industrial effluent through liquid membrane using environmentally benign solvent: A study of experimental optimization through response …,"Supriyo Kumar Mondal, Prabirkumar Saha",2018/4/1,Chemical Engineering Research and Design,132,,Elsevier,"The primary goal of this work is to explore the possibility of using environmentally benign solvent in a liquid membrane setup in order to separate hexavalent chromium from industrial effluent and perform experimental optimization of its parameters for maximum performance. Vegetable oils have been used for this purpose as they have the capability of extracting heavy metals and they are well known for their biodegradability too. Additionally an extractant n-methyl-n,n,n,trioctylammonium chloride (a.k.a. aliquat 336) has been used to enhance the efficiency of separation as it showed very good carrier property for transport of Cr(VI). Di-sodium ethylene-di-amine-tetra-acetic acid (or Na2-EDTA) was selected as stripping agent for its affinity towards metal. The efficiency is affected by various physico-chemical parameters which have been optimized for best transport of solute. An initial two-phase study followed by …",26,"Separation of hexavalent chromium from industrial effluent through liquid membrane using environmentally benign solvent: A study of experimental optimization through response surface methodology
SK Mondal, P Saha - Chemical Engineering Research and Design, 2018
Cited by 26 Related articles All 3 versions","{'2019': 8, '2020': 6, '2021': 7, '2022': 5}",564-583,,
