Title,Authors,Publication date,Journal,Volume,Issue,Publisher,Description,Total citations,Scholar articles,Citation Count,Book,Pages,Conference
VQA with Cascade of Self-and Co-Attention Blocks,"Aakansha Mishra, Ashish Anand, Prithwijit Guha",2023/2/28,arXiv preprint arXiv:2302.14777,,,,"The use of complex attention modules has improved the performance of the Visual Question Answering (VQA) task. This work aims to learn an improved multi-modal representation through dense interaction of visual and textual modalities. The proposed model has an attention block containing both self-attention and co-attention on image and text. The self-attention modules provide the contextual information of objects (for an image) and words (for a question) that are crucial for inferring an answer. On the other hand, co-attention aids the interaction of image and text. Further, fine-grained information is obtained from two modalities by using a Cascade of Self- and Co-Attention blocks (CSCA). This proposal is benchmarked on the widely used VQA2.0 and TDIUC datasets. The efficacy of key components of the model and cascading of attention modules are demonstrated by experiments involving ablation analysis.",0,"VQA with Cascade of Self-and Co-Attention Blocks
A Mishra, A Anand, P Guha - arXiv preprint arXiv:2302.14777, 2023
All 2 versions",{},,,
Overlapped Speech Detection Using AM-FM Based Time-Frequency Representations,"Shikha Baghel, SRM Prasanna, Prithwijit Guha",2022/11/10,,,,Springer International Publishing,"Overlapped speech contains simultaneous speech of multiple speakers. The presence of overlapped speech is one of the main sources of error for speaker diarization, speech, and speaker recognition systems. Most of the existing works used magnitude spectrum based features for overlap detection. This work focuses on detecting overlapped speech by exploring instantaneous phase and amplitude information of speech signal. Phase characteristics are captured by the Instantaneous Frequency Spectrogram (IFSpec), while Teager-Kaiser Energy Operator (TEO) based pyknograms are used for representing instantaneous amplitude. Features are learned from the IF spectrogram and TEO-based pyknogram automatically using Fully-Convolutional Neural Network (F-CNN). This work is evaluated on the SSC corpus, which has been previously used in this task. Significant performance improvement is observed when …",0,"Overlapped Speech Detection Using AM-FM Based Time-Frequency Representations
S Baghel, SRM Prasanna, P Guha - Speech and Computer: 24th International Conference …, 2022
Related articles All 2 versions",{},"Speech and Computer: 24th International Conference, SPECOM 2022, Gurugram, India, November 14–16, 2022, Proceedings",33-43,
Speech Music Overlap Detection Using Spectral Peak Evolutions,"Mrinmoy Bhattacharjee, SR Mahadeva Prasanna, Prithwijit Guha",2022/11/10,,,,Springer International Publishing,"Speech-music overlap detection in audio signals is an essential preprocessing step for many high-level audio processing applications. Speech and music spectrograms exhibit characteristic harmonic striations that can be used as a feature for detecting their overlap. Hence, this work proposes two features generated using a spectral peak tracking algorithm to capture prominent harmonic patterns in spectrograms. One feature consists of the spectral peak amplitude evolutions in an audio interval. The second feature is designed as a Mel-scaled spectrogram obtained by suppressing non-peak spectral components. In addition, a one-dimensional convolutional neural network architecture is proposed to learn the temporal evolution of spectral peaks. Mel-spectrogram is used as a baseline feature to compare performances. A popular public dataset MUSAN with 102 h of data has been used to perform experiments. A …",0,"Speech Music Overlap Detection Using Spectral Peak Evolutions
M Bhattacharjee, SRM Prasanna, P Guha - Speech and Computer: 24th International Conference …, 2022
Related articles All 3 versions",{},"Speech and Computer: 24th International Conference, SPECOM 2022, Gurugram, India, November 14–16, 2022, Proceedings",75-86,
Only overlay text: novel features for TV news broadcast video segmentation,"Raghvendra Kannao, Prithwijit Guha, Bidyut B Chaudhuri",2022/9,Multimedia Tools and Applications,81,21,Springer US,"Segmentation of television news videos into programs and stories (after removing advertisements) is a necessary first step for news broadcast analysis. Existing methods have used manually defined presentation styles as an important feature for such segmentation. Manually defined presentation styles make algorithms channel specific and hampers scalability for large number of channels. In this work, we advocate the usebility of overlay text for automatic characterization of broadcast presentation styles. This automatic characterization will minimize the manual intervention required in developing the scalable solutions for television news broadcast segmentation. To this end, we introduce three novel features solely derived from position and content of overlay text bands. These are Bag of Bands (BoB), BoB Templates (BoBT) and Text-based Semantic Similarity (TSS). The BoB features characterize on-screen …",1,"Only overlay text: novel features for TV news broadcast video segmentation
R Kannao, P Guha, BB Chaudhuri - Multimedia Tools and Applications, 2022
Cited by 1 Related articles All 2 versions",{'2022': 1},,30493-30517,
FPGA Implementation of Batch-mode Depth-pipelined Two Means Decision Tree,"Rituparna Choudhury, Shaik Rafi Ahamed, Prithwijit Guha",2022/7/12,IEEE Embedded Systems Letters,,,IEEE,"Decision Tree for classification tasks are learned from input dataset and consist of split nodes and leaf nodes. This paper presents the hardware implementation of learning of Two Means Decision Tree (TMDT). To accommodate large-size datasets and hence, to increase accuracy, the training data is divided into small batches and one batch at a time is loaded into chip memory. The hardware is divided into two pipelines to optimise timing and resource consumption. Critical path of the architecture enables the Field Programmable Gate Array (FPGA) to operate with maximum frequency of 62 MHz. Simulation results show that the proposed FPGA runs at least 27× and 26× faster than the C implementation and existing hardware, respectively.",0,"FPGA Implementation of Batch-mode Depth-pipelined Two Means Decision Tree
R Choudhury, SR Ahamed, P Guha - IEEE Embedded Systems Letters, 2022
Related articles All 2 versions",{},,,
Foreground-Background Audio Separation using Spectral Peaks based Time-Frequency Masks,"Mrinmoy Bhattacharjee, SR Mahadeva Prasanna, Prithwijit Guha",2022/7/11,,,,IEEE,"The separation of foreground and background sounds can serve as a useful preprocessing step when dealing with real-world audio signals. This work proposes a foreground-background audio separation (FBAS) algorithm that uses spectral peak information for generating time-frequency masks. The proposed algorithm can work without training, is relatively fast, and provides decent audio separation. As a specific use case, the proposed algorithm is used to extract clean foreground signals from noisy speech signals. The quality of foreground speech separated with FBAS is compared with the output of a state-of-the-art deep-learning-based speech enhancement system. Various subjective and objective evaluation measures are computed, which indicate that the proposed FBAS algorithm is effective.",0,"Foreground-Background Audio Separation using Spectral Peaks based Time-Frequency Masks
M Bhattacharjee, SRM Prasanna, P Guha - 2022 IEEE International Conference on Signal …, 2022
Related articles",{},,1-5,2022 IEEE International Conference on Signal Processing and Communications (SPCOM)
Speech/music classification using phase-based and magnitude-based features,"Mrinmoy Bhattacharjee, SR Mahadeva Prasanna, Prithwijit Guha",2022/7/1,Speech Communication,142,,North-Holland,"Detection of speech and music is an essential preprocessing step for many high-level audio-based applications like speaker diarization and music information retrieval. Researchers have previously used various magnitude-based features in this task. In comparison, the phase spectrum has received lesser attention. The phase of a signal is believed to carry non-trivial information that can help determine its audio class. This work explores three existing phase-based features for speech vs. music classification. The potential of phase information is highlighted through statistical significance tests and canonical correlation analyses. The proposed approach is benchmarked against four baseline magnitude-based feature sets. This work also contributes an annotated audio dataset named Movie - MUSNOMIX of 8 h and 20 min duration, comprising seven audio classes, including speech and music. The Movie …",0,"Speech/music classification using phase-based and magnitude-based features
M Bhattacharjee, SRM Prasanna, P Guha - Speech Communication, 2022
Related articles All 2 versions",{},,34-48,
GAUR: Genetic Algorithm based Unlocking of Register Transfer Level Locking,"Gagan Gayari, Chandan Karfa, Prithwijit Guha",2022/6/6,,,,,"Logic locking is a technique for the protection of hardware intellectual property (IP) from malicious entities like piracy, overproduction, reverse engineering, etc. The register transfer level (RTL) locking performs the locking on RTL description for protection of the IP even from the early design cycle. TAO [12] is such a locking scheme that employs locking during the high-level synthesis (HLS) process. In this paper, we evaluate the unlocking capability of the genetic algorithm (GA) by performing attacks on the RTLs locked using TAO based technique. We demonstrate the ability of GA to unlock TAO generated RTLs in seconds. Our GA based attack is faster as compared to the Satisfiability Modulo Theories (SMT) based attack [9]. The GA based method also converges well in most of the cases as shown in the experimental results.",0,"GAUR: Genetic Algorithm based Unlocking of Register Transfer Level Locking
G Gayari, C Karfa, P Guha - Proceedings of the Great Lakes Symposium on VLSI …, 2022
Related articles All 2 versions",{},Proceedings of the Great Lakes Symposium on VLSI 2022,123-126,
Hardware Implementation of Low Complexity High-speed Perceptron Block,"Rituparna Choudhury, Shaik Rafi Ahamed, Prithwijit Guha",2022/5/27,,,,IEEE,Perceptron is the basic computation unit of neural network architectures. This work proposes a resource-efficient and fast hardware for perceptron and Multi-layer Perceptron (MLP) network. The inner product computation unit and activation function unit is designed using Offset Binary Coding (OBC) and Co-ordinate Rotation Digital Computer (CORDIC) respectively. The proposed hardware is implemented on Field Programmable Logic Array (FPGA) and synthesized on 65 nm Application Specific Integrated Chips (ASIC). It achieved a speed-up of at least as compared to software. The total area and power consumed was and 2.28 mW respectively @200 MHz.,0,"Hardware Implementation of Low Complexity High-speed Perceptron Block
R Choudhury, SR Ahamed, P Guha - 2022 IEEE International Symposium on Circuits and …, 2022
Related articles All 2 versions",{},,26-30,2022 IEEE International Symposium on Circuits and Systems (ISCAS)
Design of a Low Power and Area Efficient Bfloat16 based Generalized Systolic Array for DNN Applications,"Ankita Tiwari, Saras Mani Mishra, Prithwijit Guha, Pidanic Jan, Zdenek Nemec, Gaurav Trivedi",2022/4/21,,,,IEEE,"Nowadays demand for artificial intelligence (AI) enabled mobile platforms is increasing. From healthcare services to defense and from remote to urban area, there is a huge demand of secured and power efficient devices. The performance of these platforms can be enhanced by providing an efficient compute engine. These compute engines perform a huge amount of matrix operations. The most popular choice for large matrix computation is a systolic array. In general, the systolic array performance degrades for the large input matrices, due to the trade off between resource utilization and computation delay. To address this issue, we need a systolic array with a control unit to re-configure the array according to the requirement of the computation. Computation array can be further improved by handling the negative weights and reduce the MAC operations. In this paper, we proposed a generalized bfloat16 based …",0,"Design of a Low Power and Area Efficient Bfloat16 based Generalized Systolic Array for DNN Applications
A Tiwari, SM Mishra, P Guha, P Jan, Z Nemec… - 2022 32nd International Conference Radioelektronika …, 2022
Related articles",{},,1-5,2022 32nd International Conference Radioelektronika (RADIOELEKTRONIKA)
