Title,Authors,Publication date,Journal,Volume,Issue,Publisher,Description,Total citations,Scholar articles,Citation Count,Pages,Conference
Estimation of the Elementary Chirp Model Parameters,"Anjali Mittal, Rhythm Grover, Debasis Kundu, Amit Mitra",2023/3/8,IEEE Transactions on Aerospace and Electronic Systems,,,IEEE,"In this paper, we propose some estimation techniques to estimate the elementary chirp model parameters, which are encountered in sonar, radar, acoustics, and other areas. We derive asymptotic theoretical properties of least squares estimators and approximate least squares estimators for the one component elementary chirp model. It is proved that the proposed estimators are strongly consistent and follow the normal distribution asymptotically. We also suggest how to obtain proper initial values for these methods. The problem of finding initial values is a difficult problem when the number of components in the model is large, or when the signal-to-noise ratio is low, or when two frequency rates are close to each other. We propose sequential procedures to estimate the multiple component elementary chirp model parameters. We prove that the theoretical properties of sequential least squares estimators and …",0,"Estimation of the Elementary Chirp Model Parameters
A Mittal, R Grover, D Kundu, A Mitra - IEEE Transactions on Aerospace and Electronic …, 2023
All 2 versions",{},,
On estimating parameters of a multi-component Chirp Model with equal chirp rates,"Abhinek Shukla, Debasis Kundu, Amit Mitra, Rhythm Grover",2023/2/23,IEEE Transactions on Aerospace and Electronic Systems,,,IEEE,"Multi-component chirp signal models with equal chirp rates appear in various radar applications, e.g., synthetic aperture radar, echo signal of a rapid mobile target, etc. Many sub-optimal estimators have been developed for such models, however, these suffer from the problem of either identifiability or error propagation effect. In this paper, we have developed theoretical properties of the least squares estimators (LSEs) of the parameters of multi-component chirp model with equal chirp rates, where the model is contaminated with linear stationary errors. We also propose two computationally efficient estimators as alternative to LSEs, namely sequential combined estimators and sequential plugin estimators. Strong consistency and asymptotic normality of these estimators have been derived. Interestingly, it is observed that sequential combined estimator of the chirp rate parameter is asymptotically efficient. Extensive …",0,"On estimating parameters of a multi-component Chirp Model with equal chirp rates
A Shukla, D Kundu, A Mitra, R Grover - IEEE Transactions on Aerospace and Electronic …, 2023
All 5 versions",{},,
On Weighted Least Squares Estimators of Parameters of a Chirp Model,"Debasis Kundu, Swagata Nandi, Rhythm Grover",2023/1,"Circuits, Systems, and Signal Processing",42,1,Springer US,"The least squares method seems to be a natural choice in estimating the parameters of a chirp model. But the least squares estimators are very sensitive to the outliers. Even in presence of very few outliers, the performance of the least squares estimators becomes quite unsatisfactory. Due to this reason, the least absolute deviation method has been proposed in the literature. But implementing the least absolute deviation method is quite challenging particularly for the multicomponent chirp model. In this paper, we propose to use the weighted least squares estimators, which seem to be more robust in presence of a few outliers. First, we consider the weighted least squares estimators of the unknown parameters of a single component chirp signal model. It is assumed that the weight function is a finite degree polynomial and the errors are independent and identically distributed random variables with mean zero and …",0,"On Weighted Least Squares Estimators of Parameters of a Chirp Model
D Kundu, S Nandi, R Grover - Circuits, Systems, and Signal Processing, 2023
Related articles All 3 versions",{},493-521,
Approximate least squares estimators of a two-dimensional chirp model,"Abhinek Shukla, Rhythm Grover, Debasis Kundu, Amit Mitra",2022/11/1,Journal of Multivariate Analysis,192,,Academic Press,"In this paper, we propose a method based on maximizing a periodogram-type function for parameter estimation of a two-dimensional (2-D) mono-component chirp signal model. The obtained estimators are called approximate least squares estimators (ALSEs). We also put forward a sequential algorithm for parameter estimation of a more general version of the model with multiple number of components. The main focus of the paper has been on developing the large-sample properties of the proposed estimators. Derived theoretical results show that the proposed estimators are strongly consistent and asymptotically normally distributed. Moreover, it is shown that the derived asymptotic distribution is identical to that of the traditional least squares estimators (LSEs). The numerical performance of the ALSEs and sequential ALSEs is demonstrated through extensive simulation studies. The results are positioned parallel …",0,"Approximate least squares estimators of a two-dimensional chirp model
A Shukla, R Grover, D Kundu, A Mitra - Journal of Multivariate Analysis, 2022
Related articles All 5 versions",{},105045,
Estimation methods for elementary chirp model parameters,"Anjali Mittal, Rhythm Grover, Debasis Kundu, Amit Mitra",2022/10/11,arXiv preprint arXiv:2210.05162,,,,"In this paper, we propose some estimation techniques to estimate the elementary chirp model parameters, which are encountered in sonar, radar, acoustics, and other areas. We derive asymptotic theoretical properties of least squares estimators and approximate least squares estimators for the one-component elementary chirp model. It is proved that the proposed estimators are strongly consistent and follow the normal distribution asymptotically. We also suggest how to obtain proper initial values for these methods. The problem of finding initial values is a difficult problem when the number of components in the model is large, or when the signal-to-noise ratio is low, or when two frequency rates are close to each other. We propose sequential procedures to estimate the multiple-component elementary chirp model parameters. We prove that the theoretical properties of sequential least squares estimators and sequential approximate least squares estimators coincide with those of least squares estimators and approximate least squares estimators, respectively. To evaluate the performance of the proposed estimators, numerical experiments are performed. It is observed that the proposed sequential estimators perform well even in situations where least squares estimators do not perform well. We illustrate the performance of the proposed sequential algorithm on a bat data.",0,"Estimation methods for elementary chirp model parameters
A Mittal, R Grover, D Kundu, A Mitra - arXiv preprint arXiv:2210.05162, 2022
Related articles All 2 versions",{},,
A Computationally Efficient algorithm to estimate the Parameters of a Two-Dimensional Chirp Model with the product term,"Abhinek Shukla, Rhythm Grover, Debasis Kundu, Amit Mitra",2022/9/7,arXiv preprint arXiv:2209.02975,,,,"Chirp signal models and their generalizations have been used to model many natural and man-made phenomena in signal processing and time series literature. In recent times, several methods have been proposed for parameter estimation of these models. These methods however are either statistically sub-optimal or computationally burdensome, specially for two dimensional (2D) chirp models. In this paper, we consider the problem of parameter estimation of 2D chirp models and propose a computationally efficient estimator and establish asymptotic theoretical properties of the proposed estimators. And the proposed estimators are observed to have the same rates of convergence as the least squares estimators (LSEs). Furthermore, the proposed estimators of chirp rate parameters are shown to be asymptotically optimal. Extensive and detailed numerical simulations are conducted, which support theoretical results of the proposed estimators.",0,"A Computationally Efficient algorithm to estimate the Parameters of a Two-Dimensional Chirp Model with the product term
A Shukla, R Grover, D Kundu, A Mitra - arXiv preprint arXiv:2209.02975, 2022
Related articles All 3 versions",{},,
Estimation of parameters of two-dimensional random amplitude chirp signal in additive noise,"Swagata Nandi, Rhythm Grover, Debasis Kundu",2022/9,Multidimensional Systems and Signal Processing,33,3,Springer US,"In this paper, we consider a two-dimensional random amplitude chirp signal model. It is assumed that the additive error is independent and identically distributed. This is an extension of the one dimensional random amplitude chirp model proposed by Besson et al. (IEEE Trans Signal Process 47(12):3208–3219, 1999) to two-dimension. The random amplitudes can be thought of as a multiplicative error and are assumed to be independent and identically distributed with non-zero mean such that the fourth order moment exists. The parameters are estimated by maximizing a two-dimensional chirp periodogram like function and discuss their theoretical properties. The proposed estimators are consistent and we obtain the asymptotic distribution as multivariate normal. Under normality of the additive error, the proposed estimator attains the Cramer–Rao lower bound. We propose a general multicomponent two …",0,"Estimation of parameters of two-dimensional random amplitude chirp signal in additive noise
S Nandi, R Grover, D Kundu - Multidimensional Systems and Signal Processing, 2022
Related articles All 3 versions",{},1045-1068,
Computationally efficient algorithm for frequency estimation of a two-dimensional sinusoidal model,"Rhythm Grover, Aditi Sharma, Théo Delcourt, Debasis Kundu",2022/1,"Circuits, Systems, and Signal Processing",41,1,Springer US,"In this paper, we propose a computationally faster yet conceptually simple methodology to estimate the parameters of a two-dimensional (2-D) sinusoidal model in the presence of additive white noise. We develop the large sample properties like consistency and asymptotic normality of these low-complexity estimators, and they are observed to be theoretically as efficient as the ordinary least squares estimators. To assess the numerical performance, we conduct extensive simulation studies. The results indicate that the proposed estimators can successfully replace the least squares estimators for sample size as small as 20 20 and for signal-to-noise ratio (SNR) as small as 12 dB.",1,"Computationally efficient algorithm for frequency estimation of a two-dimensional sinusoidal model
R Grover, A Sharma, T Delcourt, D Kundu - Circuits, Systems, and Signal Processing, 2022
Cited by 1 Related articles All 5 versions",{'2022': 1},346-371,
Estimation of parameters of multiple chirp signal in presence of additive alpha-stable errors,"Swagata Nandi, Rhythm Grover, Debasis Kundu",2021/12/1,Signal Processing,189,,Elsevier,"In this paper, we consider the estimation of the unknown parameters of the multiple chirp signal model in presence of additive error. The chirp signals are quite common in many areas of science and engineering, specially sonar, radar, audio signals etc. The observed signals are usually corrupted by noise. In different signal processing applications it is observed that the errors may be heavy tailed. In this paper it is assumed that the additive errors have mean zero but may not have finite variance and are independent and identically distributed. We consider the least squares estimators and the approximate least squares estimators which maximize a periodogram like function. It has been observed that both the estimators are strongly consistent. The asymptotic distribution of the least squares estimators is obtained under the assumption that the additive errors are from a symmetric stable distribution. The approximate …",2,"Estimation of parameters of multiple chirp signal in presence of additive alpha-stable errors
S Nandi, R Grover, D Kundu - Signal Processing, 2021
Cited by 2 Related articles All 5 versions","{'2022': 1, '2023': 1}",108232,
"Asymptotic Properties of Least Squares Estimators and Sequential Least Squares Estimators of a Chirp-like Signal Model Parameters (May, 1007/s00034-021-01724-7, 2021)","Rhythm Grover, Debasis Kundu, Amit Mitra",2021/11/1,CIRCUITS SYSTEMS AND SIGNAL PROCESSING,40,11,SPRINGER BIRKHAUSER,,0,"Asymptotic Properties of Least Squares Estimators and Sequential Least Squares Estimators of a Chirp-like Signal Model Parameters (May, 1007/s00034-021-01724-7, 2021)
R Grover, D Kundu, A Mitra - CIRCUITS SYSTEMS AND SIGNAL PROCESSING, 2021",{},5466-5467,
