Title,Authors,Publication date,Journal,Volume,Issue,Publisher,Description,Total citations,Scholar articles,Citation Count,Pages,Book,Conference,Source,Institution
Dynamic Data Assimilation for Improved Streamflow Forecast Using Sensitive Soil Moisture Observations,"Ramesh Visweshwaran, Raaj Ramsankaran, TI Eldho, S Lakshmivarahan",2022/11/22,Authorea Preprints,,,Authorea,"The accuracy of streamflow forecasts is important for efficient monitoring and mitigation of flood events. Unfortunately, the uncertainty in the model control variable which includes model parameters, initial and boundary conditions, propagates through the model, resulting in the degradation of streamflow forecast. Various studies in the past have shown the potential of soil moisture assimilation in hydrological models resulting in the improved forecast. Further, the efficiency of assimilation is based on the number and the distribution of observations used. This study proposes a new approach called Forward sensitivity method (FSM), which operates in two phases. By running the model and forecast sensitivity dynamics forward in time, the first phase places the observations at or near where the square of the forecast sensitivity with respect to the control takes maximum values. Then using only this subset of observations, the second phase estimates the unknown elements of the control by solving a resulting weighted least squares problem. The power of this approach is demonstrated by assimilating ASCAT soil moisture observations into a conceptual Two Parameter Model in a medium sized watershed lying in the Krishna River Basin, India. The model run extends for four monsoon years from June 2007 to June 2011 and two assimilation scenarios were tested. The first scenario uses all the observations, whereas, the second uses only sensitive observations during assimilation and the results were then compared against open loop simulation (model run without assimilation). Sensitivity results indicate that observations during monsoon time alone are …",0,"Dynamic Data Assimilation for Improved Streamflow Forecast Using Sensitive Soil Moisture Observations
R Visweshwaran, R Ramsankaran, TI Eldho… - Authorea Preprints, 2022
Related articles All 5 versions",{},,,,,
Role of the Observability Gramian in Parameter Estimation: Application to Nonchaotic and Chaotic Systems via the Forward Sensitivity Method,"John M Lewis, Sivaramakrishnan Lakshmivarahan",2022/10/10,Atmosphere,13,10,MDPI,"Data assimilation in chaotic regimes is challenging, and among the challenging aspects is placement of observations to induce convexity of the cost function in the space of control. This problem is examined by using Saltzman’s spectral model of convection that admits both chaotic and nonchaotic regimes and is controlled by two parameters—Rayleigh and Prandtl numbers. The problem is simplified by stripping the seven-variable constraint to a three-variable constraint. Since emphasis is placed on observation positioning to avoid cost-function flatness, forecast sensitivity to controls is needed. Four-dimensional variational assimilation (4D-Var) is silent on this issue of observation placement while Forecast Sensitivity Method (FSM) delivers sensitivities used in placement. With knowledge of the temporal forecast sensitivity matrix V, derivatives of the forecast variables to controls, the cost function can be expressed as a function of the observability Gramian VTV using first-order Taylor series expansion. The goal is to locate observations at places that force the Gramian positive definite. Further, locations are chosen such that the condition number of VTV is small and this guarantees convexity in the vicinity of the cost function minimum. Four numerical experiments are executed, and results are compared with the structure of the cost function independently determined though arduous computation over a wide range of the two nondimensional numbers. The results are especially good based on reduction in cost function value and comparison with cost function structure.",0,"Role of the Observability Gramian in Parameter Estimation: Application to Nonchaotic and Chaotic Systems via the Forward Sensitivity Method
JM Lewis, S Lakshmivarahan - Atmosphere, 2022
Related articles All 4 versions",{},1647,,,,
Sensitivity‐Based Soil Moisture Assimilation for Improved Streamflow Forecast Using a Novel Forward Sensitivity Method (FSM) Approach,"R Visweshwaran, RAAJ Ramsankaran, TI Eldho, S Lakshmivarahan",2022/1,Water Resources Research,58,1,,"The need for and the use of different data assimilation techniques to improve the quality of streamflow forecast is now well established. In this paper, the goal is to demonstrate the power of a new class of methods known as the forward sensitivity method (FSM) which is based on the temporal evolution of model sensitivities with respect to the control variables consisting of initial conditions and parameters. FSM operates in two phases: the first phase provides a simple algorithm for placing observations at or near where the square of forward sensitivities attains their maximum values. Using only this selected subset of observations in a weighted least squares method, the second phase then provides an estimate of the unknown elements of the control variables. In this paper, FSM based assimilation is applied to a simple class of two parameter model in a medium‐sized agriculture dominant watershed lying in the …",1,"Sensitivity‐Based Soil Moisture Assimilation for Improved Streamflow Forecast Using a Novel Forward Sensitivity Method (FSM) Approach
R Visweshwaran, R Ramsankaran, TI Eldho… - Water Resources Research, 2022
Cited by 1 Related articles All 7 versions",{'2022': 1},e2021WR031092,,,,
Observability Gramian and its Role in the Placement of Observations in Dynamic Data Assimilation,"S Lakshmivarahan, John M Lewis, Sai Kiran Reddy Maryada",2022,"Data Assimilation for Atmospheric, Oceanic and Hydrologic Applications (Vol. IV)",,,Springer International Publishing,"A method of data assimilation that is complementary to traditional 4D-VarFour Dimensional Variational data assimilationVariational Data Assimilation (VDA) (4D-Var) has been developed. 4D-VarFour Dimensional Variational data assimilation (4D-Var) has appealed to scientists because of the efficiency with which it determines the cost functionCost function gradient with respect to control and available observations. Then through use of any of the gradient-based optimizationGradientgradient-based optimization algorithms, the minimum is iteratively found. The alternate methodology does not depend on available observations; rather, the methodology determines placement of observations that avoid flatness of the costFunctional functionalCost functional about the operating point in control spaceControl space. Avoidance of flat patches by bounding the norm of the gradient away from zero fundamentally depends on …",2,"Observability Gramian and its Role in the Placement of Observations in Dynamic Data Assimilation
S Lakshmivarahan, JM Lewis, SK Reddy Maryada - Data Assimilation for Atmospheric, Oceanic and …, 2022
Cited by 2 Related articles All 3 versions",{'2022': 2},215-257,,,,
Placement of observations for variational data assimilation: Application to Burgers’ Equation and seiche phenomenon,"John M Lewis, S Lakshmivarahan, SKR Maryada",2022,"Data Assimilation for Atmospheric, Oceanic and Hydrologic Applications (Vol. IV)",,,Springer International Publishing,"Observation placementObservation placementinVDAVariational data assimilation(VDA)variational data assimilationVariational Data Assimilation (VDA)determines cost functionCost function structure in the space of control. The presence of flatness in the cost function’s gradient presents problems in the iterative passage to the cost function’s minimum. Determination of observation placementObservation placement that avoids these flat zonesFlat zone generally permits expeditious passage to the cost function minimum. A contribution to this volume (Lakshmivarahan S, Lewis JM, Maryada SKR Observability Gramian and its role in the placement of observations in dynamical data assimilation. In: Data assimilation for atmospheric, oceanic, and hydrologic applications. Springer Pub. Co., New York) has theoretically determined methodology that identifies observation placementObservation placement that avoids these …",2,"Placement of observations for variational data assimilation: Application to Burgers’ Equation and seiche phenomenon
JM Lewis, S Lakshmivarahan, SKR Maryada - Data Assimilation for Atmospheric, Oceanic and …, 2022
Cited by 2 Related articles All 3 versions",{'2022': 2},259-275,,,,
Forward Sensitivity Analysis of the FitzHugh–Nagumo System: Parameter Estimation,"Shady E Ahmed, Omer San, Sivaramakrishnan Lakshmivarahan",2021/7/5,,,,Springer International Publishing,"The FitzHugh–Nagumo (FHN) model, from computational neuroscience, has attracted attention in nonlinear dynamics studies as it describes the behavior of excitable systems and exhibits interesting bifurcation properties. The accurate estimation of the model parameters is vital to understand how the solution trajectory evolves in time. To this end, we provide a forward sensitivity method (FSM) approach to quantify the main model parameters using sparse measurement data. FSM constitutes a variational data assimilation technique which integrates model sensitivities into the process of fitting the model to the observations. We analyze the applicability of FSM to update the FHN model parameters and predict its dynamical characteristics. Furthermore, we highlight a few guidelines for observations placement to control the shape of the cost functional and improve the parameter inference iterations.",0,"Forward Sensitivity Analysis of the FitzHugh–Nagumo System: Parameter Estimation
SE Ahmed, O San, S Lakshmivarahan - Advances in Nonlinear Dynamics: Proceedings of the …, 2021
Related articles All 6 versions",{},93-103,"Advances in Nonlinear Dynamics: Proceedings of the Second International Nonlinear Dynamics Conference (NODYCON 2021), Volume 3",,,
Exhaustive probabilistic neural network for attribute selection and supervised seismic facies classification,"David Lubo-Robles, Thang Ha, Sivaramakrishnan Lakshmivarahan, Kurt J Marfurt, Matthew J Pranter",2021/5/1,Interpretation,9,2,GeoScienceWorld,"Machine learning (ML) algorithms, such as principal component analysis, independent component analysis, self-organizing maps, and artificial neural networks, have been used by geoscientists to not only accelerate the interpretation of their data, but also to provide a more quantitative estimate of the likelihood that any voxel belongs to a given facies. Identifying the best combination of attributes needed to perform either supervised or unsupervised ML tasks continues to be the most-asked question by interpreters. In the past decades, stepwise regression and genetic algorithms have been used together with supervised learning algorithms to select the best number and combination of attributes. For reasons of computational efficiency, these techniques do not test all of the seismic attribute combinations, potentially leading to a suboptimal classification. In this study, we have developed an exhaustive probabilistic …",14,"Exhaustive probabilistic neural network for attribute selection and supervised seismic facies classification
D Lubo-Robles, T Ha, S Lakshmivarahan, KJ Marfurt… - Interpretation, 2021
Cited by 14 Related articles All 4 versions","{'2021': 6, '2022': 7, '2023': 1}",T421-T441,,,,
Applying a random projection algorithm to optimize machine learning model for predicting peritoneal metastasis in gastric cancer patients using CT images,"Seyedehnafiseh Mirniaharikandehei, Morteza Heidari, Gopichandh Danala, Sivaramakrishnan Lakshmivarahan, Bin Zheng",2021/3/1,Computer methods and programs in biomedicine,200,,Elsevier,"Background and Objective
Non-invasively predicting the risk of cancer metastasis before surgery can play an essential role in determining which patients can benefit from neoadjuvant chemotherapy. This study aims to investigate and test the advantages of applying a random projection algorithm to develop and optimize a radiomics-based machine learning model to predict peritoneal metastasis in gastric cancer patients using a small and imbalanced computed tomography (CT) image dataset.
Methods
A retrospective dataset involving CT images acquired from 159 patients is assembled, including 121 and 38 cases with and without peritoneal metastasis, respectively. A computer-aided detection scheme is first applied to segment primary gastric tumor volumes and initially compute 315 image features. Then, five gradients boosting machine (GBM) models embedded with five feature selection methods (including …",28,"Applying a random projection algorithm to optimize machine learning model for predicting peritoneal metastasis in gastric cancer patients using CT images
S Mirniaharikandehei, M Heidari, G Danala… - Computer methods and programs in biomedicine, 2021
Cited by 28 Related articles All 6 versions","{'2021': 10, '2022': 14, '2023': 4}",105937,,,,
An optimal machine learning model for breast lesion classification based on random projection algorithm for feature optimization,"Morteza Heidari, Seyedehnafiseh Mirniaharikandehei, Abolfazl Zargari Khuzani, Gopichandh Danala, Hung Pham, Sivaramakrishnan Lakshmivarahan, Bin Zheng",2021/2/15,,11601,,SPIE,"The purpose of this study is to develop a machine learning model with the optimal features computed from mammograms to classify suspicious regions as benign and malignant. To this aim, we investigate the benefits of implementing a machine learning approach embedded with a random projection algorithm to generate an optimal feature vector and improve classification performance. A retrospective dataset involving 1,487 cases is used. Among them, 644 cases depict malignant lesions, while the rest 843 cases are benign. The locations of all suspicious regions have been annotated by radiologists before. A computer-aided detection scheme is applied to pre-process the images and compute an initial set of 181 features. Then, three support vector machine (SVM) models are built using the initial feature set and embedded with two feature regeneration methods, namely, principal component analysis and random …",2,"An optimal machine learning model for breast lesion classification based on random projection algorithm for feature optimization
M Heidari, S Mirniaharikandehei, AZ Khuzani… - Medical Imaging 2021: Imaging Informatics for …, 2021
Cited by 2 Related articles All 3 versions",{'2021': 2},126-133,,"Medical Imaging 2021: Imaging Informatics for Healthcare, Research, and Applications",,
A novel feature reduction method to improve performance of machine learning model,"Seyedehnafiseh Mirniaharikandehei, Morteza Heidari, Gopichandh Danala, Sivaramakrishnan Lakshmivarahan, Bin Zheng",2021/2/15,,11597,,SPIE,"Developing radiomic based machine learning models has drawn considerable attention in recent years. However, identifying a small and optimal feature vector to build a robust machine learning models has always been a controversial issue. In this study, we investigated the feasibility of applying a random projection algorithm to create an optimal feature vector from the CAD-generated large feature pool and improve the performance of the machine learning model. We assemble a retrospective dataset involving abdominal computed tomography (CT) images acquired from 188 patients diagnosed with gastric cancer. Among them, 141 cases have peritoneal metastasis (PM), while 47 cases do not have PM. A computer-aided detection (CAD) scheme is applied to segment the gastric tumor area and computes 325 image features. Then, two Logistic Regression models embedded with two different feature …",3,"A novel feature reduction method to improve performance of machine learning model
S Mirniaharikandehei, M Heidari, G Danala… - Medical Imaging 2021: Computer-Aided Diagnosis, 2021
Cited by 3 Related articles All 3 versions","{'2021': 1, '2022': 1}",504-510,,Medical Imaging 2021: Computer-Aided Diagnosis,,
