Title,Authors,Publication date,Journal,Volume,Issue,Publisher,Description,Total citations,Scholar articles,Citation Count,Pages,Book,Conference,Source,Institution,Inventors,Patent office,Application number,Report number
SwitchNet: Learning to switch for word-level language identification in code-mixed social media text,"Neelakshi Sarma, Ranbir Sanasam Singh, Diganta Goswami",2022/5,Natural Language Engineering,28,3,Cambridge University Press,"Word-level language identification is an essential prerequisite for extracting useful information from code-mixed social media content. Previous studies in word-level language identification show two important observations. First, the local context is an important indicator of the language of a word when a word is valid in multiple languages. Second, considering the word in isolation from its context leads to more effective language classification when a word is borrowed or embedded into sentences of other languages. In this paper, we propose a framework for language identification that makes use of a dynamic switching mechanism for effective language classification of both words that are borrowed or embedded from other languages as well as words that are valid in multiple languages. For a given input, the proposed switching mechanism makes a dynamic decision to bias its prediction either towards the …",3,"SwitchNet: Learning to switch for word-level language identification in code-mixed social media text
N Sarma, RS Singh, D Goswami - Natural Language Engineering, 2022
Cited by 3 Related articles All 2 versions",{'2022': 3},337-359,,,,,,,,
A Hybrid Machine Transliteration Model Based on Multi-source Encoder–Decoder Framework: English to Manipuri,"Lenin Laitonjam, Sanasam Ranbir Singh",2022/3,SN Computer Science,3,,Springer Singapore,"In this paper, we propose a neural hybrid machine transliteration model that captures the characteristics of both grapheme and phoneme representations. Unlike previous hybrid models that rely on linear interpolation or statistical correspondence of grapheme and phoneme sequences, the proposed model is based on the popular neural encoder–decoder-based transliteration model. We strengthen the traditional encoder–decoder transliteration models to multi-source framework to take advantage of both grapheme and phoneme sequences. This study investigates the responses of various encoder–decoder neural models integrated with the proposed hybrid model. The performances of the proposed models are investigated on English to Manipuri transliteration task for named entities and loanwords. Manipuri is a low-resource language spoken in the state of Manipur situated in the northeastern part of …",0,"A Hybrid Machine Transliteration Model Based on Multi-source Encoder–Decoder Framework: English to Manipuri
L Laitonjam, SR Singh - SN Computer Science, 2022
Related articles",{},1-18,,,,,,,,
Chart classification: an empirical comparative study of different learning models,"Jennil Thiyam, Sanasam Ranbir Singh, Prabin K Bora",2021/12/19,,,,,"Charts are powerful tools for visualizing and comparing data. Representation of information through charts grows with time due to its easy and aesthetically attractive structure. With the increase in the number of documents with various chart types, chart classification has become an important task for downstream applications such as chart data recovery, chart replenishment, etc. Though there have been various studies reported in the literature on chart classification using different classification methods, three of the important concerns are small dataset size, a small number of chart types, and inconsistencies in the performance reported in different studies. Motivated by the above concerns, this paper curates a large dataset of real chart images (110k samples) with a large number of chart types (24 charts types) and evaluates 21 different machine learning models. To the best of our knowledge, this is the largest (in …",1,"Chart classification: an empirical comparative study of different learning models
J Thiyam, SR Singh, PK Bora - Proceedings of the Twelfth Indian Conference on …, 2021
Cited by 1 Related articles",{'2022': 1},1-9,"Proceedings of the Twelfth Indian Conference on Computer Vision, Graphics and Image Processing",,,,,,,
English-Manipuri Machine Translation: An empirical study of different Supervised and Unsupervised Methods,"Telem Joyson Singh, Sanasam Ranbir Singh, Priyankoo Sarmah",2021/12/11,,,,IEEE,"English-Manipuri MT is a challenging task because of the limited availability of parallel data and language divergences between English and Manipuri. This work investigates the English-Manipuri MT with different supervised and unsupervised methods of SMT and NMT. In the supervised approach, we have experimented on Phrase-based SMT and Transformer-based NMT. Furthermore, unsupervised methods are also examined, namely Unsupervised NMT(Artetxe et al.), Unsupervised SMT(Lample et al.), XLM(Cross-lingual Language Model Pretraining), and MASS(Masked Sequence to Sequence Pretraining). Common practices for improving low resource Machine Translation like Back-translation and Self-Training are also tried. Detailed error analysis and the challenges faced in the English-Manipuri MT system are also presented in this paper. The paper also explains how a new corpus of 74K parallel English …",2,"English-Manipuri Machine Translation: An empirical study of different Supervised and Unsupervised Methods
TJ Singh, SR Singh, P Sarmah - 2021 International Conference on Asian Language …, 2021
Cited by 2 Related articles","{'2022': 1, '2023': 1}",142-147,,2021 International Conference on Asian Language Processing (IALP),,,,,,
Manipuri-English Cross-lingual Word Embeddings using a Temporally Aligned Comparable Corpus,"Lenin Laitonjam, Sanasam Ranbir Singh",2021/12/11,,,,IEEE,"Despite using cross-lingual knowledge to learn word embeddings for various NLP tasks, there is no comprehensive analysis of the multiple methodologies on the Manipuri-English language pair in the literature. Manipuri is a low-resource language spoken in the northeastern states of India. This study provides an extensive evaluation of two popular unsupervised approaches of inducing cross-lingual word embeddings, namely MUSE and Vecmap, on the language pair bilingual dictionary induction task. We found that the Vecmap consistently outperforms the MUSE. We also propose a novel model to enhance the embeddings by exploiting a temporally aligned comparable corpus. From various experimental results, it is evident that the proposed model outperforms its counterparts.",1,"Manipuri-English Cross-lingual Word Embeddings using a Temporally Aligned Comparable Corpus
L Laitonjam, SR Singh - 2021 International Conference on Asian Language …, 2021
Cited by 1 Related articles",{'2021': 1},195-199,,2021 International Conference on Asian Language Processing (IALP),,,,,,
Synonymy Expansion Using Link Prediction Methods: A Case Study of Assamese WordNet,"Bornali Phukon, Akash Anil, Sanasam Ranbir Singh, Priyankoo Sarmah",2021/11/2,Transactions on Asian and Low-Resource Language Information Processing,21,1,ACM,"WordNets built for low-resource languages, such as Assamese, often use the expansion methodology. This may result in missing lexical entries and missing synonymy relations. As the Assamese WordNet is also built using the expansion method, using the Hindi WordNet, it also has missing synonymy relations. As WordNets can be visualized as a network of unique words connected by synonymy relations, link prediction in complex network analysis is an effective way of predicting missing relations in a network. Hence, to predict the missing synonyms in the Assamese WordNet, link prediction methods were used in the current work that proved effective. It is also observed that for discovering missing relations in the Assamese WordNet, simple local proximity-based methods might be more effective as compared to global and complex supervised models using network embedding. Further, it is noticed that though a set …",2,"Synonymy Expansion Using Link Prediction Methods: A Case Study of Assamese WordNet
B Phukon, A Anil, SR Singh, P Sarmah - Transactions on Asian and Low-Resource Language …, 2021
Cited by 2 Related articles","{'2022': 1, '2023': 1}",1-21,,,,,,,,
Challenges in chart image classification: A comparative study of different deep learning methods,"Jennil Thiyam, Sanasam Ranbir Singh, Prabin K Bora",2021/8/16,,,,,"Charts are commonly used forms of visualizing scientific observations from research findings or commercial trends. They provide an abstraction of the underlying information in a more understandable way. Over time, different forms of charts are developed. With the increase in the number of scientific documents present on the internet with different types of charts, automatic chart classification is becoming an important task for various applications. There have been several studies on chart classification with methods ranging from traditional machine learning approaches like SVM, KNN, and HMM to recent deep learning models like VGG, ResNet, and Xception. However, inconsistencies in experimental results are evident. This paper evaluates nine of the recently proposed deep learning-based models on three datasets (one curated and annotated by authors, and two publicly available), and systematically studies …",6,"Challenges in chart image classification: A comparative study of different deep learning methods
J Thiyam, SR Singh, PK Bora - Proceedings of the 21st ACM Symposium on …, 2021
Cited by 6 Related articles","{'2021': 2, '2022': 2, '2023': 2}",1-4,Proceedings of the 21st ACM Symposium on Document Engineering,,,,,,,
Manipuri-English machine translation using comparable corpus,"Lenin Laitonjam, Sanasam Ranbir Singh",2021/8,,,,,"Unsupervised Machine Translation (MT) model, which has the ability to perform MT without parallel sentences using comparable corpora, is becoming a promising approach for developing MT in low-resource languages. However, majority of the studies in unsupervised MT have considered resource-rich language pairs with similar linguistic characteristics. In this paper, we investigate the effectiveness of unsupervised MT models over a Manipuri-English comparable corpus. Manipuri is a low-resource language having different linguistic characteristics from that of English. This paper focuses on identifying challenges in building unsupervised MT models over the comparable corpus. From various experimental observations, it is evident that the development of MT over comparable corpus using unsupervised methods is feasible. Further, the paper also identifies future directions of developing effective MT for Manipuri-English language pair under unsupervised scenarios.",5,"Manipuri-English machine translation using comparable corpus
L Laitonjam, SR Singh - Proceedings of the 4th Workshop on Technologies for …, 2021
Cited by 5 Related articles All 3 versions","{'2021': 2, '2022': 2, '2023': 1}",78-88,,Proceedings of the 4th Workshop on Technologies for MT of Low Resource Languages (LoResMT2021),,,,,,
Empirical study of sentiment analysis tools and techniques on societal topics,"Loitongbam Gyanendro Singh, Sanasam Ranbir Singh",2021/4,Journal of Intelligent Information Systems,56,,Springer US,"A surge in public opinions mining against various societal topics using publicly available off-the-shelf sentiment analysis tools is evident in recent times. Since sentiment analysis is a domain-dependent problem, and the majority of the tools are built for customer reviews, the suitability of using such existing off-the-the-shelf tools for a societal topic is subject to investigation. None of the existing studies has thoroughly investigated on societal issues. This paper systematically evaluates the performance of 10 popularly used off-the-shelf tools and 17 state-of-the-art machine learning techniques and investigates their strengths and weaknesses using various societal and non-societal topics.",13,"Empirical study of sentiment analysis tools and techniques on societal topics
LG Singh, SR Singh - Journal of Intelligent Information Systems, 2021
Cited by 13 Related articles All 4 versions","{'2022': 9, '2023': 4}",379-407,,,,,,,,
Predicting emotion dynamics sequence on Twitter via deep learning approach,"Debashis Naskar, Eva Onaindia, Miguel Rebollo, Sanasam Ranbir Singh",2020/11/30,,,,,"Exploring the mechanism about users' emotion dynamics towards social events and further predicting their future emotions have attracted great attention to the researchers. Despite the concreteness of the online expressions in written form, it remains unpredictable which kinds of emotions will be expressed in individual messages of Twitter users influenced by his/her friends. To investigate this, we perform an investigation on observing emotions unfolding in a consecutive sequence of tweets for a particular user based on his/her past history. In this paper, we propose an Emotion-based User Sequential Influence Model (E-USIM) on given a set of tweets related with some events (identified by the usage of a hashtag), determines how those sentiments will be distributed on behalf of a person within a conversation. We then apply the developed model to predict users' future emotions by combing of personal and …",0,"Predicting emotion dynamics sequence on Twitter via deep learning approach
D Naskar, E Onaindia, M Rebollo, SR Singh - Proceedings of the 18th International Conference on …, 2020
Related articles All 2 versions",{},20-24,Proceedings of the 18th International Conference on Advances in Mobile Computing & Multimedia,,,,,,,
